keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Kenneth Cole,Santa Monica,140,140,"395 Santa Monica Place, STE #140",CA,90401
Kenneth Cole,New York,1005,1005,95 Fifth Avenue,NY,10003
Kenneth Cole,San Francisco,1007,1007,"865 Market Street, SPACE #136",CA,94103
Kenneth Cole,Dallas,1014,1014,"610 NorthPark Center, Space C2-610",TX,75225
Kenneth Cole,Arlington,1022,1022,"1100 South Hayes Street, Fashion Cnt Pentagon City, Box Q03A",VA,22202
Kenneth Cole,King of Prussia,1023,1023,"160 N. Gulph Road, Plaza at King of Prussia",PA,19406
Kenneth Cole,Miami Beach,1027,1027,190 8th Street,FL,33139
Kenneth Cole,New York,1034,1034,595 Broadway,NY,10012
Kenneth Cole,Los Angeles,1037,1037,"10250 Santa Monica Blvd, Century City Shopping Center, Space 686",CA,90067
Kenneth Cole,Houston,1042,1042,"5135 West Alabama, The Galleria, Space 7065",TX,77056
Kenneth Cole,New York,1049,1049,107 E. 42nd Street,NY,10017
Kenneth Cole,Scottsdale,1058,1058,"7014 East Camelback, Scottsdale Fashion Square, Space #1001",AZ,85251
Kenneth Cole,Las Vegas,1060,1060,"3377 South Las Vegas Blvd., The Grand Canal Shops, Suite 2100",NV,89109
Kenneth Cole,Dallas,1067,1067,"13350 Dallas Parkway, Space 1585",TX,75240
Kenneth Cole,New York,1070,1070,130 East 57th Street,NY,10022
Kenneth Cole,Philadelphia,1074,1074,1422 Walnut Street,PA,19102
Kenneth Cole,Atlanta,1104,1104,"3393 Peachtree Road, Suite 3098",GA,30326
Kenneth Cole,Pasadena,1111,1111,"88 West Colorado Blvd, Space #101",CA,91105
Kenneth Cole,Las Vegas,1126,1126,"3200 South Las Vegas Blvd., Space 2070",NV,89109
Kenneth Cole,Los Angeles,1170,1170,"8500 Beverly Boulevard, The Give-back Boutique, Space 622",CA,90048
Kenneth Cole,Central Valley,5009,5009,"327 Red Apple Court, Woodbury Common Premium Outlet",NY,10917
Kenneth Cole,Gilroy,5012,5012,"8300 Arroyo Circle, Gilroy Premium Outlets, Suite #B-010",CA,95020
Kenneth Cole,Napa,5017,5017,"591 Factory Stores Drive, Napa Premium Outlets",CA,94558
Kenneth Cole,Destin,5019,5019,"10562 Emerald Coast Pkwy West, Silver Sands Factory Stores, Suite 114",FL,32550
Kenneth Cole,Sunrise,5024,5024,"12801 West Sunrise Blvd, Sawgrass Mills Mall, Space 505",FL,33323
Kenneth Cole,Secaucus,5025,5025,25 Enterprise Avenue,NJ,7094
Kenneth Cole,Cabazon,5026,5026,"48400 Seminole Drive, Desert Hills Premium Outlets, Suite 338",CA,92230
