keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Qdoba Mexican Grill,Denver,1,1 #1 #01,550 Grant Street,CO,80203
Qdoba Mexican Grill,Denver,2,2 #2 #02,1533 Market Street,CO,80202
Qdoba Mexican Grill,Englewood,3,3 #3 #03,5188 S. Broadway,CO,80110
Qdoba Mexican Grill,Littleton,4,4 #4 #04,8246 W. Bowles Ave.,CO,80123
Qdoba Mexican Grill,Glendale,5,5 #5 #05,1156 S. Colorado Blvd.,CO,80246
Qdoba Mexican Grill,Centennial,6,6 #6 #06,8719 E. Dry Creek Road,CO,80112
Qdoba Mexican Grill,Dallas,7,7 #7 #07,5600 W. Lovers Lane,TX,75209
Qdoba Mexican Grill,Coeur D Alene,8,8 #8 #08,204 West Ironwood Drive,ID,83814
Qdoba Mexican Grill,Phoenix,9,9 #9 #09,3110 N. Central Avenue,AZ,85013
Qdoba Mexican Grill,Milwaukee,10,10 #10 #010,3101 N. Oakland Avenue,WI,53211
Qdoba Mexican Grill,Ft. Worth,11,11 #11 #011,6002 Camp Bowie Blvd.,TX,76116
Qdoba Mexican Grill,Lakewood,12,12 #12 #012,14231 West Colfax Avenue,CO,80401
Qdoba Mexican Grill,Louisville,13,13 #13 #013,970 Breckenridge Lane,KY,40207
Qdoba Mexican Grill,Richardson,14,14 #14 #014,1930 N. Coit Road,TX,75080
Qdoba Mexican Grill,Carmel,15,15 #15 #015,2328 E. 116th Street,IN,46032
Qdoba Mexican Grill,Louisville,16,16 #16 #016,1500 Bardstown Road,KY,40205
Qdoba Mexican Grill,Boulder,17,17 #17 #017,1625 28th Street,CO,80301
Qdoba Mexican Grill,Indianapolis,18,18 #18 #018,9 North Meridian Street,IN,46204
Qdoba Mexican Grill,Madison,19,19 #19 #019,548 State Street,WI,53703
Qdoba Mexican Grill,Spokane,20,20 #20 #020,901 South Grand Boulevard,WA,99202
Qdoba Mexican Grill,Indianapolis,21,21 #21 #021,5025 E. 82nd Street,IN,45250
Qdoba Mexican Grill,Indianapolis,22,22 #22 #022,3528 W. 86th Street,IN,46268
Qdoba Mexican Grill,Loveland,23,23 #23 #023,233 E. 29th Street,CO,80538
Qdoba Mexican Grill,West Alis,24,24 #24 #024,2831 S. 108th Street,WI,53227
Qdoba Mexican Grill,Fort Collins,25,25 #25 #025,250 E Harmony Road,CO,80525
Qdoba Mexican Grill,Portage,26,26 #26 #026,6800 S. Westnedge Ave.,MI,49002
Qdoba Mexican Grill,Sioux Falls,27,27 #27 #027,1900 W. 41st Street,SD,57101
Qdoba Mexican Grill,Charlotte,28,28 #28 #028,7800 Rea Road,NC,28277
Qdoba Mexican Grill,Rapid City,29,29 #29 #029,741 Mountain View Road,SD,57702
Qdoba Mexican Grill,Wauwatosa,30,30 #30 #030,12345 W. Capitol Drive,WI,53222
Qdoba Mexican Grill,Bloomington,31,31 #31 #031,1505 N. Veterans Parkway,IL,61704
Qdoba Mexican Grill,Fort Collins,32,32 #32 #032,1104 W. Elizabeth Street,CO,80521
Qdoba Mexican Grill,Grand Blanc,34,34 #34 #034,12488 S. Saginaw,MI,48439
Qdoba Mexican Grill,Grand Rapids,35,35 #35 #035,"2887 28th Street, S.E.",MI,49512
Qdoba Mexican Grill,Winston-Salem,36,36 #36 #036,57 Miller Street,NC,27104
Qdoba Mexican Grill,Raleigh,37,37 #37 #037,424 East Six Fork Road,NC,27609
Qdoba Mexican Grill,Madison,38,38 #38 #038,2741 University Avenue,WI,53705
Qdoba Mexican Grill,Indianapolis,39,39 #39 #039,907 Indiana Avenue,IN,46204
Qdoba Mexican Grill,Westminster,40,40 #40 #040,1005 W. 120th Avenue,CO,80234
Qdoba Mexican Grill,Aurora,41,41 #41 #041,2295 S. Peoria,CO,80014
Qdoba Mexican Grill,Flint,42,42 #42 #042,2415 E. Austin Avenue,MI,48507
Qdoba Mexican Grill,Arvada,43,43 #43 #043,8031 Wadsworth Blvd.,CO,80003
Qdoba Mexican Grill,Seattle,44,44 #44 #044,10002 Aurora Ave. North,WA,98133
Qdoba Mexican Grill,Kalamazoo,45,45 #45 #045,4403 W. Main Street,MI,49007
Qdoba Mexican Grill,Hoboken,46,46 #46 #046,400 Washington Street,NJ,7030
Qdoba Mexican Grill,Denver,47,47 #47 #047,1400 East 17th Avenue,CO,80218
Qdoba Mexican Grill,Charlotte,48,48 #48 #048,"230 East WT Harris Blvd.,",NC,28262
Qdoba Mexican Grill,Denver,49,49 #49 #049,15470 Andrews Drive,CO,80239
Qdoba Mexican Grill,Indianapolis,50,50 #50 #050,6334 N. Guilford Ave.,IN,46220
Qdoba Mexican Grill,Fox Point,51,51 #51 #051,8789 N. Port Washington Road,WI,53217
