keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Quik Stop,San Leandro,67500001,#0001 #001 #01 #1 0010-0001 67500001,1001 Macarthur Blvd,CA,94577
Quik Stop,Oakland,67500003,#0003 #003 #03 #3 0030-0003 67500003,66 Macarthur Blvd,CA,94610
Quik Stop,San Leandro,67500007,#0007 #007 #07 #7 0070-0007 67500007,206 Marina Blvd,CA,94577
Quik Stop,Fremont,67500009,#0009 #009 #09 #9 0090-0009 67500009,38000 Camden St,CA,94536
Quik Stop,Fremont,67500020,#00020 #0020 #020 #20 00200-00020 67500020,38995 Farwell Dr,CA,94536
Quik Stop,Union City,67500029,#00029 #0029 #029 #29 00290-00029 67500029,1824 Whipple Rd,CA,94587
Quik Stop,San Jose,67500034,#00034 #0034 #034 #34 00340-00034 67500034,2704 S Bascom Ave,CA,95124
Quik Stop,Santa Rosa,67500035,#00035 #0035 #035 #35 00350-00035 67500035,816 Mcminn Ave,CA,95407
Quik Stop,Soquel,67500037,#00037 #0037 #037 #37 00370-00037 67500037,3204 Porter St,CA,95073
Quik Stop,Stockton,67500039,#00039 #0039 #039 #39 00390-00039 67500039,2285 E Fremont St,CA,95205
Quik Stop,San Jose,67500040,#00040 #0040 #040 #40 00400-00040 67500040,3695 Pearl Ave,CA,95136
Quik Stop,Freedom,67500041,#00041 #0041 #041 #41 00410-00041 67500041,2140 Freedom Blvd,CA,95019
Quik Stop,Antioch,67500042,#00042 #0042 #042 #42 00420-00042 67500042,1108 Sycamore Dr,CA,94509
Quik Stop,Modesto,67500045,#00045 #0045 #045 #45 00450-00045 67500045,818 N Carpenter Rd,CA,95351
Quik Stop,Oakland,67500051,#00051 #0051 #051 #51 00510-00051 67500051,3130 35Th Ave,CA,94619
Quik Stop,Oakland,67500052,#00052 #0052 #052 #52 00520-00052 67500052,401 Merritt Ave,CA,94610
Quik Stop,Salinas,67500053,#00053 #0053 #053 #53 00530-00053 67500053,11 Clark St,CA,93901
Quik Stop,Oakland,67500056,#00056 #0056 #056 #56 00560-00056 67500056,3132 Beaumont Ave,CA,94602
Quik Stop,Petaluma,67500057,#00057 #0057 #057 #57 00570-00057 67500057,1510 E Washington St,CA,94954
Quik Stop,Menlo Park,67500059,#00059 #0059 #059 #59 00590-00059 67500059,3401 Middlefield Rd,CA,94025
Quik Stop,San Jose,67500061,#00061 #0061 #061 #61 00610-00061 67500061,1093 Minnesota Ave,CA,95125
Quik Stop,Salinas,67500062,#00062 #0062 #062 #62 00620-00062 67500062,608 E Laurel Dr,CA,93906
Quik Stop,Watsonville,67500063,#00063 #0063 #063 #63 00630-00063 67500063,2303 E Lake Ave,CA,95076
Quik Stop,Felton,67500066,#00066 #0066 #066 #66 00660-00066 67500066,5960 Highway 9,CA,95018
Quik Stop,Oakland,67500067,#00067 #0067 #067 #67 00670-00067 67500067,2400 Fruitvale Ave,CA,94601
Quik Stop,San Jose,67500069,#00069 #0069 #069 #69 00690-00069 67500069,1105 Leeward Dr,CA,95122
Quik Stop,San Jose,67500070,#00070 #0070 #070 #70 00700-00070 67500070,5 Stewart Ave,CA,95127
Quik Stop,Modesto,67500071,#00071 #0071 #071 #71 00710-00071 67500071,110 La Loma Ave,CA,95354
Quik Stop,Oakdale,67500073,#00073 #0073 #073 #73 00730-00073 67500073,630 E F St,CA,95361
Quik Stop,Antioch,67500074,#00074 #0074 #074 #74 00740-00074 67500074,2760 W Tregallas Rd,CA,94509
Quik Stop,Vallejo,67500075,#00075 #0075 #075 #75 00750-00075 67500075,1921 Springs Rd,CA,94591
Quik Stop,Stockton,67500076,#00076 #0076 #076 #76 00760-00076 67500076,1030 S Olive Ave,CA,95215
Quik Stop,Watsonville,67500077,#00077 #0077 #077 #77 00770-00077 67500077,1 Porter Dr,CA,95076
Quik Stop,Soquel,67500078,#00078 #0078 #078 #78 00780-00078 67500078,5505 Soquel Dr,CA,95073
Quik Stop,Turlock,67500079,#00079 #0079 #079 #79 00790-00079 67500079,1260 Geer Rd,CA,95380
Quik Stop,Modesto,67500083,#00083 #0083 #083 #83 00830-00083 67500083,1501 Paradise Rd,CA,95351
Quik Stop,Castro Valley,67500084,#00084 #0084 #084 #84 00840-00084 67500084,2881 Grove Way,CA,94546
Quik Stop,Salinas,67500085,#00085 #0085 #085 #85 00850-00085 67500085,339 Williams Rd,CA,93905
Quik Stop,San Jose,67500086,#00086 #0086 #086 #86 00860-00086 67500086,1100 Lucretia Ave,CA,95122
Quik Stop,Modesto,67500087,#00087 #0087 #087 #87 00870-00087 67500087,1500 Crows Landing Rd,CA,95358
