keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Raising Cane's Chicken Fingers,Baton Rouge,#001,#001 #01 #1 1 #SHV1 #RCO1 #P1 #MRGAZ1 #MRG1 #LC1 #KDR1 #JEGI1 #GA #DBMP1 #DB1 #BWI1 #AZ1 #ARA1,3313 Highland Rd,LA,70802
Raising Cane's Chicken Fingers,Baton Rouge,#002,#002 #02 #2 2 #SHV2 #RCO2 #P2 #MRGAZ2 #MRG2 #LC2 #KDR2 #JEGI2 #GA #DBMP2 #DB2 #BWI2 #AZ2 #ARA2,202 W. Lee Dr,LA,70808
Raising Cane's Chicken Fingers,Baton Rouge,#003,#003 #03 #3 3 #SHV3 #RCO3 #P3 #MRGAZ3 #MRG3 #LC3 #KDR3 #JEGI3 #GA #DBMP3 #DB3 #BWI3 #AZ3 #ARA3,3422 Drusilla Ln,LA,70809
Raising Cane's Chicken Fingers,Denham Springs,#006,#006 #06 #6 6 #SHV6 #RCO6 #P6 #MRGAZ6 #MRG6 #LC6 #KDR6 #JEGI6 #GA #DBMP6 #DB6 #BWI6 #AZ6 #ARA6,31685 North Range Ave.,LA,70726
Raising Cane's Chicken Fingers,Baton Rouge,#007,#007 #07 #7 7 #SHV7 #RCO7 #P7 #MRGAZ7 #MRG7 #LC7 #KDR7 #JEGI7 #GA #DBMP7 #DB7 #BWI7 #AZ7 #ARA7,5020 Government St,LA,70806
Raising Cane's Chicken Fingers,Baton Rouge,#008,#008 #08 #8 8 #SHV8 #RCO8 #P8 #MRGAZ8 #MRG8 #LC8 #KDR8 #JEGI8 #GA #DBMP8 #DB8 #BWI8 #AZ8 #ARA8,"6401 Bluebonnet, Food Court Space #6",LA,70836
Raising Cane's Chicken Fingers,Lafayette,#009,#009 #09 #9 9 #SHV9 #RCO9 #P9 #MRGAZ9 #MRG9 #LC9 #KDR9 #JEGI9 #GA #DBMP9 #DB9 #BWI9 #AZ9 #ARA9,2426 West Congress St,LA,70506
Raising Cane's Chicken Fingers,Gonzales,#010,#0010 #010 #10 10 #SHV10 #RCO10 #P10 #MRGAZ10 #MRG10 #LC10 #KDR10 #JEGI10 #GA #DBMP10 #DB10 #BWI10 #AZ10 #ARA10,625 Airline Hwy,LA,70737
Raising Cane's Chicken Fingers,Baton Rouge,#011,#0011 #011 #11 11 #SHV11 #RCO11 #P11 #MRGAZ11 #MRG11 #LC11 #KDR11 #JEGI11 #GA #DBMP11 #DB11 #BWI11 #AZ11 #ARA11,6588 Siegen Ln,LA,70809
Raising Cane's Chicken Fingers,Lafayette,#012,#0012 #012 #12 12 #SHV12 #RCO12 #P12 #MRGAZ12 #MRG12 #LC12 #KDR12 #JEGI12 #GA #DBMP12 #DB12 #BWI12 #AZ12 #ARA12,2516 Kaliste Saloom Rd,LA,70508
