keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Raley's,Sparks,102,#102,2895 North McCarran Blvd.,NV,89431
Raley's,Reno,103,#103,1441 Mayberry Drive,NV,89509
Raley's,Reno,105,#105,1630 Robb Drive,NV,89523
Raley's,Reno,106,#106,701 Keystone Ave.,NV,89503
Raley's,Reno,108,#108,18144 Wedge Parkway,NV,89511
Raley's,Gardnerville,109,#109,1363 Highway 395 North,NV,89410
Raley's,Spanish Springs,110,#110,2389 Wingfield Hills Road,NV,89436
Raley's,Winnemucca,111,#111,1125 W. Winnemucca Blvd.,NV,89445
Raley's,Incline Village,113,#113,930 Tahoe Blvd.,NV,89451
Raley's,Carson City,114,#114,3701 S. Carson St.,NV,89701
Raley's,Reno,115,#115,1075 N. Hills Blvd.,NV,89506
Raley's,Elko,117,#117,2505 Mountain City Hwy.,NV,89801
Raley's,South Lake Tahoe,119,#119,4000 Lake Tahoe Blvd. #6,CA,96150
Raley's,South Lake Tahoe,127,#127,1040 Emerald Bay Rd.,CA,96150
Aisle 1 ,Reno,155,#155,1690 Robb Drive,NV,89523
Aisle 1 ,Sparks,160,#160,2433 Wingfield Hills Road,NV,89436
Raley's,Woodland,206,#206,367 West Main St.,CA,95695
Raley's,Grass Valley,213,#213,692 Freeman Lane,CA,95949
Raley's,Roseville,227,#227,1915 Douglas Blvd.,CA,95661
Raley's,Roseville,228,#228,4051 Woodcreek Oaks Blvd.,CA,95747
Raley's,Auburn,229,#229,13384 Lincoln Way,CA,95603
Raley's,Lincoln,230,#230,39 Lincoln Blvd.,CA,95648
Raley's,Loomis,231,#231,6119 Horseshoe Bar Road,CA,95650
Raley's,Red Bluff,233,#233,725 S. Main St.,CA,96080
Raley's,Oroville,236,#236,2325 Meyers St.,CA,95966
Raley's,Citrus Heights,239,#239,7847 Lichen Drive,CA,95621
Raley's,Yuba City,242,#242,700 W. Onstott Frontage Road,CA,95991
Raley's,Chico,245,#245,211 West East Ave,CA,95926
Raley's,Redding,246,#246,110 Hartnell Ave.,CA,96002
Raley's,Yreka,247,#247,1842 Fort Jones St.,CA,96097
Raley's,Redding,248,#248,201 Lake Blvd.,CA,96003
Raley's,Chico,249,#249,2485 Notre Dame Blvd.,CA,95928
Aisle 1 ,Lincoln,280,#280,43 Lincoln Blvd.,CA,95648
Raley's,Galt,302,#302,10430 Twin Cities Road,CA,95632
Raley's,Oakley,304,#304,2077 Main St.,CA,94561
Raley's,Stockton,305,#305,2323 West Hammer Lane,CA,95209
Raley's,Stockton,306,#306,4255 East Morada Lane,CA,95212
Raley's,Vallejo,307,#307,4300 Sonoma Blvd.,CA,94589
Raley's,Modesto,308,#308,"3430 Tully Rd., Suite #40",CA,95350
Raley's,Merced,309,#309,3550 N. G St.,CA,95340
