keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Ruby Tuesday,Coconut Creek,92,#92 92,4425 Lyons Road,FL,33073
Ruby Tuesday,Miami,93,#93 93,12516 SW 88th Street,FL,33186
Ruby Tuesday,Miami,106,#106 106,9005 SW 72nd Place,FL,33156
Ruby Tuesday,Miami,107,#107 107,7 West Flagler Street,FL,33130
Ruby Tuesday,Miami,108,#108 108,"3201 N. Miami Ave., Suite 100",FL,33127
Ruby Tuesday,North Miami Beach,109,#109 109,14831 Biscayne Blvd.,FL,33181
Ruby Tuesday,Orlando,110,#110 110,8031 Turkey Lake Road,FL,32819
Ruby Tuesday,Pembroke Pines,111,#111 111,601 SW 145th Terrace,FL,33027
Ruby Tuesday,Plantation,112,#112 112,801 South University Drive,FL,33324
Ruby Tuesday,Miami Beach,113,#113 113,1439 Alton Road,FL,33139
Ruby Tuesday,Winter Park,114,#114 114,"510 N. Orlando Ave., Suite 100",FL,32789
Ruby Tuesday,Huntsville,116,#116 116,"335 The Bridge Street, Suite 127",AL,35806
Ruby Tuesday,Arlington,118,#118 118,1101 S. Joyce St Suite B#5,VA,22202
Ruby Tuesday,Ft. Lauderdale,189,#189 189,1535 N Federal Highway,FL,33304
Ruby Tuesday,Birmingham,192,#192 192,"105 Summit Blvd., Suite A-10",AL,35243
Ruby Tuesday,Morrisville,195,#195 195,3305 Village Market Place,NC,27560
Ruby Tuesday,Cincinnati,252,#252 252,237 Calhoun St.,OH,45219
Ruby Tuesday,Raleigh,274,#274 274,"8521 Brier Creek Pkwy, Suite 101",NC,27617
Ruby Tuesday,Daytona Beach,311,#311 311,1802 W. International Speedway Dr.,FL,32114
Ruby Tuesday,Chapel Hill,318,#318 318,140 West Franklin Street,NC,27516
Ruby Tuesday,Norwood,320,#320 320,"3831 Edwards Rd, Suite 100",OH,45209
Ruby Tuesday,Tampa,321,#321 321,1824 N. Westshore Blvd.,FL,33607
Ruby Tuesday,St. Petersburg,323,#323 323,"6901 22nd Avenue North, Space #520",FL,33710
Ruby Tuesday,Washington,327,#327 327,726 7th Street NW,DC,20001
Ruby Tuesday,Lake Mary,328,#328 328,1130 Townpark Ave. Ste 1122,FL,32746
Ruby Tuesday,Coral Gables,329,#329 329,1306 Stanford Drive,FL,33124
Ruby Tuesday,SOMERSET,4184,#4184 4184,1975 S. HIGHWAY 27,KY,42501
Ruby Tuesday,LONDON,4185,#4185 4185,1916 W. HIGHWAY 192,KY,40741
Ruby Tuesday,Port Charlotte,4187,#4187 4187,1441 TAMIAMI TRAIL  SPACE #995,FL,33948
Ruby Tuesday,NAPLES,4188,#4188 4188,8777 TAMIAMI TRAIL NORTH,FL,34108
Ruby Tuesday,TAMPA,4190,#4190 4190,201 NORTH DALE MABRY HIGHWAY; 460,FL,33609
Ruby Tuesday,LAKELAND,4191,#4191 4191,3635 SOUTH FLORIDA AVE.,FL,33813
Ruby Tuesday,SARASOTA,4192,#4192 4192,8201 SOUTH TAMIAMI TRAIL,FL,34238
Ruby Tuesday,Orlando,4193,#4193 4193,8001 S. ORANGE BLOSSOM TRAIL,FL,32809
Ruby Tuesday,Daytona Beach,4194,#4194 4194,1808 INTERNATIONAL SPEEDWAY BLVD.,FL,32114
Ruby Tuesday,Ocala,4196,#4196 4196,3500 S.W. COLLEGE ROAD  #100,FL,34474
Ruby Tuesday,Merritt Island,4197,#4197 4197,777 EAST MERRITT CAUSEWAY,FL,32952
Ruby Tuesday,Orlando,4200,#4200 4200,3875 KIRKMAN RD.,FL,32811
Ruby Tuesday,BOCA RATON,4201,#4201 4201,409 PLAZA REAL,FL,33432
Ruby Tuesday,JENSEN BEACH,4203,#4203 4203,3000 N.W. FEDERAL HWY.,FL,34957
Ruby Tuesday,WESTMINSTER,4205,#4205 4205,9280 SHERIDAN BOULEVARD,CO,80031
Ruby Tuesday,ARVADA,4207,#4207 4207,5525 WADSWORTH BYPASS,CO,80002
Ruby Tuesday,PUEBLO,4208,#4208 4208,4150 N. FREEWAY,CO,81008
Ruby Tuesday,AURORA,4209,#4209 4209,14100 EAST ILIFF AVE.,CO,80014
Ruby Tuesday,FT. COLLINS,4210,#4210 4210,110 BOARDWALK DR.,CO,80525
Ruby Tuesday,CORAL SPRINGS,4211,#4211 4211,9511 WESTVIEW DR,FL,33076
Ruby Tuesday,BARTOW,4212,#4212 4212,1710 N. BROADWAY,FL,33830
Ruby Tuesday,CHAMPLIN,4213,#4213 4213,11469 MARKET PLACE DRIVE,MN,55316
Ruby Tuesday,Orange City,4216,#4216 4216,1212 SAXON BLVD,FL,32763
Ruby Tuesday,BLOOMINGTON,4218,#4218 4218,234 NORTH GARDEN,MN,55425
Ruby Tuesday,EDINA,4219,#4219 4219,1975 SOUTHDALE MALL,MN,55435
Ruby Tuesday,ROSEVILLE,4220,#4220 4220,325 ROSEDALE CENTER,MN,55113
Ruby Tuesday,DEERFIELD BEACH,4222,#4222 4222,3887 HILLSBOROUGH,FL,33442
Ruby Tuesday,COLORADO SPRINGS,4223,#4223 4223,1340 GARDEN OF THE GODS ROAD,CO,80907
Ruby Tuesday,COMMACK,4224,#4224 4224,6330 JERICHO TURNPIKE,NY,11725
Ruby Tuesday,MIAMI,4226,#4226 4226,12075 SW 152ND STREET,FL,33177
Ruby Tuesday,SELDEN,4227,#4227 4227,289 MIDDLE COUNTRY ROAD,NY,11784
Ruby Tuesday,WESTBURY,4228,#4228 4228,1226 OLD COUNTRY ROAD,NY,11590
Ruby Tuesday,FARMINGDALE,4230,#4230 4230,2120 BROAD HOLLOW,NY,11735
Ruby Tuesday,MEDFORD,4231,#4231 4231,700 PATCHOGUE YAPHANK ROAD,NY,11763
Ruby Tuesday,SAYVILLE,4232,#4232 4232,5650 SUNRISE HWY,NY,11782
Ruby Tuesday,KANSAS CITY,4234,#4234 4234,9770 NW PRAIRIEVIEW ROAD,MO,64153
Ruby Tuesday,OLATHE,4235,#4235 4235,15400 WEST 119TH STREET,KS,66062
Ruby Tuesday,HOMESTEAD,4236,#4236 4236,801 NORTHEAST 8TH STREET,FL,33030
Ruby Tuesday,TAMPA,4237,#4237 4237,17520 BRUCE B. DOWNS BLVD.,FL,33647
Ruby Tuesday,KANSAS CITY,4238,#4238 4238,14001 E. 40 HIGHWAY,MO,64136
Ruby Tuesday,DILLON,4239,#4239 4239,270 Dillon Ridge Way,CO,80435
Ruby Tuesday,VERO BEACH,4240,#4240 4240,1825 58TH STREET,FL,32966
Ruby Tuesday,BIRMINGHAM,4242,#4242 4242,2000 GALLERIA CIRCLE #200,AL,35244
Ruby Tuesday,SMYRNA,4243,#4243 4243,3197 SOUTH COBB DRIVE,GA,30080
Ruby Tuesday,CONYERS,4245,#4245 4245,1714 HIGHWAY 138,GA,30013
Ruby Tuesday,OAK RIDGE,4247,#4247 4247,375 SOUTH ILLINOIS,TN,37830
Ruby Tuesday,SALISBURY,4248,#4248 4248,2300 NORTH SALISBURY BOULEVARD H101,MD,21801
Ruby Tuesday,COLLEGE PARK,4249,#4249 4249,1925 SULLIVAN ROAD,GA,30337
Ruby Tuesday,Paramus,4253,#4253 4253,GARDEN STATE PLAZA #A1-4,NJ,7652
Ruby Tuesday,Jacksonville,4254,#4254 4254,10300 SOUTHSIDE BOULEVARD  #242,FL,32256
Ruby Tuesday,CHANTILLY,4255,#4255 4255,13915 METROTECH DRIVE,VA,20151
Ruby Tuesday,WALDORF,4259,#4259 4259,5000 ROUTE 301 SOUTH  SPACE F-12,MD,20603
Ruby Tuesday,DURHAM,4260,#4260 4260,1058 WEST CLUB BLVD.,NC,27701
Ruby Tuesday,Farmington,4261,#4261 4261,94 WEST FARMS MALL,CT,6032
Ruby Tuesday,SPRINGFIELD,4262,#4262 4262,1250 BALTIMORE PIKE,PA,19064
Ruby Tuesday,BOWIE,4263,#4263 4263,16451 EXCALIBUR RD,MD,20716
Ruby Tuesday,FAYETTEVILLE,4264,#4264 4264,1812 SKIBO ROAD,NC,28303
Ruby Tuesday,JOHNSON CITY,4265,#4265 4265,HARRY L DRIVE & REYNOLDS ROAD 2838,NY,13790
Ruby Tuesday,CHARLOTTE,4266,#4266 4266,7401 EAST INDEPENDENCE BOULE,NC,28227
Ruby Tuesday,WINSTON SALEM,4267,#4267 4267,3320 SILAS CREEK PARKWAY  SUITE 2248,NC,27103
Ruby Tuesday,LEESBURG,4268,#4268 4268,"1003 EDWARDS FERRY ROAD, N.E.",VA,20176
Ruby Tuesday,SWANSEA,4269,#4269 4269,7070 SWANSEA MALL DRIVE,MA,2777
Ruby Tuesday,CROMWELL,4270,#4270 4270,50 SHUMPIKE ROAD,CT,6416
Ruby Tuesday,MERIDEN,4271,#4271 4271,470 LEWIS AVENUE,CT,6450
Ruby Tuesday,VIRGINIA BEACH,4272,#4272 4272,4488 VIRGINIA BEACH BOULEVARD,VA,23462
Ruby Tuesday,ERIE,4273,#4273 4273,700 MILLCREEK MALL,PA,16565
Ruby Tuesday,BRUNSWICK,4274,#4274 4274,513 MALL BLVD.,GA,31525
Ruby Tuesday,Enfield,4277,#4277 4277,90 ELM STREET,CT,6082
Ruby Tuesday,FLORENCE,4278,#4278 4278,2701 DAVID MCLEOD BOULEVARD,SC,29501
Ruby Tuesday,Trumbull,4279,#4279 4279,5065 MAIN STREET,CT,6611
Ruby Tuesday,GAINESVILLE,4281,#4281 4281,6329 NEWBERRY ROAD,FL,32605
Ruby Tuesday,PHILADELPHIA,4282,#4282 4282,1534 FRANKLIN MILL BOULEVARD,PA,19154
Ruby Tuesday,WOODSTOCK,4283,#4283 4283,9490 HIGHWAY 92,GA,30189
Ruby Tuesday,EAST BRUNSWICK,4284,#4284 4284,755 STATE HIGHWAY 18,NJ,8816
Ruby Tuesday,Chesapeake,4285,#4285 4285,1412 GREENBRIER PARKWAY  #130,VA,23320
Ruby Tuesday,MAYS LANDING,4287,#4287 4287,4403 BLACK HORSE PIKE,NJ,8330
Ruby Tuesday,FREEHOLD,4288,#4288 4288,RT 9 SP 1302 FREEHOLD RACEWAY MALL,NJ,7728
Ruby Tuesday,SAVANNAH,4289,#4289 4289,14045 ABERCORN STREET,GA,31419
Ruby Tuesday,CHARLOTTESVILLE,4290,#4290 4290,1114 EMMET STREET,VA,22903
Ruby Tuesday,WYOMISSING,4291,#4291 4291,1665 STATE HILL ROAD,PA,19610
Ruby Tuesday,BEACHWOOD,4293,#4293 4293,24325 CHAGRIN BOULEVARD,OH,44122
Ruby Tuesday,DEPTFORD,4294,#4294 4294,CLEMENTS BRIDGE RD  DEPTFORD MALL 1A,NJ,8096
Ruby Tuesday,Newark,4295,#4295 4295,719 CHRISTIANA MALL  #607-A,DE,19702
Ruby Tuesday,GLEN BURNIE,4296,#4296 4296,7900 GOVERNOR RITCHIE HIGHWY,MD,21061
Ruby Tuesday,ALBANY,4297,#4297 4297,1 CROSSGATES MALL ROAD  K-101,NY,12203
Ruby Tuesday,Middletown,4298,#4298 4298,ONE GALLERIA CIRCLE  SPACE #C204,NY,10941
Ruby Tuesday,FREDERICK,4299,#4299 4299,1312 WEST PATRICK STREET,MD,21703
Ruby Tuesday,DULUTH,4300,#4300 4300,3580 PEACHTREE INDUSTRIAL BL,GA,30096
Ruby Tuesday,VIDALIA,4302,#4302 4302,2711 EAST 1ST STREET,GA,30474
Ruby Tuesday,REHOBOTH BEACH,4303,#4303 4303,19340 LIGHTHOUSE PLAZA BLVD.,DE,19971
Ruby Tuesday,FREDERICKSBURG,4304,#4304 4304,4714 MINE ROAD,VA,22408
Ruby Tuesday,MECHANICSVILLE,4305,#4305 4305,7425 BELL CREEK ROAD,VA,23111
Ruby Tuesday,PRINCE FREDERICK,4306,#4306 4306,815 PRINCE FREDERICK BLVD.,MD,20678
Ruby Tuesday,Newington,4307,#4307 4307,3240 BERLIN PIKE RT. 15,CT,6111
Ruby Tuesday,SUMTER,4308,#4308 4308,1135 BROAD STREET,SC,29151
Ruby Tuesday,VIRGINIA BEACH,4309,#4309 4309,2080 SOUTH INDEPENDENCE BLVD,VA,23456
Ruby Tuesday,GREENBELT,4311,#4311 4311,8811 GREENBELT ROAD,MD,20770
Ruby Tuesday,FOLEY,4313,#4313 4313,2500 SOUTH MCKENZIE STREET,AL,36535
Ruby Tuesday,CLARKSVILLE,4314,#4314 4314,1826 FT. CAMPBELL BLVD.,TN,37042
Ruby Tuesday,MADISON,4315,#4315 4315,110 TOM THRASHER DRIVE,AL,35758
Ruby Tuesday,RICHMOND,4316,#4316 4316,1101 CARMIA WAY,VA,23235
Ruby Tuesday,CROSSVILLE,4317,#4317 4317,2316 N. MAIN STREET,TN,38555
Ruby Tuesday,COLONIAL HEIGHTS,4318,#4318 4318,431 SOUTH PARK CIRCLE,VA,23834
Ruby Tuesday,PHILLIPSBURG,4319,#4319 4319,1234 U.S. ROUTE 22,NJ,8865
Ruby Tuesday,LUMBERTON,4320,#4320 4320,5005 FAYETTEVILLE ROAD,NC,28358
Ruby Tuesday,DOUGLAS,4321,#4321 4321,1324 SOUTH MADISON AVENUE,GA,31533
Ruby Tuesday,BRISTOL,4323,#4323 4323,3171 LINDEN DRIVE,VA,24202
Ruby Tuesday,HAMPTON,4324,#4324 4324,60 TOWNE CENTRE PARKWAY,VA,23666
Ruby Tuesday,CHESAPEAKE,4325,#4325 4325,1225 CEDAR ROAD,VA,23322
Ruby Tuesday,MOBILE,4326,#4326 4326,5205 SERVICE RD  SOUTH HIGGINS RD,AL,36619
Ruby Tuesday,MEDINA,4327,#4327 4327,1001 NORTH COURT ST.,OH,44256
Ruby Tuesday,RALEIGH,4328,#4328 4328,6201 CAPITAL BLVD.,NC,27616
Ruby Tuesday,SHELBY,4329,#4329 4329,2003 EAST DIXON BLVD.,NC,28152
Ruby Tuesday,GASTONIA,4330,#4330 4330,424 COX RD,NC,28054
Ruby Tuesday,CARY,4331,#4331 4331,131 CROSSROADS BLVD.,NC,27511
Ruby Tuesday,HICKORY,4332,#4332 4332,1821 US HIGHWAY 70 SE,NC,28602
Ruby Tuesday,DURHAM,4333,#4333 4333,210 NC HIGHWAY 54,NC,27713
Ruby Tuesday,STATESBORO,4334,#4334 4334,195 NORTHSIDE DRIVE EAST,GA,30458
Ruby Tuesday,SARALAND,4335,#4335 4335,1206 SHELTON BEACH ROAD,AL,36571
Ruby Tuesday,GREENVILLE,4336,#4336 4336,91 CAHABA ROAD,AL,36037
Ruby Tuesday,MUSCLE SHOALS,4337,#4337 4337,1704 WOODWARD AVE.,AL,35661
Ruby Tuesday,LEEDS,4338,#4338 4338,2023 VILLAGE DR.,AL,35094
Ruby Tuesday,DICKSON,4340,#4340 4340,140 SUZANNE DRIVE,TN,37055
Ruby Tuesday,MADISON,4341,#4341 4341,7814 HIGHWAY 72 WEST,AL,35758
Ruby Tuesday,PLYMOUTH MEETING,4342,#4342 4342,2053 CHEMICAL ROAD,PA,19462
Ruby Tuesday,INDIANA,4343,#4343 4343,1414 INDIAN SPRINGS RD.,PA,15701
Ruby Tuesday,CHAMBERSBURG,4344,#4344 4344,1121 LINCOLN HIGHWAY EAST,PA,17201
Ruby Tuesday,POTTSVILLE,4345,#4345 4345,312 RT. 61,PA,17901
Ruby Tuesday,WINCHESTER,4347,#4347 4347,1685 SOUTH PLEASANT VALLEY ROAD,VA,22601
