keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Schnucks,Florissant,101,#101 101,8200 N Lindbergh,MO,63031
Schnucks,Creve Coeur,102,#102 102,10650 Olive Blvd,MO,63141
Schnucks,Brentwood,104,#104 104,8800 Manchester,MO,63144
Schnucks,St. Louis,105,#105 105,4333 Butler Hill,MO,63128
Schnucks,Ballwin,106,#106 106,15425 Manchester,MO,63011
Schnucks,St Louis,107,#107 107,7450 Hampton Ave,MO,63109
Schnucks,St. Peters,110,#110 110,577 Mid Rivers Mall Drive,MO,63376
Schnucks,St. Charles,111,#111 111,1950 Zumbehl Road,MO,63303
Schnucks,St. Louis,113,#113 113,3431 Union,MO,63115
Schnucks,Belleville,115,#115 115,5720 North Belt West,IL,62223
Schnucks,St. Louis,116,#116 116,12756 Olive Blvd,MO,63141
Schnucks,St. Louis,117,#117 117,2030 Dorsett Rd,MO,63043
Schnucks,St. Louis,118,#118 118,5519 Oakville Shopping Ctr,MO,63129
Schnucks,Collinsville,119,#119 119,501 Belt Line Rd,IL,62234
Schnucks,Swansea,120,#120 120,2665 North Illinois St,IL,62221
Schnucks,Wildwood,121,#121 121,16580 Manchester,MO,63040
Schnucks,High Ridge,122,#122 122,#20 Gravois Dillon Plaza,MO,63049
Schnucks,O'Fallon,123,#123 123,3029 Highway K,MO,63366
Schnucks,St. Charles,124,#124 124,6083 Mid Rivers Mall Dr.,MO,63304
Schnucks,St. Louis,125,#125 125,6920 Olive Blvd,MO,63130
Schnucks,Arnold,127,#127 127,3900 Vogel Rd,MO,63010
Schnucks,O'Fallon,129,#129 129,8660 Veterans Memorial Parkway,MO,63366
Schnucks,Chesterfield,133,#133 133,141 Hilltown Village,MO,63017
Schnucks,Lake St. Louis,135,#135 135,101 Civic Center Drive,MO,63367
Schnucks,St. Louis,136,#136 136,8650 Big Bend,MO,63119
Schnucks,St. Louis,137,#137 137,10070 Gravois,MO,63123
Schnucks,St. Charles,138,#138 138,48 Plaza Ninety-Four Dr,MO,63376
Schnucks,St. Louis,139,#139 139,10233 Manchester,MO,63122
Schnucks,St. Louis,140,#140 140,1225 S. Florissant Rd,MO,63121
Schnucks,Overland,141,#141 141,9074 Overland Plaza,MO,63114
Schnucks,Ballwin,142,#142 142,1060 Woods Mill Plaza,MO,63017
Schnucks,St. Louis,143,#143 143,3430 S. Grand,MO,63118
Schnucks,Fairview Heights,144,#144 144,625 Lincoln Hwy,IL,62208
Schnucks,St Louis,145,#145 145,8037 West Florissant Avenue,MO,63136
Schnucks,Alton,146,#146 146,2811 Homer Adams Pkwy,IL,62002
Schnucks,Cahokia,148,#148 148,1615 Camp Jackson,IL,62206
Schnucks,St. Louis,149,#149 149,5055 Arsenal,MO,63139
Schnucks,Ballwin,173,#173 173,"1393 Big Bend, Suite 1",MO,63021
Schnucks,Ballwin,174,#174 174,2511 Kehrs Mill Road,MO,63011
Schnucks,O'Fallon,177,#177 177,907 East Hwy 50,IL,62269
Schnucks,Bethalto,178,#178 178,72 Airport Plz,IL,62010
Schnucks,Ladue,180,#180 180,10275 Clayton Rd,MO,63124
Schnucks,Florissant,184,#184 184,74 Grandview Plaza,MO,63033
Schnucks,St Louis,188,#188 188,8867 Ladue,MO,63124
Schnucks,Bridgeton,191,#191 191,11253 St. Charles Rock Road,MO,63044
Schnucks,St Louis,192,#192 192,1020 LOUGHBOROUGH,MO,63111
Schnucks,St. Louis,193,#193 193,5434 Southfield Center,MO,63123
Schnucks,Eureka,196,#196 196,245 East 5th St.,MO,63025
Schnucks,Florissant,198,#198 198,13987 New Halls Ferry Rd,MO,63033
Schnucks,St.Louis,209,#209 209,12332 Manchester Road,MO,63131
Schnucks,St. Louis,216,#216 216,1589 Sierra Vista Plaza,MO,63138
Schnucks,St. Louis,227,#227 227,4171 Lindell Blvd,MO,63108
Schnucks,Edwardsville,229,#229 229,2222 Troy Rd,IL,62025
Schnucks,East St. Louis,239,#239 239,2511 State Street,IL,62205
Schnucks,Waterloo,243,#243 243,150 Waterloo Commons Drive,IL,62298
Schnucks,Columbia,244,#244 244,1000 Columbia Centre Dr,IL,62236
Schnucks,St. Louis,258,#258 258,60 Hampton Village Plaza,MO,63109
Schnucks,Crestwood,266,#266 266,9540 Watson Rd,MO,63126
Schnucks,Belleville,267,#267 267,110 Carlyle Plaza Dr.,IL,62221
Schnucks,Godfrey,269,#269 269,2712 Godfrey,IL,62035
Schnucks,Clayton,272,#272 272,6600 Clayton Rd,MO,63117
Schnucks,Florissant,276,#276 276,1160 Shackelford,MO,63031
Schnucks,St. Louis,281,#281 281,4127 N Grand,MO,63107
Schnucks,St. Charles,284,#284 284,800 S. Duchesne Rd,MO,63301
Schnucks,Granite City,288,#288 288,3100 Madison Ave,IL,62040
Schnucks,St. Louis,301,#301 301,315 North 9th Street,MO,63101
Schnucks,St. Louis,327,#327 327,3960 Lindell Blvd,MO,63108
Schnucks,Cape Girardeau,702,#702 702,19 S. Kingshighway,MO,63701
Schnucks,Evansville,703,#703 703,4600 Washington Ave,IN,47715
Schnucks,Evansville,704,#704 704,3700 First Ave,IN,47710
Schnucks,Evansville,705,#705 705,4500 West Lloyd Expwy,IN,47712
Schnucks,Bloomington,706,#706 706,1701 East Empire St,IL,61701
Schnucks,Champaign,707,#707 707,109 N. Mattis Rd,IL,61821
Schnucks,Columbia,714,#714 714,1400 Forum Blvd,MO,65205
Schnucks,Springfield,717,#717 717,2801 Chatham Rd,IL,62704
