keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Shoe Carnival,EVANSVILLE,3,#03 #3,805 N. GREEN RIVER ROAD,IN,47715
Shoe Carnival,OWENSBORO,4,#04 #4,"5241 FREDERICA STREET, SUITE A",KY,42301
Shoe Carnival,INDIANAPOLIS,5,#05 #5,7565 US 31 SOUTH,IN,46227
Shoe Carnival,INDIANAPOLIS,7,#07 #7,"4615 LAFAYETTE ROAD, UNIT A",IN,46254
Shoe Carnival,LEXINGTON,8,#08 #8,"127 W TIVERTON WAY, SUITE 162",KY,40503
Shoe Carnival,INDIANAPOLIS,9,#09 #9,"10609 E WASHINGTON ST, SUITE A",IN,46229
Shoe Carnival,PADUCAH,10,#010 #10,"5161 HINKLEVILLE ROAD, UNIT 95",KY,42001
Shoe Carnival,CARBONDALE,11,#011 #11,1340 E. MAIN,IL,62901
Shoe Carnival,FORT WAYNE,12,#012 #12,"707 NORTHCREST SHOPPING, CENTER DRIVE",IN,46805
Shoe Carnival,ANTIOCH,14,#014 #14,5328 MT. VIEW ROAD,TN,37013
Shoe Carnival,LOUISVILLE,17,#017 #17,5613 PRESTON HIGHWAY,KY,40219
Shoe Carnival,LOUISVILLE,18,#018 #18,"1850 S. HURSTBOURNE PKWY., SUITE 142",KY,40220
Shoe Carnival,ELIZABETHTOWN,19,#019 #19,1920 N. DIXIE AVENUE,KY,42701
Shoe Carnival,BLOOMINGTON,22,#022 #22,180 N. GATES DRIVE,IN,47404
Shoe Carnival,NORMAL,24,#024 #24,1700 EAST COLLEGE AVENUE,IL,61761
Shoe Carnival,BOWLING GREEN,25,#025 #25,2945 SCOTTSVILLE ROAD #1,KY,42101
Shoe Carnival,ANDERSON,26,#026 #26,4636 S. SCATTERFIELD ROAD,IN,46013
Shoe Carnival,MEMPHIS,28,#028 #28,6485 WINCHESTER ROAD,TN,38115
Shoe Carnival,GRAND RAPIDS,29,#029 #29,3949 28TH STREET S.E.,MI,49512-1805
Shoe Carnival,FAIRVIEW HEIGHTS,31,#031 #31,4 PLAZA DRIVE,IL,62208
Shoe Carnival,ST. LOUIS,35,#035 #35,10845 W. FLORISSANT,MO,63136
Shoe Carnival,FT. WAYNE,38,#038 #38,1440 APPLE GLEN BLVD.,IN,46804
