keywords,city,Aggdata Store Number,store_number,address,state,zip_code
UPS,CARLSBAD,1,#001 #01 01 1 #1 001,6965 EL CAMINO REAL STE 105,CA,92009
UPS,SOLANA BEACH,2,#002 #02 02 2 #2 002,249 S HWY 101,CA,92075
UPS,LA JOLLA,3,#003 #03 03 3 #3 003,5580 LA JOLLA BLVD,CA,92037
UPS,CARLSBAD,5,#005 #05 05 5 #5 005,2604-B EL CAMINO REAL,CA,92008
UPS,SAN DIEGO,7,#007 #07 07 7 #7 007,302 WASHINGTON ST,CA,92103
UPS,SAN DIEGO,8,#008 #08 08 8 #8 008,5173 WARING RD,CA,92120
UPS,MISSION VIEJO,11,#0011 #011 011 11 #11 0011,25108 MARGUERITE PKWY STE A,CA,92692
UPS,LOS ANGELES,12,#0012 #012 012 12 #12 0012,10573 W PICO BLVD,CA,90064
UPS,HUNTINGTON BEACH,15,#0015 #015 015 15 #15 0015,7071 WARNER AVE STE F,CA,92647
UPS,ORANGE,18,#0018 #018 018 18 #18 0018,1439 W CHAPMAN AVE,CA,92868
UPS,SARASOTA,20,#0020 #020 020 20 #20 0020,7350 S TAMIAMI TRAIL,FL,34231
UPS,SANTA BARBARA,23,#0023 #023 023 23 #23 0023,27 WEST ANAPAMU ST,CA,93101
UPS,ANCHORAGE,25,#0025 #025 025 25 #25 0025,205 E DIMOND BLVD,AK,99515
UPS,LAKE FOREST,26,#0026 #026 026 26 #26 0026,25422 TRABUCO RD STE 105,CA,92630
UPS,ENCINITAS,28,#0028 #028 028 28 #28 0028,270 N EL CAMINO REAL,CA,92024
UPS,IRVINE,32,#0032 #032 032 32 #32 0032,14252 CULVER DR,CA,92604
UPS,PHOENIX,33,#0033 #033 033 33 #33 0033,2303 N 44TH ST STE 14,AZ,85008
UPS,SCOTTSDALE,38,#0038 #038 038 38 #38 0038,3370 N HAYDEN RD STE 123,AZ,85251
UPS,MESA,39,#0039 #039 039 39 #39 0039,550 W BASELINE ROAD STE 102,AZ,85210
UPS,MONTECITO,40,#0040 #040 040 40 #40 0040,1187 COAST VILLAGE RD SUITE 1,CA,93108
UPS,SAN JUAN CAPISTRANO,41,#0041 #041 041 41 #41 0041,31878 DEL OBISPO STE 118,CA,92675
UPS,TARZANA,44,#0044 #044 044 44 #44 0044,19528 VENTURA BLVD,CA,91356
UPS,MCLEAN,45,#0045 #045 045 45 #45 0045,1350 BEVERLY RD STE 115,VA,22101
UPS,IRVINE,49,#0049 #049 049 49 #49 0049,4790 IRVINE BLVD STE 105,CA,92620
UPS,SAN FRANCISCO,51,#0051 #051 051 51 #51 0051,1819 POLK ST,CA,94109
UPS,SOUTHFIELD,53,#0053 #053 053 53 #53 0053,19785 W 12 MILE RD,MI,48076
UPS,ANCHORAGE,54,#0054 #054 054 54 #54 0054,1120 HUFFMAN RD STE 24,AK,99515
UPS,ANCHORAGE,55,#0055 #055 055 55 #55 0055,200 W 34TH AVE,AK,99503
UPS,SAN FRANCISCO,56,#0056 #056 056 56 #56 0056,2443 FILLMORE ST,CA,94115
UPS,WASHINGTON,57,#0057 #057 057 57 #57 0057,4200 WISCONSIN AVE NW,DC,20016
UPS,SCOTTSDALE,58,#0058 #058 058 58 #58 0058,10632 N SCOTTSDATE RD,AZ,85254
UPS,SARASOTA,59,#0059 #059 059 59 #59 0059,4411 BEE RIDGE RD,FL,34233
UPS,SAN DIEGO,62,#0062 #062 062 62 #62 0062,3077 CLAIREMONT DR STE B,CA,92117
UPS,SUNNYVALE,67,#0067 #067 067 67 #67 0067,1111 W EL CAMINO REAL STE 109,CA,94087
UPS,STATE COLLEGE,69,#0069 #069 069 69 #69 0069,210 W HAMILTON AVE,PA,16801
UPS,ANCHORAGE,72,#0072 #072 072 72 #72 0072,2440 E TUDOR RD,AK,99507
UPS,CONCORD,75,#0075 #075 075 75 #75 0075,1647 WILLOW PASS RD,CA,94520
UPS,AUSTIN,76,#0076 #076 076 76 #76 0076,8760A RESEARCH BLVD,TX,78758
UPS,AUSTIN,77,#0077 #077 077 77 #77 0077,1108 LAVACA ST STE 110,TX,78701
UPS,SAN DIEGO,78,#0078 #078 078 78 #78 0078,9921 CARMEL MOUNTAIN RD,CA,92129
UPS,NOVATO,79,#0079 #079 079 79 #79 0079,448 IGNACIO BLVD,CA,94949
UPS,BRADENTON,81,#0081 #081 081 81 #81 0081,3547 53RD AVE W,FL,34210
UPS,NAPERVILLE,82,#0082 #082 082 82 #82 0082,115 E OGDEN AVE STE 117,IL,60563
UPS,WHITE PLAINS,84,#0084 #084 084 84 #84 0084,405 TARRYTOWN RD,NY,10607
UPS,BRADENTON,88,#0088 #088 088 88 #88 0088,7322 MANATEE AVE W,FL,34209
UPS,SARASOTA,89,#0089 #089 089 89 #89 0089,15 PARADISE PLAZA,FL,34239
UPS,SAN DIEGO,90,#0090 #090 090 90 #90 0090,501 W BROADWAY STE A,CA,92101
UPS,FARMINGTON HILLS,93,#0093 #093 093 93 #93 0093,35560 GRAND RIVER AVE,MI,48335
UPS,BIRMINGHAM,94,#0094 #094 094 94 #94 0094,33717 WOODWARD AVE,MI,48009
UPS,LAS VEGAS,97,#0097 #097 097 97 #97 0097,1350 E FLAMINGO RD STE 13B,NV,89119
UPS,CORONA DEL MAR,98,#0098 #098 098 98 #98 0098,3334 E COAST HWY,CA,92625
UPS,WALNUT CREEK,99,#0099 #099 099 99 #99 0099,1547 PALOS VERDES MALL,CA,94597
UPS,BETHESDA,100,#00100 #0100 0100 100 #100 00100,4938 HAMPDEN LN,MD,20814
UPS,EDMOND,101,#00101 #0101 0101 101 #101 00101,3126 S BOULEVARD ST,OK,73013
UPS,SAN JOSE,102,#00102 #0102 0102 102 #102 00102,4750 ALMADEN EXPY #G,CA,95118
UPS,ALBUQUERQUE,105,#00105 #0105 0105 105 #105 00105,933 SAN MATEO BLVD NE STE 500,NM,87108
UPS,SAINT PETERSBURG,107,#00107 #0107 0107 107 #107 00107,4905 34TH ST SOUTH,FL,33711
UPS,BRADENTON,108,#00108 #0108 0108 108 #108 00108,5726 CORTEZ RD W,FL,34210
UPS,LARGO,109,#00109 #0109 0109 109 #109 00109,3665 E BAY DR STE 204,FL,33771
UPS,WATERFORD,112,#00112 #0112 0112 112 #112 00112,5119 HIGHLAND ROAD M-59,MI,48327
UPS,WESTPORT,113,#00113 #0113 0113 113 #113 00113,1771 POST RD E,CT,6880
UPS,LAGUNA HILLS,115,#00115 #0115 0115 115 #115 00115,24881 ALICIA PKWY STE E,CA,92653
UPS,ROCKVILLE,117,#00117 #0117 0117 117 #117 00117,451 N HUNGERFORD DR STE 119,MD,20850
UPS,WEST BLOOMFIELD,118,#00118 #0118 0118 118 #118 00118,6689 ORCHARD LAKE RD,MI,48322
UPS,LOS GATOS,119,#00119 #0119 0119 119 #119 00119,15466 LOS GATOS BLVD #109,CA,95032
UPS,LAGUNA BEACH,120,#00120 #0120 0120 120 #120 00120,668 NORTH COAST HWY,CA,92651
UPS,TAMPA,121,#00121 #0121 0121 121 #121 00121,13014 N DALE MABRY HWY,FL,33618
UPS,SAN JOSE,122,#00122 #0122 0122 122 #122 00122,5669 SNELL AVE,CA,95123
UPS,ENGLEWOOD,123,#00123 #0123 0123 123 #123 00123,1811 ENGLEWOOD RD,FL,34223
UPS,WESTPORT,129,#00129 #0129 0129 129 #129 00129,606 POST RD E,CT,6880
UPS,CLEARWATER,130,#00130 #0130 0130 130 #130 00130,2519 MCMULLEN BOOTH RD,FL,33761
UPS,ANCHORAGE,131,#00131 #0131 0131 131 #131 00131,645 G STREET STE 100,AK,99501
UPS,SAN JOSE,134,#00134 #0134 0134 134 #134 00134,2530 BERRYESSA RD,CA,95132
UPS,LAS VEGAS,135,#00135 #0135 0135 135 #135 00135,3540 WEST SAHARA AVE #E6,NV,89102
UPS,RIO RANCHO,139,#00139 #0139 0139 139 #139 00139,1380 RIO RANCHO BLVD SE,NM,87124
UPS,GROSSE POINTE FARMS,140,#00140 #0140 0140 140 #140 00140,18530 MACK AVE,MI,48236
UPS,LOUISVILLE,141,#00141 #0141 0141 141 #141 00141,9431 WESTPORT PLAZA,KY,40241
UPS,HOFFMAN ESTATES,144,#00144 #0144 0144 144 #144 00144,3 GOLF CENTER,IL,60169
UPS,MIDLAND,148,#00148 #0148 0148 148 #148 00148,2014 N SAGINAW RD,MI,48640
UPS,TUCSON,149,#00149 #0149 0149 149 #149 00149,7739 E BROADWAY BLVD,AZ,85710
UPS,WINTER PARK,151,#00151 #0151 0151 151 #151 00151,5415 LAKE HOWELL RD,FL,32792
UPS,SAINT PETERSBURG,157,#00157 #0157 0157 157 #157 00157,6822 22ND AVE N,FL,33710
UPS,KIRKLAND,158,#00158 #0158 0158 158 #158 00158,11410 NE 124TH ST,WA,98034
UPS,CANOGA PARK,159,#00159 #0159 0159 159 #159 00159,6433 TOPANGA CANYON BLVD,CA,91303
UPS,MENTOR,161,#00161 #0161 0161 161 #161 00161,7665 MENTOR AVE,OH,44060
UPS,SOUTHFIELD,162,#00162 #0162 0162 162 #162 00162,29193 NORTHWESTERN HWY,MI,48034
UPS,LA JOLLA,163,#00163 #0163 0163 163 #163 00163,7660-H FAY AVE,CA,92037
UPS,ROCHESTER,165,#00165 #0165 0165 165 #165 00165,2604 ELMWOOD AVE,NY,14618
UPS,SAN FRANCISCO,167,#00167 #0167 0167 167 #167 00167,110 PACIFIC AVE MALL,CA,94111
UPS,LAKEWOOD,168,#00168 #0168 0168 168 #168 00168,4067 HARDWICK ST,CA,90712
UPS,TRAVERSE CITY,170,#00170 #0170 0170 170 #170 00170,526 W 14TH ST,MI,49684
UPS,MILFORD,171,#00171 #0171 0171 171 #171 00171,167 CHERRY ST,CT,6460
UPS,FEDERAL WAY,174,#00174 #0174 0174 174 #174 00174,1911 SW CAMPUS DR,WA,98023
UPS,SAN FRANCISCO,175,#00175 #0175 0175 175 #175 00175,2269 CHESTNUT ST,CA,94123
UPS,FLINT,176,#00176 #0176 0176 176 #176 00176,4225 MILLER RD STE B-9,MI,48507
UPS,SAN FRANCISCO,178,#00178 #0178 0178 178 #178 00178,3145 GEARY BLVD,CA,94118
UPS,SUNNYVALE,180,#00180 #0180 0180 180 #180 00180,1030 E EL CAMINO REAL,CA,94087
UPS,FORT LAUDERDALE,181,#00181 #0181 0181 181 #181 00181,6278 N FEDERAL HWY,FL,33308
UPS,FAIRFIELD,185,#00185 #0185 0185 185 #185 00185,2490 BLACK ROCK TURNPIKE,CT,6824
UPS,VILLA PARK,188,#00188 #0188 0188 188 #188 00188,17853 SANTIAGO BLVD STE 107,CA,92861
UPS,CONCORD,190,#00190 #0190 0190 190 #190 00190,5100-B1 CLAYTON RD,CA,94521
UPS,WOODINVILLE,191,#00191 #0191 0191 191 #191 00191,14241 NE WOODINVILLE-DUVALL RD,WA,98072
UPS,FAIRPORT,193,#00193 #0193 0193 193 #193 00193,144 FAIRPORT VILLAGE LANDING,NY,14450
UPS,TUCSON,196,#00196 #0196 0196 196 #196 00196,3661 N CAMPBELL AVE,AZ,85719
UPS,MORGAN HILL,197,#00197 #0197 0197 197 #197 00197,305 VINEYARD TOWN CENTER,CA,95037
UPS,LAFAYETTE,202,#00202 #0202 0202 202 #202 00202,3527 MT DIABLO BLVD,CA,94549
UPS,EL PASO,207,#00207 #0207 0207 207 #207 00207,7101 N MESA,TX,79912
UPS,WASHINGTON,208,#00208 #0208 0208 208 #208 00208,3220 N ST NW,DC,20007
UPS,COLUMBIA,209,#00209 #0209 0209 209 #209 00209,10451 TWIN RIVERS RD STE 101B,MD,21044
UPS,ALBUQUERQUE,210,#00210 #0210 0210 210 #210 00210,7200 MONTGOMERY NE STE B9,NM,87109
UPS,ROCHESTER HILLS,211,#00211 #0211 0211 211 #211 00211,145 SOUTH LIVERNOIS,MI,48307
UPS,TROY,213,#00213 #0213 0213 213 #213 00213,2899 E BIG BEAVER RD,MI,48083
UPS,FREMONT,217,#00217 #0217 0217 217 #217 00217,39120 ARGONAUT WAY,CA,94538
UPS,CHESTERFIELD,219,#00219 #0219 0219 219 #219 00219,36 FOUR SEASONS SHOPPING CENTER,MO,63017
UPS,STAUNTON,220,#00220 #0220 0220 220 #220 00220,644 GREENVILLE AVE,VA,24401
UPS,NANUET,224,#00224 #0224 0224 224 #224 00224,119 ROCKLAND CENTER,NY,10954
UPS,GLENDALE,225,#00225 #0225 0225 225 #225 00225,4397 W BETHANY HOME RD,AZ,85301
UPS,MAYFIELD HEIGHTS,226,#00226 #0226 0226 226 #226 00226,1284 SOM CENTER RD,OH,44124
UPS,GREENVILLE,227,#00227 #0227 0227 227 #227 00227,2435 E NORTH ST,SC,29615
UPS,GREER,232,#00232 #0232 0232 232 #232 00232,2123 OLD SPARTANBURG RD,SC,29650
UPS,AUSTIN,233,#00233 #0233 0233 233 #233 00233,815-A BRAZOS ST,TX,78701
UPS,EVERETT,235,#00235 #0235 0235 235 #235 00235,10121 EVERGREEN WY #25,WA,98204
UPS,GILROY,236,#00236 #0236 0236 236 #236 00236,353 E 10TH ST STE E,CA,95020
UPS,TAMARAC,238,#00238 #0238 0238 238 #238 00238,7154 N UNIVERSITY DR,FL,33321
UPS,LAKE OSWEGO,239,#00239 #0239 0239 239 #239 00239,333 S STATE ST STE V,OR,97034
UPS,SAN JOSE,240,#00240 #0240 0240 240 #240 00240,5339 PROSPECT RD,CA,95129
UPS,SAINT CHARLES,241,#00241 #0241 0241 241 #241 00241,2025 ZUMBEHL RD,MO,63303
UPS,OAKLAND,243,#00243 #0243 0243 243 #243 00243,6114 LA SALLE AVE,CA,94611
UPS,FOSTER CITY,244,#00244 #0244 0244 244 #244 00244,969-G EDGEWATER BLVD,CA,94404
UPS,MENTOR,245,#00245 #0245 0245 245 #245 00245,9401 MENTOR AVE,OH,44060
UPS,COSTA MESA,247,#00247 #0247 0247 247 #247 00247,2973 HARBOR BLVD,CA,92626
UPS,ATLANTA,248,#00248 #0248 0248 248 #248 00248,4279 ROSWELL RD NE STE 102,GA,30342
UPS,CHULA VISTA,250,#00250 #0250 0250 250 #250 00250,591 TELEGRAPH CANYON RD,CA,91910
UPS,BIRMINGHAM,255,#00255 #0255 0255 255 #255 00255,130 INVERNESS PLAZA,AL,35242
UPS,MINT HILL,256,#00256 #0256 0256 256 #256 00256,7427 MATTHEWS MINT HILL RD STE 105,NC,28227
UPS,ROSWELL,263,#00263 #0263 0263 263 #263 00263,10800 ALPHARETTA HWY STE 208,GA,30076
UPS,ASHEVILLE,264,#00264 #0264 0264 264 #264 00264,825C MERRIMON AVE,NC,28804
UPS,SACRAMENTO,266,#00266 #0266 0266 266 #266 00266,2443 FAIR OAKS BLVD,CA,95825
UPS,CRESTWOOD,267,#00267 #0267 0267 267 #267 00267,9051 WATSON RD,MO,63126
UPS,EL PASO,271,#00271 #0271 0271 271 #271 00271,1605 GEORGE DIETER STE C,TX,79936
UPS,MARTINEZ,272,#00272 #0272 0272 272 #272 00272,1155-C ARNOLD DR,CA,94553
UPS,PHOENIX,273,#00273 #0273 0273 273 #273 00273,610 E BELL RD #2,AZ,85022
UPS,COLUMBIA,275,#00275 #0275 0275 275 #275 00275,8630-M GUILFORD RD,MD,21046
UPS,PORTLAND,279,#00279 #0279 0279 279 #279 00279,110 MARGINAL WAY,ME,4101
