keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Vera Bradley,Burlington,6000001,#0001 #001 #1 6000001,2624 W 8Th Street,PA,16505
Vera Bradley,Destin,6000003,#0003 #003 #3 6000003,1257 Perry Highway,PA,16051
Vera Bradley,Erie,6000004,#0004 #004 #4 6000004,15721 WC Main St.,VA,23113
Vera Bradley,Portersville,6000009,#0009 #009 #9 6000009,920 E 1St Street,KS,67202
Vera Bradley,Greencastle,6000012,#00012 #0012 #12 6000012,1118 Chicago Avenue,IL,60302
Vera Bradley,Midlothian,6000014,#00014 #0014 #14 6000014,7144 Main Street,VA,20124
Vera Bradley,Wichita,6000018,#00018 #0018 #18 6000018,107 E 2Nd Avenue,VA,23851
Vera Bradley,Oak Park,6000020,#00020 #0020 #20 6000020,12235 S Saginaw Street,MI,48439
Vera Bradley,Clifton,6000023,#00023 #0023 #23 6000023,107 Wilton Road,NH,3458
Vera Bradley,Franklin,6000025,#00025 #0025 #25 6000025,93 Main Street,RI,2818
Vera Bradley,Grand Blanc,6000029,#00029 #0029 #29 6000029,2690 Frederica Street,KY,42301
Vera Bradley,Peterborough,6000031,#00031 #0031 #31 6000031,109 W Flaget,KY,40004
Vera Bradley,East Greenwich,6000033,#00033 #0033 #33 6000033,314-318 N Main Street,OH,45356
Vera Bradley,Owensboro,6000036,#00036 #0036 #36 6000036,495 Glen Eagle Square,PA,19342
Vera Bradley,Bardstown,6000047,#00047 #0047 #47 6000047,140-A N Main Street,NC,28012
Vera Bradley,Piqua,6000049,#00049 #0049 #49 6000049,4-B Skidaway Village Walk,GA,31411
Vera Bradley,Glen Mills,6000055,#00055 #0055 #55 6000055,5695 Hopkinsville Road,KY,42211
Vera Bradley,Savannah,6000056,#00056 #0056 #56 6000056,40 North Main,IN,46077
Vera Bradley,Cadiz,6000066,#00066 #0066 #66 6000066,10 Main Street,RI,2852
Vera Bradley,Zionsville,6000067,#00067 #0067 #67 6000067,2210 Rosemont Place,AL,36106
Vera Bradley,North Kingstown,6000068,#00068 #0068 #68 6000068,1976 S Telegraph,MI,48302
Vera Bradley,Montgomery,6000070,#00070 #0070 #70 6000070,Route 101A,NH,3054
Vera Bradley,Bloomfield Hills,6000074,#00074 #0074 #74 6000074,950 Canton Street,GA,30075
Vera Bradley,Merrimack,6000076,#00076 #0076 #76 6000076,1037 2nd Street Pike,PA,18954
Vera Bradley,Roswell,6000079,#00079 #0079 #79 6000079,9305 N Pennsylvania Avenue,OK,73120
Vera Bradley,Richboro,6000080,#00080 #0080 #80 6000080,1181 Jackson Avenue,FL,32428
Vera Bradley,Oklahoma City,6000081,#00081 #0081 #81 6000081,117 E Main Street,FL,33873
Vera Bradley,Chipley,6000082,#00082 #0082 #82 6000082,801 Madison Avenue N,GA,31533
Vera Bradley,Wauchula,6000085,#00085 #0085 #85 6000085,717 N 12Th Avenue,FL,32501
Vera Bradley,Douglas,6000086,#00086 #0086 #86 6000086,1801 S Harper Road Ste 18,MS,38834
Vera Bradley,Pensacola,6000092,#00092 #0092 #92 6000092,103 Highway 15,NJ,7848
