keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Winn-Dixie,JACKSONVILLE,2,#2,2220 COUNTY RD 210 W STE 200,FL,32259
Winn-Dixie,MONTICELLO,3,#3,1245 S. JEFFERSON ST.,FL,32344
Winn-Dixie,PONTE VEDRA BEACH,5,#5,290 SOLANA ROAD,FL,32082
Winn-Dixie,ORANGE PARK,8,#8,1339 BLANDING BLVD.,FL,32065
Winn-Dixie,JACKSONVILLE,12,#12,12333 SAGO AVE W.,FL,32218
Winn-Dixie,NEPTUNE BEACH,18,#18,1209 ATLANTIC BLVD.,FL,32266
Winn-Dixie,ST SIMONS ISLAND,19,#19,220 RETREAT VILLAGE,GA,31522
Winn-Dixie,JACKSONVILLE,21,#21,2220 County Rd 210 w Suite 301,FL,32259
Winn-Dixie,ALBANY,22,#22,2800 OLD DAWSON RD,GA,31707
Winn-Dixie,JACKSONVILLE,25,#25,8775 OLD KINGS ROAD SOUTH,FL,32217
Winn-Dixie,MADISON,28,#28,729 W. BASE STREET,FL,32340
Winn-Dixie,HIGH SPRINGS,30,#30,20303 N US HIGHWAY 441,FL,32643
Winn-Dixie,HIGH SPRINGS,31,#31,1070 NW SANTA FE BLVD,FL,32643
Winn-Dixie,LAKE PARK,32,#32,1060 LAKES BLVD.,GA,31636
Winn-Dixie,JACKSONVILLE,37,#37,777 MARKET STREET,FL,32202
Winn-Dixie,JACKSONVILLE,51,#51,6060-10 FT CAROLINE ROAD,FL,32277
Winn-Dixie,TALLAHASSEE,52,#52,3813-10 N. MONROE ST.,FL,32303
Winn-Dixie,JACKSONVILLE,54,#54,1531 MONUMENT ROAD,FL,32225
Winn-Dixie,BRUNSWICK,60,#60,1941 GLYNN AVE.,GA,31520
Winn-Dixie,JACKSONVILLE,72,#72,7534 BEACH BLVD,FL,32216
Winn-Dixie,ST AUGUSTINE,77,#77,1010 PONCE DE LEON BLVD S,FL,32084
Winn-Dixie,JACKSONVILLE,80,#80,9866 BAYMEADOWS ROAD,FL,32256
Winn-Dixie,LAKE CITY,81,#81,580 S. Marion Avenue,FL,32025
Winn-Dixie,LAKE CITY,82,#82,580 S MARION AVE,FL,32025
Winn-Dixie,FERNANDINA BEACH,84,#84,947 AMELIA PLAZA,FL,32034
Winn-Dixie,STARKE,85,#85,470 W. MADISON STREET,FL,32091
Winn-Dixie,TALLAHASSEE,86,#86,111-39 S. MAGNOLIA DRIVE,FL,32301
Winn-Dixie,JACKSONVILLE,89,#89,"2261 EDGEWOOD AVE., W.",FL,32209
Winn-Dixie,TALLAHASSEE,90,#90,111-39-1 S. MAGNOLIA,FL,32301
Winn-Dixie,MIDDLEBURG,93,#93,2720 BLANDING BLVD.,FL,32068
Winn-Dixie,BRUNSWICK,97,#97,4404 ALTAMA AVENUE,GA,31520
Winn-Dixie,MOULTRIE,101,#101,103 TALMADGE DRIVE,GA,31768
Winn-Dixie,ORANGE PARK,103,#103,1545 COUNTY ROAD 220,FL,32003
Winn-Dixie,PERRY,104,#104,2057 S BYRON BUTLER PKWY,FL,32348
Winn-Dixie,NEPTUNE BEACH,106,#106,1227 ATLANTIC BLVD,FL,32266
Winn-Dixie,JACKSONVILLE,107,#107,5909 UNIVERSITY BLVD. W.,FL,32216
Winn-Dixie,LEESBURG,110,#110,1553 US 19 SOUTH,GA,31763
Winn-Dixie,TALLAHASSEE,116,#116,110 PAUL RUSSELL ROAD,FL,32301
Winn-Dixie,TALLAHASSEE,125,#125,1525 WEST THARPE STREET,FL,32303
Winn-Dixie,ST AUGUSTINE,129,#129,3905 A1A SOUTH,FL,32080
Winn-Dixie,GREEN COVE SPRINGS,135,#135,2851 HENLEY ROAD STE. 200,FL,32043
Winn-Dixie,GREEN COVE SPRINGS,136,#136,"2851 HENLEY RD., STE. 108",FL,32043
Winn-Dixie,GREEN COVE SPRINGS,138,#138,3260 HIGHWAY 17,FL,32043
Winn-Dixie,VALDOSTA,140,#140,3200 NORTH ASHLEY ST.,GA,31602
Winn-Dixie,JACKSONVILLE,141,#141,11701-10 SAN JOSE BLVD,FL,32223
Winn-Dixie,HILLIARD,142,#142,550969 US HWY 1,FL,32046
Winn-Dixie,JACKSONVILLE,143,#143,11701-10A SAN JOSE BLVD,FL,32223
Winn-Dixie,MACCLENNY,144,#144,1436 S R 121st South,FL,32063
Winn-Dixie,ORANGE PARK,145,#145,248 BLANDING BLVD.,FL,32073
Winn-Dixie,GAINESVILLE,150,#150,300 SW 16th Ave - Suite A,FL,32601
Winn-Dixie,CALLAHAN,151,#151,450078 SR 200,FL,32011
Winn-Dixie,JACKSONVILLE,153,#153,7921 NORMANDY BLVD.,FL,32221
Winn-Dixie,PALATKA,156,#156,901 HWY 19 SOUTH,FL,32177
Winn-Dixie,BRUNSWICK,159,#159,5420 NEW JESUP HWY,GA,31525
Winn-Dixie,GAINESVILLE,160,#160,2500 N. MAIN STREET,FL,32609
Winn-Dixie,JACKSONVILLE,161,#161,49 ARLINGTON ROAD SOUTH,FL,32216
Winn-Dixie,KINGSLAND,166,#166,1390 E Boone Street,GA,31548
Winn-Dixie,JACKSONVILLE,167,#167,3000 DUNN AVENUE,FL,32218
Winn-Dixie,CHIEFLAND,168,#168,2202 No. Young Blvd,FL,32626
Winn-Dixie,BAINBRIDGE,169,#169,915 SHOTWELL STREET,GA,39819
Winn-Dixie,WILLISTON,171,#171,727 W.NOBLE AVENUE,FL,32696
Winn-Dixie,VALDOSTA,173,#173,1105 MADISON HIGHWAY,GA,31601
Winn-Dixie,JACKSONVILLE,174,#174,12777 ATLANTIC BLVD.,FL,32225
Winn-Dixie,JACKSONVILLE,176,#176,8560 ARGYLE FOREST BLVD,FL,32244
Winn-Dixie,JACKSONVILLE,177,#177,3538 BLANDING BLVD.,FL,32210
Winn-Dixie,JACKSONVILLE,179,#179,11101 OLD ST AUGUSTINE RD,FL,32257
Winn-Dixie,YULEE,180,#180,96076 LOFTON SQUARE ct,FL,32097
Winn-Dixie,ST AUGUSTINE,182,#182,3551 N. PONCE DE LEON BLVD,FL,32084
Winn-Dixie,JACKSONVILLE,183,#183,3538-A BLANDING BLVD.,FL,32210
Winn-Dixie,QUINCY,184,#184,1632 W JEFFERSON ST,FL,32351
Winn-Dixie,CRAWFORDVILLE,186,#186,2629 CRAWFORDVILLE HIGHWAY,FL,32327
Winn-Dixie,JACKSONVILLE,187,#187,8560 ARGYLE FOREST BLVD UNIT#1,FL,32244
Winn-Dixie,JACKSONVILLE,190,#190,1520 W UNIVERSITY BLVD,FL,32217
Winn-Dixie,JACKSONVILLE,191,#191,5207 NORMANDY BOULEVARD,FL,32205
Winn-Dixie,JACKSONVILLE,195,#195,"11380 Beach Blvd, Suite 6",FL,32246
Winn-Dixie,CRESCENT CITY,196,#196,1115 NORTH SUMMIT STREET,FL,32112
Winn-Dixie,GAINESVILLE,197,#197,300 S.W. 16TH AVENUE,FL,32601
Winn-Dixie,LIVE OAK,198,#198,911 PINEWOOD DRIVE SW,FL,32064
Winn-Dixie,JACKSONVILLE,199,#199,703 CHAFFEE RD.,FL,32221
Winn-Dixie,HALLANDALE,203,#203,1055 WEST HALLANDALE BEACH BLV,FL,33009
Winn-Dixie,FT LAUDERDALE,204,#204,1035 NW 9TH AVE,FL,33311
Winn-Dixie,POMPANO BEACH,207,#207,3435 N FEDERAL HWY,FL,33064
