Accuracy,Class,True Positive,False Positive,False Negative,True Negative,Precision,Recall,Specificity,F Measure
0.9893671607753706,Null Class,0,0,9013,867987,,0.0,1.0,
,24 Hour Fitness,1282,0,0,875718,1.0,1.0,1.0,1.0
,7-Eleven,1774,9,2,875215,0.9949523275378576,0.9988738738738738,0.9999897169181833,0.9969092441697105
,99 Cents Only Stores,962,13,0,876025,0.9866666666666667,1.0,0.9999851604610759,0.9932885906040269
,A&P,925,6,0,876069,0.9935553168635876,1.0,0.9999931512712953,0.9967672413793104
,A.C. Moore,962,0,0,876038,1.0,1.0,1.0,1.0
,AAA,2015,58,1,874926,0.9720212252773758,0.9995039682539683,0.9999337130736105,0.9855710442651014
,ABC Stores,968,6,0,876026,0.9938398357289527,1.0,0.9999931509351256,0.9969104016477858
,ABCmouse.com,769,0,0,876231,1.0,1.0,1.0,1.0
,Abercrombie & Fitch,103,5,0,876892,0.9537037037037037,1.0,0.9999942980760568,0.976303317535545
,Academy Sports + Outdoors,955,5,0,876040,0.9947916666666666,1.0,0.9999942925306349,0.9973890339425587
,Ace Hardware,1198,54,0,875748,0.9568690095846646,1.0,0.9999383422280378,0.9779591836734695
,Acme Markets,1069,11,0,875920,0.9898148148148148,1.0,0.9999874419332117,0.9948813401582132
,ACS Education Services,1238,11,0,875751,0.9911929543634908,1.0,0.9999874395098212,0.9955770004020909
,Adidas,232,22,0,876746,0.9133858267716536,1.0,0.999974907843352,0.9547325102880658
,Adobe Systems,1066,2,0,875932,0.99812734082397,1.0,0.9999977167229495,0.9990627928772258
,ADT Security,1099,2,0,875899,0.9981834695731153,1.0,0.9999977166369258,0.999090909090909
,Advance Auto Parts,818,23,1,876158,0.9726516052318668,0.9987789987789988,0.9999737497160974,0.9855421686746987
,Aeropostale,1022,1,0,875977,0.9990224828934506,1.0,0.9999988584188187,0.9995110024449878
,Aetna,1089,1,0,875910,0.9990825688073395,1.0,0.9999988583314972,0.9995410738871042
,Airbnb,114,4,0,876882,0.9661016949152542,1.0,0.9999954384036237,0.9827586206896551
,AirTran Airways,172,12,0,876816,0.9347826086956522,1.0,0.9999863143056563,0.9662921348314606
,Alabama Power,997,1,0,876002,0.998997995991984,1.0,0.999998858451398,0.9994987468671679
,Alaska Airlines,623,9,0,876368,0.9857594936708861,1.0,0.9999897304470564,0.9928286852589641
,Albertsons,1312,93,1,875594,0.9338078291814946,0.9992383853769993,0.9998937976697153,0.9654157468727006
,ALDI,1039,1,0,875960,0.9990384615384615,1.0,0.9999988583966638,0.9995189995189995
,Aldo,1025,16,1,875958,0.9846301633045149,0.9990253411306043,0.9999817346176941,0.9917755200774069
,AliExpress.com,272,0,0,876728,1.0,1.0,1.0,1.0
,Allstate,1114,3,0,875883,0.9973142345568488,1.0,0.9999965748967331,0.9986553115194979
,Allsup's,1032,1,0,875967,0.9990319457889641,1.0,0.9999988584057865,0.9995157384987894
,Amazon Digital Services,1139,3,0,875858,0.9973730297723292,1.0,0.9999965747989692,0.9986847873739588
,Amazon Kindle,1089,1,0,875910,0.9990825688073395,1.0,0.9999988583314972,0.9995410738871042
,Amazon.com,2832,20,4,874144,0.9929873772791024,0.998589562764457,0.9999771209978906,0.9957805907172996
,American Airlines,1165,12,0,875823,0.989804587935429,1.0,0.9999862987891555,0.9948761742100768
,American Apparel,130,0,0,876870,1.0,1.0,1.0,1.0
,American Eagle Outfitters,948,6,0,876046,0.9937106918238994,1.0,0.9999931510914877,0.9968454258675079
,American Express,2559,21,1,874419,0.9918604651162791,0.999609375,0.9999759846301634,0.9957198443579767
,American Family Insurance,993,4,0,876003,0.995987963891675,1.0,0.9999954338264421,0.9979899497487438
,American Funds,999,0,1,876000,1.0,0.999,1.0,0.9994997498749374
,American Home Shield,360,1,0,876639,0.997229916897507,1.0,0.9999988592808907,0.9986130374479889
,American Water,950,4,0,876046,0.9958071278825996,1.0,0.9999954340505679,0.9978991596638656
,Amoco Corporation,902,14,0,876084,0.9847161572052402,1.0,0.9999840200525512,0.9922992299229924
,Ampco System Parking,1061,1,0,875938,0.9990583804143126,1.0,0.9999988583679914,0.9995289684408855
,Amtrak,1003,1,0,875996,0.999003984063745,1.0,0.9999988584435792,0.9995017438963627
,Ancestry.com,484,3,0,876513,0.9938398357289527,1.0,0.9999965773585422,0.9969104016477858
,Angie's List,450,5,0,876545,0.989010989010989,1.0,0.9999942958188353,0.994475138121547
,Ann Taylor,1073,1,0,875926,0.9990689013035382,1.0,0.9999988583523512,0.999534233814625
,Anthropologie,944,1,0,876055,0.9989417989417989,1.0,0.9999988585204599,0.9994706193753309
,Anytime Fitness,1038,2,0,875960,0.9980769230769231,1.0,0.9999977167959341,0.9990375360923965
,AOL,802,0,0,876198,1.0,1.0,1.0,1.0
,Apple Inc.,2031,4,0,874965,0.9980343980343981,1.0,0.9999954284094636,0.9990162321692081
,Applebee's,1022,0,0,875978,1.0,1.0,1.0,1.0
,Aramark,1328,8,2,875662,0.9940119760479041,0.9984962406015038,0.999990864138317,0.9962490622655663
,Arby's,1126,2,1,875871,0.99822695035461,0.9991126885536823,0.9999977165639311,0.998669623059867
,ARCO,1307,64,0,875629,0.9533187454412837,1.0,0.9999269150261564,0.9761015683345781
,Army and Air Force Exchange Service,4518,104,9,872369,0.977498918217222,0.9980119284294234,0.9998807986035098,0.9876489233796043
,ASOS,121,1,0,876878,0.9918032786885246,1.0,0.9999988595918022,0.9958847736625513
,Associated Supermarkets,1086,12,0,875902,0.9890710382513661,1.0,0.9999863000248883,0.9945054945054945
,AT&T,2291,35,0,874674,0.9849527085124677,1.0,0.9999599866927172,0.9924193199047001
,Atmos Energy,1088,0,0,875912,1.0,1.0,1.0,1.0
,Au Bon Pain,1068,15,0,875917,0.9861495844875346,1.0,0.9999828753830206,0.99302649930265
,Audible Inc.,1060,1,0,875939,0.9990574929311969,1.0,0.9999988583692947,0.9995285242809996
,Auntie Anne's,1027,0,0,875973,1.0,1.0,1.0,1.0
,AutoZone,1000,1,1,875998,0.999000999000999,0.999000999000999,0.9999988584461854,0.999000999000999
,Avanti Markets,1085,0,0,875915,1.0,1.0,1.0,1.0
,Aveda,272,11,0,876717,0.9611307420494699,1.0,0.9999874533492714,0.9801801801801802
,Bahama Breeze,360,4,0,876636,0.989010989010989,1.0,0.9999954371235626,0.994475138121547
,Baja Fresh,1035,0,0,875965,1.0,1.0,1.0,1.0
,Balducci's,128,34,0,876838,0.7901234567901234,1.0,0.9999612258117491,0.8827586206896552
,Banana Republic,1131,5,0,875864,0.9955985915492958,1.0,0.9999942913837572,0.9977944419938244
,Banfield,1099,1,0,875900,0.9990909090909091,1.0,0.9999988583184629,0.9995452478399274
,Bank of America,5003,298,3,871696,0.9437841916619506,0.9994007191370355,0.9996582545292743,0.9707965460366742
,Bar Louie,226,8,0,876766,0.9658119658119658,1.0,0.9999908756418415,0.9826086956521739
,Bare Escentuals,379,3,0,876618,0.9921465968586387,1.0,0.9999965777684997,0.9960578186596584
,Barnes & Noble,1270,5,0,875725,0.996078431372549,1.0,0.9999942904776586,0.9980353634577603
,BART,994,26,0,875980,0.9745098039215686,1.0,0.999970319837992,0.9870903674280039
,Bashas' Supermarkets,969,0,0,876031,1.0,1.0,1.0,1.0
,Baskin-Robbins,960,3,0,876037,0.9968847352024922,1.0,0.9999965754988357,0.9984399375975038
,Bass Pro Shops,982,0,0,876018,1.0,1.0,1.0,1.0
,Bath & Body Works,1554,6,0,875440,0.9961538461538462,1.0,0.9999931463505459,0.9980732177263969
,Batteries Plus,436,55,0,876509,0.8879837067209776,1.0,0.9999372550093318,0.9406688241639698
,Beachbody,591,2,0,876407,0.9966273187183811,1.0,0.99999771796045,0.9983108108108107
,Bealls,1013,1,0,875986,0.9990138067061144,1.0,0.9999988584305475,0.9995066600888012
,Bed Bath & Beyond,1116,5,0,875879,0.9955396966993756,1.0,0.9999942914815204,0.9977648636566832
,Belk,1011,9,1,875979,0.9911764705882353,0.9990118577075099,0.999989725886656,0.9950787401574804
