Accuracy,Class,True Positive,False Positive,False Negative,True Negative,Precision,Recall,Specificity,F Measure
0.9890690134321445,Bank Adjustment - Adjustment,153,1,4,10637,0.9935064935064936,0.9745222929936306,0.9999059973679263,0.9839228295819937
,Deposits & Credits - ATM/Teller Deposit,405,1,2,10387,0.9975369458128078,0.995085995085995,0.9999037350789373,0.9963099630996309
,Deposits & Credits - Deposit,315,3,17,10460,0.9905660377358491,0.9487951807228916,0.9997132753512377,0.9692307692307691
,Deposits & Credits - Direct Deposit,2550,34,25,8186,0.9868421052631579,0.9902912621359223,0.9958637469586374,0.9885636751308392
,Deposits & Credits - Investment Income / Cash,353,3,2,10437,0.9915730337078652,0.9943661971830986,0.9997126436781609,0.9929676511954993
,Deposits & Credits - Mobile/Remote Deposit,1191,2,1,9601,0.9983235540653814,0.9991610738255033,0.9997917317504946,0.9987421383647799
,Deposits & Credits - Rewards,964,12,16,9803,0.9877049180327869,0.9836734693877551,0.9987773815588386,0.9856850715746422
,Deposits & Credits - SSA,972,0,0,9823,1.0,1.0,1.0,1.0
,Deposits & Credits - Tax Refund,106,0,0,10689,1.0,1.0,1.0,1.0
,Other Deposits - Credit,19,1,2,10773,0.95,0.9047619047619048,0.9999071839613886,0.9268292682926829
,Interest - Interest,748,0,2,10045,1.0,0.9973333333333333,1.0,0.9986648865153538
,Refund - Service Charge/Fee Refund,227,4,1,10563,0.9826839826839827,0.9956140350877193,0.9996214630453298,0.9891067538126361
,Refund - Refund,377,40,22,10356,0.9040767386091128,0.9448621553884712,0.9961523662947287,0.9240196078431373
,Refund - Reimbursement,212,2,4,10577,0.9906542056074766,0.9814814814814815,0.999810946214198,0.986046511627907
,Transfer - Overdraft Protection,110,5,0,10680,0.9565217391304348,1.0,0.9995320542817033,0.9777777777777777
,Transfer - Transfer,1975,10,20,8790,0.9949622166246851,0.9899749373433584,0.9988636363636364,0.9924623115577889
