Accuracy,Class,True Positive,False Positive,False Negative,True Negative,Precision,Recall,Specificity,F Measure
0.9600564857776881,Bank Adjustment - Adjustment,187,3,3,14678,0.9842105263157894,0.9842105263157894,0.9997956542469859,0.9842105263157894
,Charges & Fees - Annual Fee,74,0,1,14796,1.0,0.9866666666666667,1.0,0.9932885906040269
,Charges & Fees - Convenience Fee,134,4,3,14730,0.9710144927536232,0.9781021897810219,0.9997285190715353,0.9745454545454545
,Charges & Fees - Debit Card Fee,60,0,0,14811,1.0,1.0,1.0,1.0
,Charges & Fees - NSF Fees,36,3,1,14831,0.9230769230769231,0.972972972972973,0.9997977618983417,0.9473684210526315
,Charges & Fees - Other Charges & Fees,200,6,24,14641,0.970873786407767,0.8928571428571429,0.9995903598006418,0.930232558139535
,Charges & Fees - Overdraft Charge,101,0,5,14765,1.0,0.9528301886792453,1.0,0.9758454106280194
,Charges & Fees - Returned Check Charge,37,3,1,14830,0.925,0.9736842105263158,0.9997977482640059,0.9487179487179489
,Charges & Fees - Service Charge,168,2,3,14698,0.9882352941176471,0.9824561403508771,0.9998639455782313,0.9853372434017595
,Charges & Fees - Stop Payment Charge,62,1,1,14807,0.9841269841269841,0.9841269841269841,0.9999324689357104,0.9841269841269841
,Other Withdrawals - Debit,6,2,7,14856,0.75,0.46153846153846156,0.9998653923812088,0.5714285714285714
,Payment - Auto Loan,89,5,11,14766,0.9468085106382979,0.89,0.9996614988829463,0.9175257731958764
,Payment - Child Support,72,1,0,14798,0.9863013698630136,1.0,0.9999324278667477,0.993103448275862
,Payment - Credit Card Payment,726,35,34,14076,0.9540078843626807,0.9552631578947368,0.9975196655091773,0.9546351084812623
,Payment - Home Loan / Mortgage,160,0,9,14702,1.0,0.9467455621301775,1.0,0.9726443768996961
,Payment - Insurance Payment,267,11,23,14570,0.960431654676259,0.9206896551724137,0.9992455935806872,0.9401408450704225
,Payment - Loan,96,6,4,14765,0.9411764705882353,0.96,0.9995937986595356,0.9504950495049505
,Payment - Payment,696,194,212,13769,0.7820224719101123,0.7665198237885462,0.9861061376495023,0.7741935483870968
,Payment - Payment by Check,949,2,18,13902,0.9978969505783386,0.9813857290589452,0.9998561565017261,0.9895724713242962
,Payment - Personal Loan,64,0,1,14806,1.0,0.9846153846153847,1.0,0.9922480620155039
,Payment - Recurring / Subscription Payment,249,7,14,14601,0.97265625,0.9467680608365019,0.9995208105147865,0.9595375722543352
,Payment - Student Loan,92,2,4,14773,0.9787234042553191,0.9583333333333334,0.9998646362098139,0.968421052631579
,Payment - Tax Payment,187,5,10,14669,0.9739583333333334,0.949238578680203,0.9996592612784517,0.961439588688946
,Payment - Utilities Payment,168,14,42,14647,0.9230769230769231,0.8,0.999045085601255,0.8571428571428571
,Purchase - Online Purchase,381,12,12,14466,0.9694656488549618,0.9694656488549618,0.9991711562370493,0.9694656488549618
,Purchase - Purchase,6841,244,76,7710,0.965561044460127,0.9890125777070985,0.9693236107618808,0.9771461219825739
,Transfer - Overdraft Protection,168,2,2,14699,0.9882352941176471,0.9882352941176471,0.9998639548330046,0.9882352941176471
,Transfer - Transfer,1374,22,49,13426,0.9842406876790831,0.9655657062543921,0.9983640690065437,0.9748137637460091
,Withdrawal - ATM / Cash Withdrawal,633,8,24,14206,0.9875195007800313,0.9634703196347032,0.9994371746165752,0.9753466872110941
