1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
141,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0
0,275,1,0,0,0,1,0,0,0,0,3,1,0,0,0
0,0,235,4,0,0,1,0,0,0,0,6,0,1,0,1
0,0,1,1725,1,0,1,0,1,0,0,16,2,0,0,2
0,0,0,3,302,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1020,1,0,0,0,0,0,0,0,0,0
0,0,0,2,0,1,965,0,0,0,0,3,0,0,0,1
0,0,0,3,0,0,0,929,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,292,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
4,0,6,14,1,2,4,0,0,0,0,349,1,2,1,3
0,0,0,3,0,0,1,0,0,0,0,2,224,0,0,1
0,0,0,0,0,0,1,0,0,0,0,1,0,201,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0
1,0,1,2,0,0,3,0,0,0,0,5,0,0,0,940
