** LATE CHARGE ,
41 FASTLANE              FORISTELL    MO ,
AAFES AVIANO SHOP 4 SE   APO          AE ,AAFES
7-ELEVEN 26941 00072WOODBRIDGE  420271230 7 703-878-7674 ,7-Eleven
AA CTR-CONCES 10133056   DALLAS       TX ,
ITUNES MUSIC STORE ITUNESAUSTIN       TX ,Apple
CVSPHARMACY #5194 Q03 FORT WALTON B FL ,CVS Pharmacy
CAPITAL DERMATOLOGY      ANNAPOLIS    MD ,PETSMART
PETSMART INC 633         GULFPORT     MS ,PETSMART
REDBOX *DVD RENTAL       OAKBRKTERRACEIL ,Redbox
CVS PHARMACY #7168 Q03   BOLINGBROOK  IL ,CVS Pharmacy
WAL-MART #1828           PLOVER       WI ,WALMART
ACADEMY SPORTS #46       SELMA        TX ,Academy Sports
SAMSCLUB #4761           NORMAN       OK ,SAMSCLUB
ITUNES MUSIC STORE ITUNESAUSTIN       TX ,Apple
ACAPULCO #10             LEBANON      OH ,
KOHL'S #0293             PITTSBURGH   PA ,KOHLS
PAYPAL *BESTY            402-935-7733 CA ,PAYPAL
ACT*REGISTRATION         877-228-4881 CA ,
KROGER #408              CANTON       GA ,Kroger
ACT*USC RECREATION       877-228-4881 CA ,
WAL-MART #1749           SOMERSWORTH  NH ,WALMART
ALBERTSONS #521          LAKE OSWEGO  OR ,Albertsons
AMAZON DIGITAL SVCS      866-216-1072 WA ,Amazon
AMAZON DIGITAL SVCS      866-216-1072 WA ,Amazon
AMAZON MKTPLACE PMTS     AMZN.COM/BILLWA ,Amazon
AMAZON MKTPLACE PMTS     AMZN.COM/BILLWA ,Amazon
USAA.COM PMT - THANK YOU SAN ANTONIO  TX ,USAA
USAA INS PREMIUM         SAN ANTONIO  TX ,USAA
AMAZON MKTPLACE PMTS     AMZN.COM/BILLWA ,Amazon
AMAZON MKTPLACE PMTS     AMZN.COM/BILLWA ,Amazon
MCDONALD'S M4270 OF      PORT ST LUCIEFL ,Mcdonalds
USAA FSB-OVERDRAFT       SAN ANTONIO  TX ,USAA
AMAZON MKTPLACE PMTS     AMZN.COM/BILLWA ,Amazon
AMAZON MKTPLACE PMTS     AMZN.COM/BILLWA ,Amazon
AMAZON MKTPLACE PMTS     AMZN.COM/BILLWA ,Amazon
AMAZON MKTPLACE PMTS     AMZN.COM/BILLWA ,Amazon
AMAZON MKTPLACE PMTS   AMZN.COM/BILLWA ,Amazon
AMAZON SERVICES-KINDLE   866-321-8851 WA ,Amazon
AMAZON SERVICES-KINDLE   866-321-8851 WA ,Amazon
USAA INS PREMIUM         SAN ANTONIO  TX ,USAA
AMAZON SERVICES-KINDLE   866-321-8851 WA ,Amazon
Amazon.com ,Amazon
AMAZON.COM               AMZN.COM/BILLWA ,Amazon
AMAZON.COM               AMZN.COM/BILLWA ,Amazon
AMAZON.COM               AMZN.COM/BILLWA ,Amazon
ANNAS LINENS 600         ROCK HILL    SC ,Annas Linens
ANTHONYS COAL FIRED PI   PEMBROKE PINEFL ,
ANTHROPOLOGIE #453       SPRING       TX ,
MCDONALD'S F1605         PLATTSBURGH  NY ,Mcdonalds
CVS PHARMACY #1212 Q03   BROOKLINE    MA ,CVS Pharmacy
APL*APPLE ONLINE STORE   800-676-2775 CA ,
