UNIQUE_TRANSACTION_ID|DESCRIPTION|MERCHANT_NAME|FILE_CREATED_DATE|TRANSACTION_BASE_TYPE|AMOUNT
100056401087141379|PAPA JOHN'S #XXXXX       XXX-XXX-XXXX NC|Papa Murphy's|2013-09-17|debit|30.09
100056401182849268|PAPA JOHN'S #XXXXX       XXX-XXX-XXXX CA|Papa Murphy's|2013-12-24|debit|19.97
10006164913084501|PAPA JOHN'S #XXXXX.COM XXX-XXX-XXXX TX|Papa Murphy's|2015-01-12|debit|57.57
100056401326748917|PAPA JOHN'S #XXXXX       XXX-XXX-XXXX KY|Papa Murphy's|2014-05-17|debit|3.0
10005640808139338|PAPA JOHNS #1241         WICHITA      KS|Papa Murphy's|2012-09-29|debit|32.19
10005640641275893|PAPA JOHNS #1461         DENVER       CO|Papa Murphy's|2012-01-16|debit|12.97
10006164297740413|PAPA JOHNS #3192 XXX-XXX-XXXX IL|Papa Murphy's|2012-08-22|debit|27.31
100056401491467420|PAPA JOHN'S #XXXXX.COM   XXX-XXX-XXXX FL|Papa Murphy's|2014-10-15|debit|32.53
10005640785104346|PAPA JOHNS 527           SEVERNA PARK MD|Papa Murphy's|2012-08-27|debit|43.32
10006164899061649|PAPA JOHN'S XXXXX XXX-XXX-XXXX VA|Papa Murphy's|2014-12-22|debit|5.3
100056401180914252|PAPA JOHN'S #XXXXX.C     COLUMBIA     MD|Papa Murphy's|2013-12-23|debit|55.03
10005640850600057|PAPA JOHN'S #1688 XXXXXXXSTATESVILLE  NC|Papa Murphy's|2012-11-28|debit|27.21
100056401087554184|PAPA JOHNS #1266         STAFFORD     VA|Papa Murphy's|2013-09-17|debit|19.12
10006164602836560|PAPA JOHN'S XXXXX.COM XXX-XXX-XXXX TX|Papa Murphy's|2013-11-19|debit|25.0
100013722550213349|PAPA JOHNS #0289.COM|Papa Murphy's|2013-03-02|debit|18.19
9710005220512402434|PAPA JOHN'S #XXXXX.COM|Papa Murphy's|2015-05-01|debit|24.3
100056401271139311|PAPA JOHN'S #XXXXX.COM   XXX-XXX-XXXX MO|Papa Murphy's|2014-03-25|debit|26.3
100056401418505436|PAPA JOHN'S #XXXXX       XXX-XXX-XXXX OH|Papa Murphy's|2014-08-11|debit|6.5
100056401329257023|PAPA JOHN'S #XXXXX.COM   XXX-XXX-XXXX SC|Papa Murphy's|2014-05-20|debit|16.83
1000524459647878|PAPA JOHNS 3413  XXXXX0041 XXXXX4342 FL|Papa Murphy's|2013-05-16|debit|16.8
100056401572281206|PAPA JOHN'S #XXXXX.COM   XXX-XXX-XXXX VA|Papa Murphy's|2014-12-23|debit|15.86
10005640770949680|PAPA JOHN'S #3769.COM    SANTA MONICA CA|Papa Murphy's|2012-08-07|debit|19.02
100056401145156308|PAPA JOHN'S XXXXX.CO     SAN ANTONIO  TX|Papa Murphy's|2013-11-18|debit|23.82
10005640832444212|PAPA JOHNS 874           HOPEWELL     VA|Papa Murphy's|2012-11-03|debit|13.26
100013722973754074|PAPA JOHN'S #XXXXX.COM XXX-XXX-XXXX ILXXXXXBSign up for 5% Cashback Bonus on up to $1,500 in Restaurant and Movie purchases from January through March 2014. Sign up for 5%|Papa Murphy's|2014-01-02|debit|10.85
10006164466903918|PAPA JOHNS 1792.COM OPELIKA AL|Papa Murphy's|2013-05-13|debit|21.22
100056401529005619|PAPA JOHN'S #XXXXX.C     DUMFRIES     VA|Papa Murphy's|2014-11-18|debit|30.33
10005640883146663|PAPA JOHNS 1029          XXX-XXX-XXXX GA|Papa Murphy's|2013-01-08|debit|32.11
100056401202728407|PAPA JOHN'S #XXXXX.COM   XXX-XXX-XXXX SC|Papa Murphy's|2014-01-14|debit|25.6
100013723728468880|PAPA JOHN'S #XXXXX       XXX-XXX-XXXX TN|Papa Murphy's|2015-04-22|debit|12.07
1000281257066380|PAPA JOHN'S #1537.COM|Papa Murphy's|2013-07-28|debit|9.12
1000164457772440|PAPA JOHNS 1300 XXX-XXX-XXXX TX - EXPRESS PAYMENT SERVICE MERCHANTS--FAST FOOD|Papa Murphy's|2013-08-27|debit|68.25
100013722925828699|PAPA JOHN'S #XXXXX|Papa Murphy's|2013-11-29|debit|35.07
10006164623931208|PAPA JOHN'S XXXXX.COM XXX-XXX-XXXX TX|Papa Murphy's|2013-12-17|debit|32.65
100056401094777871|PAPA JOHN'S #0164        XXXXXXXXXX   SC|Papa Murphy's|2013-09-25|debit|45.78
100056401149529549|PAPA JOHN'S XXXXX.COCHANTILLY   XXXXXX      FAST FOOD RESTAURANT|Papa Murphy's|2013-11-21|debit|21.4
10006164621467979|PAPA JOHN'S #XXXXX.COM XXX-XXX-XXXX AZ|Papa Murphy's|2013-12-16|debit|14.57
