keywords,city,Aggdata Store Number,store_number,address,state,zip_code
24 Hour Fitness,Carlsbad,24,#24,1265 Laurel Tree Lane Suite 100,CA,92011
25 Hour Fitness,Alamo,43,#43,140 A Alamo Plaza,CA,94507
26 Hour Fitness,Fountain Valley,48,#48,18305 Brookhurst St.,CA,92708
27 Hour Fitness,Ladera Ranch,53,#53,200 Corporate Drive,CA,92694
28 Hour Fitness,Santa Barbara,54,#54,820 State Street,CA,93101
29 Hour Fitness,Hawthorne,55,#55,2831 West 120th Street,CA,90250
30 Hour Fitness,San Diego,57,#57,"6348 College Grove Way, Suite 109",CA,92115
31 Hour Fitness,City of Industry,58,#58,1600 S. Azusa Avenue,CA,91748
32 Hour Fitness,San Diego,59,#59,"1 Horton Plaza, Space 25",CA,92101
33 Hour Fitness,La Mesa,60,#60,3633 Avocado Blvd,CA,91941
34 Hour Fitness,Altadena,62,#62,"2180 Lincoln Avenue, BLDG. 4",CA,91001
35 Hour Fitness,Orange,63,#63,3600 West Orangewood Ave,CA,92868
36 Hour Fitness,Anaheim,64,#64,1430 No. Lemon St.,CA,92801
37 Hour Fitness,San Diego,65,#65,909 Garnet Avenue,CA,92109
38 Hour Fitness,Las Vegas,66,#66,9875 S Maryland Parkway,NV,89123
39 Hour Fitness,San Diego,67,#67,1640 Camino del Rio N. Ste 315,CA,92108
40 Hour Fitness,Santa Monica,68,#68,1417 2nd Street,CA,90401
41 Hour Fitness,Santa Fe Springs,69,#69,13312 Imperial Highway,CA,90670
42 Hour Fitness,Sherman Oaks,70,#70,15301 Ventura Blvd,CA,91403
43 Hour Fitness,Chula Vista,71,#71,320 Third Avenue,CA,91910
44 Hour Fitness,Lake Forest,73,#73,26781 Rancho Parkway,CA,92630
45 Hour Fitness,Las Vegas,74,#74,5035 West Tropicana Ave,NV,89103
46 Hour Fitness,La Mirada,77,#77,13395 Beach Blvd.,CA,90638
47 Hour Fitness,Costa Mesa,78,#78,589 Anton Blvd,CA,92626
48 Hour Fitness,Las Vegas,79,#79,4480 E Charleston Blvd.,NV,89104
49 Hour Fitness,Oceanside,80,#80,4655 Frazee Road,CA,92056
50 Hour Fitness,West Covina,81,#81,1530 West Covina Pkwy,CA,91790
51 Hour Fitness,Henderson,82,#82,"498 South Boulder Hwy, Suite B",NV,89015
52 Hour Fitness,Chula Vista,84,#84,870 Amena Court,CA,91910
53 Hour Fitness,Laguna Niguel,85,#85,32451 Golden Lantern,CA,92677
54 Hour Fitness,Hollywood,88,#88,6380 West Sunset Blvd.,CA,90028
55 Hour Fitness,Thousand Oaks,89,#89,2595 East Thousand Oaks Blvd,CA,91360
56 Hour Fitness,San Diego,90,#90,"3965 5th Avenue, Suite 100",CA,92103
57 Hour Fitness,San Diego,94,#94,9550 Miramar Road,CA,92126
58 Hour Fitness,Escondido,95,#95,400 La Terraza Blvd,CA,92025
59 Hour Fitness,Hermosa Beach,97,#97,1601 Pacific Coast Highway Suite 100,CA,90254
60 Hour Fitness,Camarillo,98,#98,453 Carmen Drive,CA,93011
61 Hour Fitness,North Las Vegas,99,#99,2106 West Craig Road,NV,89031
62 Hour Fitness,La Mesa,101,#101,7450 University Avenue,CA,91941
63 Hour Fitness,Chula Vista,102,#102,1660 Broadway,CA,91911
64 Hour Fitness,San Diego,103,#103,3675 Midway Drive,CA,92110
65 Hour Fitness,Santee,104,#104,9906 Mission Gorge Road,CA,92071
