Keywords,city,Agg store_number,store_number,address,state,zip_code
AutoZone,GAMBRILLS,dd4146,#4146 4146 dd4146,14228 SCHLEISMAN R,CA,92880
AutoZone,GAFFNEY,dd4153,#4153 4153 dd4153,26100 NEWPORT RD,CA,92584
AutoZone,ROCK HILL,dd4167,#4167 4167 dd4167,THOUSAND OAKS BLVD,CA,91360
AutoZone,N CHARLESTON,dd4268,#4268 4268 dd4268,106 E. GRANT ST.,TX,78584
AutoZone,JAMES ISLAND,dd4292,#4292 4292 dd4292,70522 HWY 21,LA,70433
AutoZone,BEAUFORT,dd4360,#4360 4360 dd4360,49582 GRAND RIVER,MI,48393
AutoZone,GOOSE CREEK,dd4363,#4363 4363 dd4363,COUNTY RD OS,WI,54650
AutoZone,SPARTANBURG,dd4454,#4454 4454 dd4454,LOUGHBOROUGH RD,MO,63116
AutoZone,GREENVILLE,dd4458,#4458 4458 dd4458,843 U.S. HWY 60,MO,65738
AutoZone,SUMMERVILLE,dd4622,#4622 4622 dd4622,6052 UNIVERSITY BL,PA,15108
AutoZone,BENTON,dd4636,#4636 4636 dd4636,1463 ROUTE 209,PA,18322
AutoZone,GREER,dd4646,#4646 4646 dd4646,1080 MD RT 3 SO LA,MD,21114
AutoZone,SIMPSONVILLE,dd4671,#4671 4671 dd4671,5230 LIBRARY RD,PA,15129
AutoZone,LANCASTER,dd4676,#4676 4676 dd4676,315 E MAIN ST,WV,26537
AutoZone,CHESTER,dd4698,#4698 4698 dd4698,2122 NATIONAL RD,WV,26003
AutoZone,BENNETTSVILLE,dd4726,#4726 4726 dd4726,2102 JEROME AVE,NY,10453
AutoZone,LAURENS,dd4733,#4733 4733 dd4733,69 N MAIN ST,NY,12428
AutoZone,DARLINGTON,dd4746,#4746 4746 dd4746,26125 US ROUTE 11,NY,13637
AutoZone,ROCK HILL,dd6208,#6208 6208 dd6208,5462 W 13400 S,UT,84096
AutoZone,CAMDEN,dd6228,#6228 6228 dd6228,INDUSTRY & PROSPEC,CA,95642
AutoZone,AIKEN,dd6312,#6312 6312 dd6312,1960 SE FEDERAL HW,FL,34997
AutoZone,N CHARLESTON,dd6320,#6320 6320 dd6320,7621 HWY 70 S,TN,37221
AutoZone,LEXINGTON,dd6404,#6404 6404 dd6404,9070 SEMINOLE TRAI,VA,22968
AutoZone,DILLON,sl10,#sl10 sl10 sl10,1610 W COLLEGE ST,TN,38478
AutoZone,GEORGETOWN,sl1001,#1001 1001 sl1001,105 N LOGAN ST,SC,29341
AutoZone,MARION,sl1002,#1002 1002 sl1002,1449 E MAIN ST,SC,29730
AutoZone,CONWAY,sl1003,#1003 1003 sl1003,3980 RIVERS AVE,SC,29405
AutoZone,SENECA,sl1004,#1004 1004 sl1004,1019 FOLLY RD,SC,29412
AutoZone,KINGSTREE,sl1005,#1005 1005 sl1005,2602 BOUNDARY ST,SC,29906
AutoZone,N CHARLESTON,sl1006,#1006 1006 sl1006,118 ST JAMES AVE,SC,29445
AutoZone,LAKE CITY,sl1007,#1007 1007 sl1007,2020 E MAIN ST,SC,29307
AutoZone,HIXSON,sl1008,#1008 1008 sl1008,1535 LAURENS RD,SC,29607
AutoZone,WALTERBORO,sl1009,#1009 1009 sl1009,70 OLD TROLLEY RD,SC,29485
AutoZone,YORK,sl101,#l101 l101 sl101,1205 MILITARY RD,AR,72015
AutoZone,CHARLESTON,sl1010,#1010 1010 sl1010,204 E WADE HAMPTON,SC,29651
AutoZone,SUMTER,sl1011,#1011 1011 sl1011,426 SE MAIN ST,SC,29681
AutoZone,FORT MILL,sl1012,#1012 1012 sl1012,615 LANCASTER BY E,SC,29720
AutoZone,SUMMERVILLE,sl1013,#1013 1013 sl1013,572 LANCASTER HWY,SC,29706
AutoZone,PICKENS,sl1014,#1014 1014 sl1014,226 HWY 15-401 BYP,SC,29512
AutoZone,COLUMBIA,sl1015,#1015 1015 sl1015,300 HILLCREST DR,SC,29360
AutoZone,COLUMBIA,sl1016,#1016 1016 sl1016,209 S MAIN ST,SC,29532
AutoZone,MYRTLE BEACH,sl1017,#1017 1017 sl1017,1565 CHERRY RD,SC,29732
AutoZone,TULLAHOMA,sl1018,#1018 1018 sl1018,71 E. DEKALB ST,SC,29020
AutoZone,HAMPTON,sl1019,#1019 1019 sl1019,424 RICHLAND AVE W,SC,29801
AutoZone,CLEVELAND,sl1020,#1020 1020 sl1020,5365 DORCHESTER RD,SC,29418
AutoZone,GALAX,sl1021,#1021 1021 sl1021,903 W MAIN ST,SC,29072
AutoZone,CAPITOL HEIGHTS,sl1022,#1022 1022 sl1022,1012 N 2ND AVE,SC,29536
AutoZone,FREDERICKSBURG,sl1023,#1023 1023 sl1023,1905 HIGHMARKET ST,SC,29440
AutoZone,RICHMOND,sl1024,#1024 1024 sl1024,1964 E HWY 76,SC,29571
AutoZone,DOUGLAS,sl1025,#1025 1025 sl1025,2208 CHURCH ST,SC,29526
AutoZone,CHESAPEAKE,sl1026,#1026 1026 sl1026,201 OCONEE SQ DR,SC,29678
AutoZone,JACKSON,sl1027,#1027 1027 sl1027,1305 N. LONGSTREET,SC,29556
AutoZone,WAYCROSS,sl1028,#1028 1028 sl1028,2010 REMOUNT RD,SC,29406
AutoZone,MADISON,sl1029,#1029 1029 sl1029,215 S RON MCNAIR,SC,29560
AutoZone,AMERICUS,sl103,#l103 l103 sl103,5127 HIXSON PIKE,TN,37343
AutoZone,MIAMI,sl1030,#1030 1030 sl1030,580 BELLS HWY,SC,29488
AutoZone,MIDDLEBURG,sl1031,#1031 1031 sl1031,521 E LIBERTY ST,SC,29745
AutoZone,BENTON,sl1032,#1032 1032 sl1032,1495 SAVANNAH HWY,SC,29407
AutoZone,MIAMI,sl1033,#1033 1033 sl1033,1255 POCALLA RD,SC,29150
AutoZone,NASHVILLE,sl1034,#1034 1034 sl1034,2006 HWY 160 W.,SC,29708
AutoZone,DELTONA,sl1035,#1035 1035 sl1035,1603 N MAIN ST,SC,29483
