keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Barnes Noble,New Hyde Park,1072,1072 #1072,1424 Union Tpke,NY,11040
Barnes Noble,San Diego,1822,1822 #1822,3150 Rosecrans Place,CA,92110
Barnes Noble,San Diego,1823,1823 #1823,8650 Genesee Ave. Ste 230,CA,92122
Barnes Noble,Studio City,1837,1837 #1837,12136 Ventura Blvd.,CA,91604
Barnes Noble,Marina Del Rey,1847,1847 #1847,13400 Maxella,CA,90292
Barnes Noble,Springfield,1884,1884 #1884,240 Route 22 West,NJ,7081
Barnes Noble,Grosse Pointe,1892,1892 #1892,19221 Mack Ave,MI,48236
Barnes Noble,North Haven,1897,1897 #1897,470 Universal Drive North,CT,6473
Barnes Noble,Norwalk,1898,1898 #1898,360 Connecticut Ave,CT,6854
Barnes Noble,Atlanta,1907,1907 #1907,2900 Peachtree Road NE Suite 310,GA,30305
Barnes Noble,Manhasset,1912,1912 #1912,1542 Northern Blvd,NY,11030
Barnes Noble,Broomall,1913,1913 #1913,1991 Sproul Rd,PA,19008
Barnes Noble,Bellevue,1915,1915 #1915,626 106th Ave NE,WA,98004
Barnes Noble,San Jose,1944,1944 #1944,3600 Stevens Creek Blvd,CA,95117
Barnes Noble,West Bountiful,1946,1946 #1946,340 South 500 West,UT,84087
Barnes Noble,Alpharetta,1955,1955 #1955,7660 Northpoint Parkway Ste 200,GA,30022
Barnes Noble,Nanuet,1960,1960 #1960,140 Rockland Plaza,NY,10954
Barnes Noble,North Dartmouth,1962,1962 #1962,392 State Road Route 6,MA,2747
Barnes Noble,Farmington,1963,1963 #1963,1599 South East Rd,CT,6032
Barnes Noble,Columbus,1968,1968 #1968,3685 W. Dublin - Granville,OH,43235
Barnes Noble,Redwood City,1971,1971 #1971,1091 El Camino Real,CA,94063
Barnes Noble,San Diego,1974,1974 #1974,12835 El Camino Real,CA,92130
Barnes Noble,San Diego,1976,1976 #1976,11744 Carmel Mountain Road,CA,92128
Barnes Noble,Woodland Park,1977,1977 #1977,1156 Route 46 West,NJ,7424
Barnes Noble,San Diego,1978,1978 #1978,7610 Hazard Center Drive #315,CA,92108
Barnes Noble,New York,1979,1979 #1979,2289 Broadway,NY,10024
Barnes Noble,Ledgewood,1980,1980 #1980,375 Route 10 E,NJ,7852
Barnes Noble,Rowland Heights,1984,1984 #1984,17490 Colima Road,CA,91748
Barnes Noble,St Petersburg,1986,1986 #1986,2501 Tyrone Boulevard,FL,33710
Barnes Noble,Braintree,1989,1989 #1989,150 Granite St,MA,2184
Barnes Noble,Raleigh,1990,1990 #1990,4325 Glenwood Ave,NC,27612
Barnes Noble,Sacramento,1996,1996 #1996,1725 Arden Way,CA,95815
Barnes Noble,Grandville,2008,2008 #2008,3700 Rivertown Parkway Ste. 2058,MI,49418
Barnes Noble,Round Rock,2009,2009 #2009,2701 Parker Road Bldg A Suite 700,TX,78681
Barnes Noble,Savannah,2015,2015 #2015,7804 Abercorn Ext. 72,GA,31406
Barnes Noble,Fairfield,2018,2018 #2018,1600 Gateway Blvd,CA,94533
Barnes Noble,Saratoga Springs,2019,2019 #2019,3029 State Route 50,NY,12866
Barnes Noble,Deerfield,2020,2020 #2020,728 North Waukegan Road,IL,60015
Barnes Noble,Staten Island,2021,2021 #2021,2245 Richmond Avenue,NY,10314
Barnes Noble,Lansing,2025,2025 #2025,5132 W. Saginaw Hwy 245,MI,48917
Barnes Noble,Lynchburg,2026,2026 #2026,4024-C Wards Road,VA,24502
Barnes Noble,Richmond,2029,2029 #2029,11640 W. Broad Street,VA,23233
Barnes Noble,Holmdel,2030,2030 #2030,2134 State Highway 35,NJ,7733
Barnes Noble,Roseville,2031,2031 #2031,1256 Galleria Boulevard,CA,95678
