keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Barney New York,New York,3,#3,660 Madison Avenue,NY,10065
Barney New York,Beverly Hills,7,#7,9570 Wilshire Boulevard,CA,90212
Barney New York,New York,50,#50,660 Madison Avenue,NY,10065
Barney New York,Seattle,151,#151,600 Pine Street,WA,98101
Barney New York,Chicago,252,#252,15 East Oak Street,IL,60611
Barney New York,Boston,254,#254,100 Huntington Avenue,MA,2116
Barney New York,South Las Vegas,255,#255,3327 Las Vegas Boulevard,NV,89109
Barney New York,San Francisco,256,#256,77 O'Farrell Street,CA,94108
Barney New York,Scottsdale,260,#260,4500 N. Scottsdale Road,AZ,85251
Barney New York,New York,319,#319,116 Wooster Street,NY,10012
Barney New York,Miami Beach,320,#320,832 Collins Avenue,FL,33139
Barney New York,New York,322,#322,2151 Broadway,NY,10023
Barney New York,Costa Mesa,323,#323,3333 Bristol Street,CA,92626
Barney New York,Georgetown,326,#326,"3040 M Street, N.W.",DC,20007
Barney New York,Los Angeles,331,#331,189 The Grove Drive,CA,90036
Barney New York,Glendale,333,#333,869 Americana Way,CA,91210
Barney New York,Philadelphia,335,#335,1811 Walnut Street,PA,19103
Barney New York,Santa Monica,338,#338,395 Santa Monica Place,CA,90401
Barney New York,Brooklyn,339,#339,194 Atlantic Avenue,NY,11201
Barney New York,Central Valley,401,#401,240 Red Apple Court,NY,10917
Barney New York,Cabazon,404,#404,48650 Seminole Drive,CA,92230
Barney New York,Camarillo,406,#406,850 East Ventura Blvd,CA,93010
Barney New York,Riverhead,410,#410,912 Tanger Mall Drive,NY,11901-7400
Barney New York,Waipahu,411,#411,94-790 Lumiaina Street,HI,96796
Barney New York,Wrentham,412,#412,1 Premium Outlet Blvd.,MA,2093
Barney New York,Carlsbad,413,#413,5630 Paseo del Norte,CA,92008
Barney New York,Orlando,414,#414,8200 Vineland Avenue Suite 1045,FL,32821
Barney New York,Napa,415,#415,821 Factory Stores Drive,CA,94558
Barney New York,Leesburg,419,#419,241 Fort Evans Road,VA,20176
Barney New York,Sunrise,420,#420,1800 Sawgrass Mills Circle,FL,33323
Barney New York,Livermore,423,#423,"2626 Paragon Outlets Drive, Suite 880",CA,94551
Barney New York,Niagara Falls,424,#424,1768 Military Road,NY,14304
Barney New York,Rosemont,425,#425,5220 Fashion Outlets Way,IL,60018
Barney New York,New York,900,#900,660 Madison Avenue,NY,10065
Barney New York,New York,901,#901,660 Madison Avenue,NY,10065
Barney New York,Beverly Hills,902,#902,9570 Wilshire Boulevard,CA,90212
Barney New York,Chicago,903,#903,15 East Oak Street,IL,60611
