keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Baskin-Robbins,Holbrook,1,#XX1 XX1,411 Furrows Rd,NY,11741
Baskin-Robbins,Raynham,2,#XX2 XX2,406 New State Hwy (Rt 44),MA,2767
Baskin-Robbins,Brooklyn,3,#XX3 XX3,1213 Liberty Ave,NY,11208
Baskin-Robbins,Newburgh,4,#XX4 XX4,674 Broadway,NY,12550
Baskin-Robbins,Cos Cob,5,#XX5 XX5,375 E Putnam Ave,CT,6807
Baskin-Robbins,Baltimore,6,#XX6 XX6,5401 Harford Rd,MD,21214
Baskin-Robbins,Whiting,7,#XX7 XX7,1531 Indianapolis Blvd,IN,46394
Baskin-Robbins,Union,8,#XX8 XX8,2639 Morris Ave,NJ,7083
Baskin-Robbins,Flushing,9,#XX9 XX9,14625 Northern Blvd,NY,11354
Baskin-Robbins,Commack,10,#XX10 XX10,2073 Jericho Tpke,NY,11725
Baskin-Robbins,Roslyn,11,#XX11 XX11,1063 Northern Blvd,NY,11576
Baskin-Robbins,Kenilworth,12,#XX12 XX12,705 Boulevard,NJ,7033
Baskin-Robbins,Lodi,13,#XX13 XX13,380 Essex Street,NJ,7644
Baskin-Robbins,Chicago,14,#XX14 XX14,4547 N Broadway St,IL,60640
Baskin-Robbins,Catonsville,15,#XX15 XX15,580 Frederick Rd,MD,21228
Baskin-Robbins,Berwyn,16,#XX16 XX16,6601 Cermak Rd,IL,60402
Baskin-Robbins,Chicago,17,#XX17 XX17,1743 W. Lawrence Ave,IL,60640
Baskin-Robbins,Des Plaines,18,#XX18 XX18,850 Elmhurst Rd,IL,60016
Baskin-Robbins,Westland,19,#XX19 XX19,34417 Ford Rd,MI,48185
Baskin-Robbins,Glen Burnie,20,#XX20 XX20,7152 Ritchie Hwy,MD,21061
Baskin-Robbins,Berwyn,21,#XX21 XX21,7020 Ogden Ave,IL,60402
Baskin-Robbins,Closter,22,#XX22 XX22,278 Closter Dock Rd,NJ,7624
Baskin-Robbins,Staten Island,23,#XX23 XX23,2425 Hylan Blvd,NY,10306
Baskin-Robbins,Oak Park,24,#XX24 XX24,25170 Greenfield Rd,MI,48237
Baskin-Robbins,Blue Island,25,#XX25 XX25,2323 W. 127th St,IL,60406
Baskin-Robbins,Chicago,26,#XX26 XX26,1755 W Addison St,IL,60613
Baskin-Robbins,Hempstead,27,#XX27 XX27,247 Greenwich St,NY,11550
Baskin-Robbins,Yorkville,28,#XX28 XX28,1604 N Bridge St,IL,60560
Baskin-Robbins,Southfield,29,#XX29 XX29,24740 Telegraph Rd,MI,48034
Baskin-Robbins,Madison Heights,30,#XX30 XX30,28875 Dequindre Rd,MI,48071
Baskin-Robbins,Chicago,31,#XX31 XX31,3132 W. Devon Ave,IL,60659
Baskin-Robbins,Calumet City,32,#XX32 XX32,664 River Oaks Dr,IL,60409
Baskin-Robbins,Bergenfield,33,#XX33 XX33,275 S Washington Ave,NJ,7621
Baskin-Robbins,Fort Lauderdale,34,#XX34 XX34,1900 N Federal Hwy,FL,33305
Baskin-Robbins,Worth,35,#XX35 XX35,6707 W 111th St,IL,60482
Baskin-Robbins,Chicago,36,#XX36 XX36,7171 W Irving Park Rd,IL,60634
Baskin-Robbins,Southgate,37,#XX37 XX37,15067 Eureka Rd,MI,48195
Baskin-Robbins,Cicero,38,#XX38 XX38,5600 W 16th St,IL,60804
Baskin-Robbins,Chicago,39,#XX39 XX39,4045 W Lawrence Ave,IL,60630
Baskin-Robbins,Wallington,40,#XX40 XX40,443 Paterson Ave,NJ,7057
Baskin-Robbins,Chicago,41,#XX41 XX41,5000 W. Irving Park Rd,IL,60641
Baskin-Robbins,East Northport,42,#XX42 XX42,314 Larkfield Rd,NY,11731
Baskin-Robbins,Patchogue,43,#XX43 XX43,369 E Main St,NY,11772
Baskin-Robbins,Arlington Heights,44,#XX44 XX44,1010 E Rand Rd,IL,60004
Baskin-Robbins,Schaumburg,45,#XX45 XX45,893 E. Schaumburg Rd,IL,60194
Baskin-Robbins,Mundelein,46,#XX46 XX46,346 N Lake St,IL,60060
Baskin-Robbins,Homewood,47,#XX47 XX47,2353 183rd St,IL,60430
Baskin-Robbins,Saint Joseph,48,#XX48 XX48,2731 Niles Ave,MI,49085
Baskin-Robbins,Taylor,49,#XX49 XX49,11111 Telegraph Rd,MI,48180
Baskin-Robbins,Boynton Beach,50,#XX50 XX50,1317 S Federal Hwy,FL,33435
Baskin-Robbins,Chicago,51,#XX51 XX51,2337 N Cicero Ave,IL,60639
Baskin-Robbins,Valparaiso,52,#XX52 XX52,3310 Calumet Ave,IN,46383
Baskin-Robbins,Gary,53,#XX53 XX53,6060 W Ridge Rd,IN,46408
Baskin-Robbins,Merrillville,54,#XX54 XX54,5775 S Broadway,IN,46410
Baskin-Robbins,Brentwood,55,#XX55 XX55,1694 Islip Ave,NY,11717
Baskin-Robbins,Hampton Bays,56,#XX56 XX56,127 E Montauk Hwy,NY,11946
Baskin-Robbins,Dumfries,57,#XX57 XX57,18021 Main St,VA,22026
Baskin-Robbins,Elkridge,58,#XX58 XX58,6305 Washington Blvd,MD,21075
Baskin-Robbins,Deer Park,59,#XX59 XX59,1906 Deer Park Ave,NY,11729
Baskin-Robbins,Athens,60,#XX60 XX60,771 Prince Ave,GA,30606
Baskin-Robbins,Westmont,61,#XX61 XX61,19 W 63rd St,IL,60559
Baskin-Robbins,Oakbrook Terrace,62,#XX62 XX62,17521 Roosevelt Rd,IL,60181
Baskin-Robbins,Woodhaven,63,#XX63 XX63,20050 West Rd,MI,48183
Baskin-Robbins,Chicago,64,#XX64 XX64,3101 W Irving Park Rd,IL,60618
Baskin-Robbins,Riverhead,65,#XX65 XX65,1051 Old Country Rd,NY,11901
Baskin-Robbins,Coram,66,#XX66 XX66,350 Middle Country Rd,NY,11727
Baskin-Robbins,Glen Cove,67,#XX67 XX67,5 Brewster St,NY,11542
Baskin-Robbins,Decatur,68,#XX68 XX68,4760 Memorial Dr,GA,30032
Baskin-Robbins,Columbia,69,#XX69 XX69,1525 Broad River Rd,SC,29210
Baskin-Robbins,Belmar,70,#XX70 XX70,1732 State Route 35,NJ,7719
Baskin-Robbins,Dayton,71,#XX71 XX71,7777 Springboro Pike,OH,45449
Baskin-Robbins,Decatur,72,#XX72 XX72,2704 Candler Rd,GA,30034
Baskin-Robbins,Atlanta,73,#XX73 XX73,2651 Cobb Pky NW,GA,30339
Baskin-Robbins,Barrington,74,#XX74 XX74,108 S Northwest Hwy,IL,60010
Baskin-Robbins,Baldwin,75,#XX75 XX75,1680 Grand Ave,NY,11510
Baskin-Robbins,Smithtown,76,#XX76 XX76,235 W. Main St,NY,11787
Baskin-Robbins,West Hempstead,77,#XX77 XX77,475 Hempstead Tpke,NY,11552
Baskin-Robbins,Massapequa,78,#XX78 XX78,1399 Hicksville Rd,NY,11758
Baskin-Robbins,Brooklyn,79,#XX79 XX79,8301 Flatlands Ave,NY,11236
Baskin-Robbins,Tampa,80,#XX80 XX80,1505 E Fowler Ave,FL,33612
Baskin-Robbins,Port Jefferson Station,81,#XX81 XX81,5017 Nesconset Hwy,NY,11776
Baskin-Robbins,Columbus,82,#XX82 XX82,2255 E Dublin Granville Rd,OH,43229
Baskin-Robbins,Bellmore,83,#XX83 XX83,2800 Merrick Rd,NY,11710
Baskin-Robbins,Parsippany,84,#XX84 XX84,820 Us Highway 46,NJ,7054
Baskin-Robbins,Bay Shore,85,#XX85 XX85,529 E. Main St,NY,11706
Baskin-Robbins,Middleburg Heights,86,#XX86 XX86,17801 Bagley Rd,OH,44130
Baskin-Robbins,Lindenhurst,87,#XX87 XX87,280 E Sunrise Hwy,NY,11757
Baskin-Robbins,Bayville,88,#XX88 XX88,477 Us Highway 9,NJ,8721
Baskin-Robbins,Chicago Heights,89,#XX89 XX89,3225 Chicago Rd,IL,60411
Baskin-Robbins,Bayside,90,#XX90 XX90,21920 Northern Blvd,NY,11361
Baskin-Robbins,Shirley,91,#XX91 XX91,545 William Floyd Pkwy,NY,11967
Baskin-Robbins,Melville,92,#XX92 XX92,116 Broadhollow Rd,NY,11747
Baskin-Robbins,Hyattsville,93,#XX93 XX93,2057 University Blvd E,MD,20783
Baskin-Robbins,Chicago,94,#XX94 XX94,3039 N. Central Ave,IL,60634
Baskin-Robbins,Lake Mary,95,#XX95 XX95,4610 W. Lake Mary Blvd,FL,32746
Baskin-Robbins,Palm Harbor,96,#XX96 XX96,33240 US Highway 19 N,FL,34684
Baskin-Robbins,Floral Park,97,#XX97 XX97,25420 Hillside Ave,NY,11004
Baskin-Robbins,Flushing,98,#XX98 XX98,16822 Union Tpke,NY,11366
Baskin-Robbins,Duluth,99,#XX99 XX99,3435 Peachtree Industrial Blvd,GA,30096
Baskin-Robbins,Crest Hill,100,#XX100 XX100,1724 N Plainfield Rd,IL,60435
Baskin-Robbins,New Hyde Park,101,#XX101 XX101,2062 Lakeville Rd,NY,11040
Baskin-Robbins,College Point,102,#XX102 XX102,13210 14th Ave,NY,11356
Baskin-Robbins,Chicago,103,#XX103 XX103,2801 S. Kedzie Ave,IL,60623
Baskin-Robbins,Stone Mountain,104,#XX104 XX104,5161 Highway 78,GA,30087
