keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Beef O Brady's,Bradenton,1,#1,4925 Cortez Road,FL,34210
Beef O Brady's,Brandon,2,#2,210 S Kings Ave,FL,33511
Beef O Brady's,Apollo Beach,3,#3,205 Apollo Beach Blvd,FL,33572
Beef O Brady's,Valrico,4,#4,4330 Bell Shoals Rd,FL,33596
Beef O Brady's,Plant City,5,#5,2418 Jim Redman Pkwy,FL,33566
Beef O Brady's,Lakeland,6,#6,4810 S Florida Ave,FL,33813
Beef O Brady's,Tampa,8,#8,15784 N Dale Mabry Hwy,FL,33618
Beef O Brady's,Winter Haven,9,#9,300 Cypress Garden Blvd,FL,33880
Beef O Brady's,Tampa,11,#11,2819 S MacDill Ave,FL,33629
Beef O Brady's,Zephyrhills,12,#12,7833 Gall Blvd,FL,33541
Beef O Brady's,DeLand,14,#14,2667 S Woodland Blvd,FL,32720
Beef O Brady's,Land O' Lakes,15,#15,21539 Village Lakes Shopping Center,FL,34639
Beef O Brady's,Melbourne,17,#17,1316 S. Babcock St.,FL,32901
Beef O Brady's,Sebring,18,#18,2940 US 27 N,FL,33870
Beef O Brady's,Tallahassee,21,#21,1800 Thomasville Rd,FL,32303
Beef O Brady's,Seffner,22,#22,812 W Martin Luther King Blvd,FL,33584
Beef O Brady's,Lakeland,23,#23,1070 Wedgewood Estates Blvd,FL,33809
Beef O Brady's,Port Charlotte,24,#24,1825 Tamiami Trail,FL,33948
Beef O Brady's,New Port Richey,25,#25,8717-6 Little Rd,FL,34654
Beef O Brady's,Leesburg,27,#27,"27405 US Hwy 27, Suite 109",FL,34748
Beef O Brady's,Riverview,28,#28,9622 US 301 S,FL,33569
Beef O Brady's,Seminole,29,#29,10799 Park Blvd,FL,33772
Beef O Brady's,Gainesville,31,#31,1999 NW 43rd St,FL,32605
Beef O Brady's,Brooksville,32,#32,13180 Cortez Blvd,FL,34613
Beef O Brady's,Tallahassee,37,#37,"2910 Kerry Forest Pkwy, #A-7",FL,32308
Beef O Brady's,Viera,41,#41,"5410 Murrell Rd, Suite 101",FL,32955
Beef O Brady's,Oviedo,44,#44,"1817 E Broadway, Bldg 6",FL,32765
Beef O Brady's,Dothan,45,#45,"2743 Montgomery Hwy, #1010",AL,36303
Beef O Brady's,Naples,46,#46,"7385 Radio Rd, #101",FL,34104
Beef O Brady's,Wesley Chapel,49,#49,27315 State Rd 54 W,FL,33543
Beef O Brady's,Lithia,50,#50,16773-16775 Fishhawk Blvd,FL,33547
Beef O Brady's,Lake City,51,#51,"857 SW Main Blvd, Suite #100",FL,32025
Beef O Brady's,Gainesville,52,#52,6500 SW Archer Rd,FL,32608
Beef O Brady's,Fernandina Beach,55,#55,1916 S 14th St,FL,32034
Beef O Brady's,Peachtree City,56,#56,"100 Peachtree Pkwy N, Suite 18",GA,30269
Beef O Brady's,Louisville,58,#58,241 Blankenbaker Pkwy,KY,40243
Beef O Brady's,Tampa,59,#59,8810 N Himes Ave,FL,33614
Beef O Brady's,Crystal River,60,#60,6738 W Gulf to Lake Hwy,FL,34429
Beef O Brady's,Auburndale,61,#61,102 W Polk St,FL,33823
Beef O Brady's,Thomasville,62,#62,1508 E Jackson St,GA,31792
Beef O Brady's,Louisville,65,#65,5628 Bardstown Rd,KY,40291
Beef O Brady's,Bradenton,67,#67,1795 Lakewood Ranch Blvd,FL,34202
Beef O Brady's,Pensacola,70,#70,6907 N 9th Ave,FL,32504
Beef O Brady's,St. Cloud,71,#71,2926 13th St,FL,34769
Beef O Brady's,Cocoa,72,#72,"2301 Hwy 524, #170-175",FL,32922
Beef O Brady's,Valrico,73,#73,2561 E State Rd 60,FL,33594
Beef O Brady's,Lake Wales,75,#75,19598 Hwy 27,FL,33853
Beef O Brady's,Estero,84,#84,"20301 Grande Oaks Shoppes Blvd, #108",FL,33928
Beef O Brady's,Cumming,86,#86,2619 Freedom Pkwy,GA,30041
Beef O Brady's,Ruskin,91,#91,723 Cypress Village Blvd,FL,33573
Beef O Brady's,Niceville,95,#95,"4538 E. Hwy 20, Suite #10",FL,32578
Beef O Brady's,The Villages,97,#97,8720 SE 165 Mulberry Lane,FL,32162
Beef O Brady's,Palm Bay,100,#100,"3450 Bayside Lakes Blvd, #101-102",FL,32909
Beef O Brady's,Merritt Island,101,#101,"1450 N. Courtenay Parkway, #36",FL,32953
Beef O Brady's,Lutz,102,#102,18421 US Hwy 41,FL,33549
Beef O Brady's,D'lberville,104,#104,3680-L Sangani Blvd,MS,39540
Beef O Brady's,Lynn Haven,105,#105,"2310 S Hwy 77, Suite #350",FL,32444
Beef O Brady's,Ft. Mill,108,#108,"940 Market St, #110",SC,29708
Beef O Brady's,Maumelle,109,#109,"115 Audubon Dr, #10",AR,72113
Beef O Brady's,Winter Garden,113,#113,"13750 W Colonial Dr, Suite #130",FL,34787
Beef O Brady's,Saginaw,115,#115,"4880 Gratiot Rd, Bldg A, Suite #5-7",MI,48638
Beef O Brady's,Melbourne,116,#116,3030 Lake Washington Rd,FL,32935
Beef O Brady's,Apopka,119,#119,1410 N Rock Springs Rd,FL,32712
Beef O Brady's,Columbia,120,#120,4561 Hard Scrabble Rd,SC,29229
Beef O Brady's,Columbia,121,#121,"2742 North Lake Dr, #104",SC,29212
Beef O Brady's,Myrtle Beach,123,#123,3689 Renee Dr,SC,29579
Beef O Brady's,Davenport,126,#126,45653 US Hwy 27,FL,33897
Beef O Brady's,Lake Placid,128,#128,110 Plaza Ave,FL,33852
Beef O Brady's,Tampa,131,#131,10920 Cross Creek Blvd,FL,33647
Beef O Brady's,Englewood,136,#136,"1951 S McCall Rd, #700",FL,34223
Beef O Brady's,St. Petersburg,137,#137,4775 34th St S,FL,33711
Beef O Brady's,Bartow,144,#144,120 E Van Fleet Dr,FL,33830
Beef O Brady's,Savannah,146,#146,"461 Johnny Mercer Blvd, Suite #11",GA,31410
Beef O Brady's,North Richland Hills,147,#147,"8245 Precinct Line Rd, #230",TX,76180
Beef O Brady's,Centerville,148,#148,953 S Main St,OH,45458
Beef O Brady's,The Villages,156,#156,3539 Wedgewood Lane,FL,32162
Beef O Brady's,Arden,157,#157,2625 Hendersonville Rd,NC,28704
Beef O Brady's,Cocoa Beach,160,#160,5675 North Atlantic Avenue,FL,32931
Beef O Brady's,Ft. Myers,161,#161,"18911 S Tamiami Trail, #17",FL,33908
Beef O Brady's,Palatka,169,#169,201 N. 1st Street,FL,32177
Beef O Brady's,Lehigh Acres,177,#177,3114 Lee Blvd,FL,33971
Beef O Brady's,Haines City,178,#178,902 Old Polk City Road,FL,33844
Beef O Brady's,Okeechobee,180,#180,608 S Parrott Ave,FL,34974
Beef O Brady's,Brooksville,184,#184,7601 Horse Lake Rd.,FL,34601
Beef O Brady's,Callaway,200,#200,842 N. Tyndall Pkwy.,FL,32404
Beef O Brady's,Panama City Beach,211,#211,"13800 Panama City Beach Pkwy, Suite 110-111",FL,32407
Beef O Brady's,Odessa,212,#212,8568 Gunn Highway,FL,33556
Beef O Brady's,North Port,227,#227,1037 N Sumter Blvd,FL,34286
Beef O Brady's,Floyds Knobs,230,#230,105 LaFollette Station,IN,47119
Beef O Brady's,Hilliard,236,#236,6340 Scioto-Darby Creek Rd,OH,43026
Beef O Brady's,LaGrange,247,#247,1220 Market St,KY,40031
Beef O Brady's,Cooper City,252,#252,8655 Stirling Rd,FL,33328
Beef O Brady's,Newport News,253,#253,309 Oyster Point Rd,VA,23602
Beef O Brady's,Titusville,255,#255,"2825 Garden St, Suite 9",FL,32796
Beef O Brady's,Riverview,258,#258,13326 Lincoln Rd,FL,33569
Beef O Brady's,De Funiak Springs,264,#264,1310 US Hwy 331 S,FL,32433
Beef O Brady's,Bourbonnais,272,#272,547 Main St NW,IL,60914
Beef O Brady's,Tallahassee,277,#277,1208 Capital Circle SE,FL,32301
Beef O Brady's,Fayetteville,278,#278,5540 Camden Rd,NC,28306
Beef O Brady's,Fayetteville,279,#279,229 Hay Street Suite A,NC,28301
Beef O Brady's,Cape Coral,280,#280,2481 Del Prado Blvd. N,FL,33909
Beef O Brady's,Cape Coral,283,#283,"3015 Pine Island Rd SW, #101",FL,33991
Beef O Brady's,Frederick,284,#284,6956 Crestwood Blvd,MD,21703
Beef O Brady's,Bushnell,286,#286,2586 W CR 48,FL,33513
Beef O Brady's,Marianna,289,#289,4944 Malloy Plaza East,FL,32448
Beef O Brady's,Pensacola,290,#290,2101 West Nine Mile Road,FL,32534
Beef O Brady's,Union,293,#293,1597 Cavalry Dr.,KY,41091
Beef O Brady's,Mobile,296,#296,4419 Rangline Rd.,AL,36619
Beef O Brady's,Semmes,304,#304,3385 Schillingers Road N. Suite 1,AL,36575
Beef O Brady's,Amarillo,305,#305,"7306 SW 34th Ave, #7",TX,79121
Beef O Brady's,Granger,313,#313,12479 State Rd 23,IN,46530
Beef O Brady's,Beavercreek,317,#317,3347 Seajay Dr. (Beaver Valley Shopping Center),OH,45430
Beef O Brady's,Owensboro,327,#327,"3189 Fairview Dr, Suite E",KY,42303
Beef O Brady's,Satellite Beach,335,#335,724 S Patrick Dr,FL,32937
Beef O Brady's,Wildwood,341,#341,840 S Main St,FL,34785
Beef O Brady's,The Villages,348,#348,353 Colony Blvd. Suite 100,FL,32162
