keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Big Y Foods,Springfield,1,1 01 #1,1090 St. James Avenue,MA,1104
Big Y Foods,West Springfield,3,3 03 #3,503 Memorial Avenue,MA,1089
Big Y Foods,Mystic,5,5 05 #5,79 Stonington Road,CT,6355
Big Y Foods,Old Lyme,6,6 06 #6,90 Halls Road,CT,6371
Big Y Foods,Northampton,7,7 07 #7,136 North King Street Rt 5,MA,1060
Big Y Foods,Southwick,8,8 08 #8,195 College Highway,MA,1077
Big Y Foods,Westfield,10,10 010 #10,10 East Silver Street,MA,1085
Big Y Foods,Southampton,11,11 011 #11,10 College Highway RT 10,MA,1073
Big Y Foods,Branford,12,12 012 #12,1060 West Main Street,CT,6405
Big Y Foods,Longmeadow,13,13 013 #13,Williams Street,MA,1106
Big Y Foods,East Longmeadow,14,14 014 #14,441 N Main Street,MA,1028
Big Y Foods,Stafford Springs,17,17 017 #17,87 West Stafford Road Rt 190,CT,6076
Big Y Foods,West Hartford,18,18 018 #18,772 North Main Street,CT,6117
Big Y Foods,Ludlow,19,19 019 #19,433 Center Street,MA,1056
Big Y Foods,Palmer,20,20 020 #20,Thorndike Street Rt 32,MA,1069
Big Y Foods,Ware,21,21 021 #21,148 West Street,MA,1082
Big Y Foods,Great Barrington,22,22 022 #22,740 Main St Rt 7,MA,1230
Big Y Foods,Pittsfield,23,23 023 #23,200 West Street,MA,1201
Big Y Foods,Southbridge,24,24 024 #24,505 E Main Street,MA,1550
Big Y Foods,Adams,25,25 025 #25,Myrtle Street,MA,1220
Big Y Foods,North Adams,26,26 026 #26,45 Veterans Memorial Drive,MA,1240
Big Y Foods,Spencer,27,27 027 #27,62 W Main Street,MA,1562
Big Y Foods,Holden,29,29 029 #29,160 Reservoir Street Rt 31,MA,1520
Big Y Foods,Norwich,30,30 030 #30,224 Salem Turnpike,CT,6360
Big Y Foods,Danielson,31,31 031 #31,70 Wauregan Road,CT,6239
Big Y Foods,Naugatuck,32,32 032 #32,85 Bridge Street Rt 68,CT,6770
Big Y Foods,Plainfield,33,33 033 #33,83 Lathrop Road,CT,6734
Big Y Foods,Mansfield,34,34 034 #34,141B Storrs Road,CT,6250
Big Y Foods,Monroe,35,35 035 #35,535 Monroe Turnpike,CT,6468
Big Y Foods,Plainville,36,36 036 #36,275 New Britian Avenue,CT,6062
Big Y Foods,Lee,37,37 037 #37,10 Pleasant St.,MA,1238
Big Y Foods,Franklin,38,38 038 #38,348 East Central Street,MA,2038
Big Y Foods,Worcester,43,43 043 #43,100 Mayfield Street,MA,1604
Big Y Foods,Rocky Hill,44,44 044 #44,1030-1040 W.Elm Street,CT,6067
Big Y Foods,Manchester,45,45 045 #45,234 Tolland Turnpike,CT,6040
Big Y Foods,Amherst,46,46 046 #46,University Drive,MA,1002
Big Y Foods,Ansonia,47,47 047 #47,403 Main Street,CT,6401
Big Y Foods,Enfield,48,48 048 #48,65 Palomba Drive,CT,6082
Big Y Foods,Newtown,49,49 049 #49,6 Queen Street,CT,6470
Big Y Foods,South Hadley,50,50 050 #50,44 Willimansett Street,MA,1075
Big Y Foods,Chicopee,52,52 052 #52,650 Memorial Drive,MA,1020
Big Y Foods,Avon,53,53 053 #53,255 West Main Street,CT,6001
Big Y Foods,Guilford,55,55 055 #55,830 Boston Post Road,CT,6437
Big Y Foods,New Milford,56,56 056 #56,1 Kent Road,CT,6776
Big Y Foods,Torrington,59,59 059 #59,504 Winsted Rd,CT,6790
Big Y Foods,East Windsor,60,60 060 #60,67 Prospect Hill Road,CT,6088
Big Y Foods,Groton,61,61 061 #61,995 Poquonnock Road,CT,6340
Big Y Foods,Greenfield,63,63 063 #63,237 Mohawk Trail Route 2,MA,1301
Big Y Foods,Walpole,65,65 065 #65,1111 Providence Hgwy,MA,2081
Big Y Foods,Springfield,66,66 066 #66,300 Cooley St.,MA,1128
Big Y Foods,Westfield,68,68 068 #68,451 East Main St.,MA,1085
Big Y Foods,Ellington,73,73 073 #73,135 West Road,CT,6029
Big Y Foods,North Haven,77,77 077 #77,345 Washington Ave,CT,6473
Big Y Foods,Tolland,81,81 081 #81,33 Fieldstone Common,CT,6084
Big Y Foods,Bethel,82,82 082 #82,83 Stony Hill Road,CT,6801
Big Y Foods,Stratford,84,84 084 #84,355 Hawley Lane,CT,6614
Big Y Foods,Wilbraham,86,86 086 #86,2035 Boston RD,MA,1095
Big Y Foods,North Branford,87,87 087 #87,1289 Foxon Rd. Rt 80,CT,6471
Big Y Foods,Meriden,88,88 088 #88,533 South Broad Street,CT,6450
