keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Burger King,Miami,1,#01 1 #1 #001 001 #x1,3601 N.W. 27th Avenue,FL,33142-5221
Burger King,Homestead,4,#04 4 #4 #004 004 #x4,30390 South Dixie Highway,FL,33033-3217
Burger King,Miami,5,#05 5 #5 #005 005 #x5,7975 N. W. 27th Avenue,FL,33147-4966
Burger King,Miami,6,#06 6 #6 #006 006 #x6,9201 South Dixie Highway,FL,33156-2941
Burger King,Miami,7,#07 7 #7 #007 007 #x7,3051 Coral Way,FL,33145
Burger King,Perrine,8,#08 8 #8 #008 008 #x8,18240 South Dixie Highway,FL,33157-5525
Burger King,Hialeah,10,#010 10 #10 #0010 0010 #x10,775 East 9th Street,FL,33010-4553
Burger King,Miami,12,#012 12 #12 #0012 0012 #x12,1910 N. E. 163rd Street,FL,33162
Burger King,North Miami Bch,13,#013 13 #13 #0013 0013 #x13,18750 N. W. 2nd Avenue,FL,33169
Burger King,Miami,14,#014 14 #14 #0014 0014 #x14,9675 Bird Road,FL,33165-4030
Burger King,Fort Lauderdale,16,#016 16 #16 #0016 0016 #x16,1445 West Sunrise Boulevard,FL,33311-7040
Burger King,Miami,17,#017 17 #17 #0017 0017 #x17,12790 N. W. 7th Avenue,FL,33168
Burger King,Hollywood,20,#020 20 #20 #0020 0020 #x20,2631 So. State Road 7,FL,33023
Burger King,Hialeah,22,#022 22 #22 #0022 0022 #x22,891 West 49th Street,FL,33012-3544
Burger King,Carol City,25,#025 25 #25 #0025 0025 #x25,17951 N. W. 27th Avenue,FL,33056
Burger King,Carol City,26,#026 26 #26 #0026 0026 #x26,4727 N. W. 167th Street,FL,33055
Burger King,Miami,29,#029 29 #29 #0029 0029 #x29,7070 Bird Road,FL,33155-3716
Burger King,Miami,33,#033 33 #33 #0033 0033 #x33,1700 Biscayne Boulevard,FL,33132-1124
Burger King,Key West,34,#034 34 #34 #0034 0034 #x34,2120 North Roosevelt Boulevard,FL,33040-3731
Burger King,Pensacola,35,#035 35 #35 #0035 0035 #x35,4498 Mobile Highway,FL,32506-4210
Burger King,Miami,36,#036 36 #36 #0036 0036 #x36,730 N. W. 36th Street,FL,33127-3030
Burger King,Hollywood,37,#037 37 #37 #0037 0037 #x37,2319 North Federal Highway,FL,33020-2231
Burger King,Miami Beach,38,#038 38 #38 #0038 0038 #x38,910 Arthur Godfrey Road,FL,33140-3307
Burger King,Fort Lauderdale,39,#039 39 #39 #0039 0039 #x39,1725 East Sunrise Boulevard,FL,33304-3014
Burger King,Hialeah,40,#040 40 #40 #0040 0040 #x40,825 East 49th Street,FL,33013-2036
Burger King,Miami,41,#041 41 #41 #0041 0041 #x41,1309 N. W. 20th Street,FL,33142-7721
Burger King,Fort Lauderdale,42,#042 42 #42 #0042 0042 #x42,1 N. W. Oakland Park Boulevard,FL,33311
Burger King,Fort Lauderdale,43,#043 43 #43 #0043 0043 #x43,666 West Broward Boulevard,FL,33312-1746
Burger King,Miami,44,#044 44 #44 #0044 0044 #x44,13201 South Dixie Highway,FL,33156-6511
Burger King,Ocala,46,#046 46 #46 #0046 0046 #x46,2301 E. Silver Springs Blvd.,FL,34470-6910
Burger King,Lake Worth,47,#047 47 #47 #0047 0047 #x47,231 North Dixie Highway,FL,33460-3361
Burger King,Hollywood,48,#048 48 #48 #0048 0048 #x48,2315 Hollywood Boulevard,FL,33020-6708
Burger King,Merritt Island,49,#049 49 #49 #0049 0049 #x49,380 E. Merritt Island Cswy.,FL,32952-3639
Burger King,Fort Myers,50,#050 50 #50 #0050 0050 #x50,4004 Cleveland Avenue,FL,33901-9002
Burger King,Hollywood,52,#052 52 #52 #0052 0052 #x52,1001 North 60th Avenue,FL,33021-5102
Burger King,West Palm Beach,53,#053 53 #53 #0053 0053 #x53,1210 North Dixie Highway,FL,33401-2702
Burger King,Pompano Beach,55,#055 55 #55 #0055 0055 #x55,40 North Federal Highway,FL,33062-4305
Burger King,Gainesville,56,#056 56 #56 #0056 0056 #x56,20 N.W. 16th Avenue,FL,32601-0000
Burger King,West Palm Beach,59,#059 59 #59 #0059 0059 #x59,4175 Okeechobee Boulevard,FL,33409-3229
Burger King,North Miami,60,#060 60 #60 #0060 0060 #x60,12215 Biscayne Boulevard,FL,33161
Burger King,Virginia Gardens,63,#063 63 #63 #0063 0063 #x63,3700 Curtiss Parkway,FL,33166
Burger King,Miami,64,#064 64 #64 #0064 0064 #x64,5721 N. W. 7th Street,FL,33126-3105
Burger King,Marathon,65,#065 65 #65 #0065 0065 #x65,11150 Overseas Highway,FL,33050-3461
Burger King,Opa Locka,66,#066 66 #66 #0066 0066 #x66,13705 N. W. 27th Avenue,FL,33054-3950
Burger King,Hialeah,67,#067 67 #67 #0067 0067 #x67,410 West 84th Street,FL,33014-3615
Burger King,Pembroke Pines,68,#068 68 #68 #0068 0068 #x68,7871 Pines Boulevard,FL,33024-6916
Burger King,Sunrise,69,#069 69 #69 #0069 0069 #x69,3200 N. University Drive,FL,33351-6718
Burger King,Coral Gables,71,#071 71 #71 #0071 0071 #x71,395 Alcazar,FL,33134-4301
Burger King,Margate,72,#072 72 #72 #0072 0072 #x72,550 North State Road 7,FL,33063-4563
Burger King,Davie,73,#073 73 #73 #0073 0073 #x73,3951 S. W. 64th Avenue,FL,33314-3536
Burger King,Miami,74,#074 74 #74 #0074 0074 #x74,2275 S. W. 87th Avenue,FL,33165-2009
Burger King,Hallandale,75,#075 75 #75 #0075 0075 #x75,1030 W. Hallandale Beach Blvd.,FL,33009
Burger King,Miami,77,#077 77 #77 #0077 0077 #x77,21000 Allapattah Drive,FL,33189
Burger King,Naranja,78,#078 78 #78 #0078 0078 #x78,26801 South Dixie Highway,FL,33032-7524
Burger King,Miami,80,#080 80 #80 #0080 0080 #x80,6800 S. W. 8th Street,FL,33144-4703
Burger King,Coral Springs,81,#081 81 #81 #0081 0081 #x81,10494 West Sample Road,FL,33065-3943
Burger King,Lake Worth,82,#082 82 #82 #0082 0082 #x82,3796 Congress Ave. South,FL,33461
Burger King,St Petersburg,83,#083 83 #83 #0083 0083 #x83,6760 22nd Ave. North,FL,33710-3916
Burger King,Brandon,85,#085 85 #85 #0085 0085 #x85,114 West Brandon Boulevard,FL,33511-5102
Burger King,Largo,86,#086 86 #86 #0086 0086 #x86,980 Missouri Avenue,FL,33770-1812
Burger King,St Petersburg,87,#087 87 #87 #0087 0087 #x87,7705 9th Street North,FL,33702-1102
Burger King,Tampa,88,#088 88 #88 #0088 0088 #x88,5405 Sheldon Road,FL,33615-3183
Burger King,Boca Raton,89,#089 89 #89 #0089 0089 #x89,175 North Federal Highway,FL,33432-3921
Burger King,Miami,90,#090 90 #90 #0090 0090 #x90,11595 S. W. 40th Street,FL,33165-3313
Burger King,Tampa,93,#093 93 #93 #0093 0093 #x93,9211 North Florida Avenue,FL,33612-7905
Burger King,Seminole,95,#095 95 #95 #0095 0095 #x95,7371 Seminole Blvd.,FL,33772-5939
