keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Citgo,HARRISVILLE,10621001,10621001 #10621001,I 80 E AT STATE ROUTE 8,PA,16038
Citgo,SLIPPERY ROCK,10621003,10621003 #10621003,2678 WILLIAM FLYNN HWY,PA,16057
Citgo,MONACA,10621004,10621004 #10621004,711 PENNSYLVANIA AVENUE,PA,15061
Citgo,BUTLER,10621008,10621008 #10621008,760 RT. 422,PA,16002
Citgo,GEORGETOWN,10621009,10621009 #10621009,1320 STATE STREET RT 16,PA,15043
Citgo,BUTLER,10621022,10621022 #10621022,121 W NORTH STREET,PA,16001
Citgo,HILLIARDS,10621036,10621036 #10621036,RT 38 RD #1,PA,16040
Citgo,PITTSBURGH,10621046,10621046 #10621046,350 HARTS RUN RD,PA,15238
Citgo,MOON TOWNSHIP,10621059,10621059 #10621059,1300 BROADHEAD RD,PA,15108
Citgo,WAYNESBURG,10688003,10688003 #10688003,RT 218 SOUTH,PA,15370
Citgo,REEDSVILLE,10688013,10688013 #10688013,RT 7 EAST,WV,26547
Citgo,MORGANTOWN,10688042,10688042 #10688042,2 W HILLS PL,WV,26505
Citgo,NORTH MANCHESTER,10702006,10702006 #10702006,3 W. STATE ROAD 114,IN,46962
Citgo,HOBART,11137023,11137023 #11137023,801 W OLD RIDGE RD,IN,46342
Citgo,GARY,11137024,11137024 #11137024,401 S GRAND BLVD,IN,46403
Citgo,MARTINSVILLE,11137025,11137025 #11137025,589 S. MORTON AVE.,IN,46151
Citgo,INDIANAPOLIS,11137026,11137026 #11137026,3360 W. 16th St.,IN,46222
Citgo,INDIANAPOLIS,11137027,11137027 #11137027,2719 E. 38th St.,IN,46218
Citgo,GREENWOOD,11137028,11137028 #11137028,3697 S. MORGANTOWN RD,IN,46143
Citgo,INDIANAPOLIS,11137032,11137032 #11137032,2935 N. MITTHOEFFER RD.,IN,46234
Citgo,TERRE HAUTE,11137033,11137033 #11137033,743 LAFAYETTE AVE.,IN,47807
Citgo,INDIANAPOLIS,11137037,11137037 #11137037,7939 W. 10th ST.,IN,46234
Citgo,DELPHI,11137038,11137038 #11137038,220 W MAIN ST,IN,46923
Citgo,INDIANAPOLIS,11137039,11137039 #11137039,3410 N. EMERSON AVE,IN,46218
