Keywords,city, Agg store_number,store_number,address,state,zip_code
CVS Pharmacy,TABERNACLE,3,#3 #03 #003 3 03 003 #0003,1497 ROUTE 206,NJ,8088
CVS Pharmacy,BROOKLINE,6,#6 #06 #006 6 06 006 #0006,1322 BEACON STREET,MA,2446
CVS Pharmacy,SUN CITY,7,#7 #07 #007 7 07 007 #0007,9901B WEST THUNDERBIRD BOULEVARD,AZ,85351
CVS Pharmacy,SHREWSBURY,8,#8 #08 #008 8 08 008 #0008,"197 BOSTON TURNPIKE, ROUTE 9",MA,1960
CVS Pharmacy,REVERE,9,#9 #09 #009 9 09 009 #0009,"NORTHGATE SHOPPING CENTER, SQUIRE ROAD, ROUTE 60",MA,2151
CVS Pharmacy,HUNTINGTON,11,#11 #011 #0011 11 011 0011 #00011,63 NEW YORK AVENUE ROUTE 110,NY,11743
CVS Pharmacy,MIDLOTHIAN,12,#12 #012 #0012 12 012 0012 #00012,13800 HULL STREET ROAD,VA,23112
CVS Pharmacy,PROVIDENCE,13,#13 #013 #0013 13 013 0013 #00013,70 KENNEDY PLAZA,RI,2903
CVS Pharmacy,IRVING,15,#15 #015 #0015 15 015 0015 #00015,5500 NORTH MACARTHUR BOULEVARD,TX,75038
CVS Pharmacy,YOUNGSVILLE,16,#16 #016 #0016 16 016 0016 #00016,2910 EAST MILTON AVENUE,LA,70592
CVS Pharmacy,GLENDALE,17,#17 #017 #0017 17 017 0017 #00017,18591 NORTH 59TH AVENUE,AZ,85308
CVS Pharmacy,FREDERICKSBURG,18,#18 #018 #0018 18 018 0018 #00018,10701 COURTHOUSE ROAD,VA,22407
CVS Pharmacy,SPRING,19,#19 #019 #0019 19 019 0019 #00019,3850 FM 2920 ROAD,TX,77388
CVS Pharmacy,FALL RIVER,20,#20 #020 #0020 20 020 0020 #00020,245 WILLIAM CANNING BOULEVARD,MA,2721
CVS Pharmacy,WASHINGTON,21,#21 #021 #0021 21 021 0021 #00021,"1117 10TH STREET, COMMERCIAL UNIT",DC,20001
CVS Pharmacy,WASHINGTON,22,#22 #022 #0022 22 022 0022 #00022,320 40TH STREET NORTHEAST,DC,20019
CVS Pharmacy,HAVERHILL,23,#23 #023 #0023 23 023 0023 #00023,241 LINCOLN AVENUE,MA,1830
CVS Pharmacy,BELMONT,25,#25 #025 #0025 25 025 0025 #00025,60 LEONARD STREET,MA,2478
CVS Pharmacy,MEDFORD,26,#26 #026 #0026 26 026 0026 #00026,590 MIDDLESEX FELLS PARKWAY,MA,2155
CVS Pharmacy,MILAN,28,#28 #028 #0028 28 028 0028 #00028,1249 DEXTER STREET,MI,48160
CVS Pharmacy,BRAINTREE,31,#31 #031 #0031 31 031 0031 #00031,"SOUTH SHORE PLAZA, 250 GRANITE STREET",MA,2184
CVS Pharmacy,CAREFREE,32,#32 #032 #0032 32 032 0032 #00032,5400 EAST CAREFREE HIGHWAY,AZ,85331
