keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Charlotte Russe,CARLSBAD,1,1 01,2525 EL CAMINO REAL,CA,92008
Charlotte Russe,SAN DIEGO,2,2 02,1640 CAMINO DEL RIO NORTH,CA,92108
Charlotte Russe,SAN DIEGO,3,3 03,4525 LA JOLLA VILLAGE DRIVE,CA,92122
Charlotte Russe,EL CAJON,4,4 04,627 PARKWAY PLAZA,CA,92020
Charlotte Russe,SAN DIEGO,5,5 05,7007 FRIARS ROAD,CA,92108
Charlotte Russe,NATIONAL CITY,6,6 06,3030 PLAZA BONITA ROAD,CA,91950
Charlotte Russe,LA MESA,7,7 07,5500 GROSSMONT CENTER,CA,91942
Charlotte Russe,ESCONDIDO,9,9 09,200 EAST VIA RANCHO PARKWAY,CA,92025
Charlotte Russe,CHULA VISTA,12,12 012,555 BROADWAY,CA,91910
Charlotte Russe,WESTMINSTER,14,14 014,2150 WESTMINSTER MALL,CA,92683
Charlotte Russe,SCOTTSDALE,17,17 017,7014 CAMELBACK ROAD,AZ,85251
Charlotte Russe,PHOENIX,20,20 020,N 9617 METRO PKWY,AZ,85051
Charlotte Russe,LAKEWOOD,21,21 021,78 LAKEWOOD FASHION CENTER,CA,90712
Charlotte Russe,ARCADIA,22,22 022,400 SOUTH BALDWIN AVENUE,CA,91007
Charlotte Russe,MORENO VALLEY,25,25 025,22500 TOWN CIRCLE,CA,92553
Charlotte Russe,WEST COVINA,27,27 027,735 PLAZA DRIVE,CA,91790
Charlotte Russe,CANOGA PARK,28,28 028,6600 TOPANGA CANYON BLVD,CA,91303
Charlotte Russe,LAS VEGAS,29,29 029,4300 MEADOWS LANE,NV,89107
Charlotte Russe,GLENDALE,30,30 030,7700 W. ARROWHEAD TOWN CENTER,AZ,85308
Charlotte Russe,LAGUNA HILLS,31,31 031,24155 LAGUNA HILLS MALL,CA,92653
Charlotte Russe,TUCSON,32,32 032,4500 NORTH ORACLE ROAD,AZ,85705
Charlotte Russe,NORTHRIDGE,33,33 033,9301 TAMPA AVENUE,CA,91324
Charlotte Russe,MONTEBELLO,34,34 034,1843 MONTEBELLO TOWN CENTER,CA,90640
Charlotte Russe,GLENDALE,35,35 035,2122 GLENDALE GALLERIA,CA,91210
Charlotte Russe,MESA,36,36 036,W 1445 SOUTHERN AVENUE,AZ,85202
Charlotte Russe,HENDERSON,37,37 037,1300 WEST SUNSET ROAD,NV,89014
Charlotte Russe,ONTARIO,38,38 038,1 MILLS CIRCLE,CA,91764
Charlotte Russe,BAKERSFIELD,40,40 040,2701 MING AVENUE,CA,93304
Charlotte Russe,AIEA,42,42 042,98-1005 MOANALUA ROAD,HI,96701
Charlotte Russe,ORLANDO,43,43 043,3201 EAST COLONIAL DRIVE,FL,32803
Charlotte Russe,GRAPEVINE,45,45 045,3000 GRAPEVINE MILLS PARKWAY,TX,76051
Charlotte Russe,OVIEDO,47,47 047,1640 OVIEDO MARKETPLACE BLVD,FL,32765
Charlotte Russe,TEMPE,49,49 049,S 5000 ARIZONA MILLS CIRCLE,AZ,85282
Charlotte Russe,GREENVILLE,62,62 062,700 HAYWOOD ROAD,SC,29607
Charlotte Russe,PLANO,64,64 064,811 N. CENTRAL EXPRESSWAY,TX,75075
Charlotte Russe,FRESNO,65,65 065,675-A EAST SHAW AVENUE,CA,93710
Charlotte Russe,KENNESAW,66,66 066,400 ERNEST BARRETT PARKWAY,GA,30144
Charlotte Russe,MELBOURNE,68,68 068,W 1700 NEW HAVEN AVENUE,FL,32904
Charlotte Russe,CEDAR PARK,69,69 069,11200 LAKELINE MALL DRIVE,TX,78613
Charlotte Russe,MIAMI BEACH,70,70 070,5701 SUNSET DRIVE,FL,33143
Charlotte Russe,CORAL SPRINGS,71,71 071,9167 WEST ATLANTIC BOULEVARD,FL,33071
Charlotte Russe,ST PETERSBURG,74,74 074,6901 22ND AVENUE,FL,33710
Charlotte Russe,WEST NYACK,75,75 075,2512 PALISADES CENTER DRIVE,NY,10994
Charlotte Russe,PLANTATION,76,76 076,8000 BROWARD MALL,FL,33388
Charlotte Russe,AUBURN HILLS,77,77 077,4754 BALDWIN ROAD,MI,48326
Charlotte Russe,ATLANTA,78,78 078,4400 ASHFORD-DUNWOODY ROAD,GA,30346
Charlotte Russe,TAMPA,79,79 079,8021 CITRUS PARK TOWN CENTER MALL,FL,33625
Charlotte Russe,BUFFALO,80,80 080,G104 WALDEN GALLERIA,NY,14225
Charlotte Russe,MAYS LANDING,82,82 082,4403 BLACK HORSE PIKE,NJ,8330
