keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Chick fil A,Alexandria,1,1 #001 #01 #1 0001 001 01 #00001 #0001 #x1,3437 Masonic Dr,LA,71301
Chick fil A,Dublin,2,2 #002 #02 #2 0002 002 02 #00002 #0002 #x2,5043 Tuttle Crossing Blvd Ste 169,OH,43016
Chick fil A,Lafayette,3,3 #003 #03 #3 0003 003 03 #00003 #0003 #x3,5725 Johnston St # A266,LA,70503
Chick fil A,Winchester,4,4 #004 #04 #4 0004 004 04 #00004 #0004 #x4,1850 Apple Blossom Dr,VA,22601
Chick fil A,Albany,5,5 #005 #05 #5 0005 005 05 #00005 #0005 #x5,2601 Dawson Rd,GA,31707
Chick fil A,Friendswood,6,6 #006 #06 #6 0006 006 06 #00006 #0006 #x6,1 Baybrook Mall,TX,77546
Chick fil A,Annapolis,8,8 #008 #08 #8 0008 008 08 #00008 #0008 #x8,1035 Annapolis Mall,MD,21401
Chick fil A,Augusta,9,9 #009 #09 #9 0009 009 09 #00009 #0009 #x9,3450 Wrightsboro Rd,GA,30909
Chick fil A,Altamonte Springs,10,10 #0010 #010 #10 00010 0010 010 #000010 #00010 #x10,451 Altamonte Mall,FL,32701
Chick fil A,Aurora,11,11 #0011 #011 #11 00011 0011 011 #000011 #00011 #x11,14200 E Alameda Ave Unit 2062,CO,80012
Chick fil A,Asheville,12,12 #0012 #012 #12 00012 0012 012 #000012 #00012 #x12,3 S Tunnel Rd,NC,28805
Chick fil A,Tyler,15,15 #0015 #015 #15 00015 0015 015 #000015 #00015 #x15,4601 S Broadway Ave,TX,75703
Chick fil A,Beachwood,16,16 #0016 #016 #16 00016 0016 016 #000016 #00016 #x16,26300 Cedar Rd Ste 1105,OH,44122
Chick fil A,Austin,17,17 #0017 #017 #17 00017 0017 017 #000017 #00017 #x17,2901 S Capital Of Texas Hwy Ste Vc8,TX,78746
Chick fil A,Springfield,18,18 #0018 #018 #18 00018 0018 018 #000018 #00018 #x18,2825 S Glenstone Ave Ste R7,MO,65804
Chick fil A,Birmingham,20,20 #0020 #020 #20 00020 0020 020 #000020 #00020 #x20,746 Brookwood Vlg,AL,35209
Chick fil A,Indianapolis,21,21 #0021 #021 #21 00021 0021 021 #000021 #00021 #x21,6020 E 82nd St Ste 1012,IN,46250
Chick fil A,Texarkana,26,26 #0026 #026 #26 00026 0026 026 #000026 #00026 #x26,2400 Richmond Rd,TX,75503
Chick fil A,Lawton,29,29 #0029 #029 #29 00029 0029 029 #000029 #00029 #x29,200 Sw C Ave,OK,73501
Chick fil A,Charlottesville,31,31 #0031 #031 #31 00031 0031 031 #000031 #00031 #x31,1576 Rio Rd E,VA,22901
Chick fil A,Charleston,32,32 #0032 #032 #32 00032 0032 032 #000032 #00032 #x32,2070 Sam Rittenberg Blvd Unit Fc5,SC,29407
