keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Chuck E. Cheese,Stockton,31,31 #31 031 000031X 0000031,6436 Pacific Avenue,CA,95207
Chuck E. Cheese,Harlem,32,32 #32 032 000032X 0000032,280 St. Nicholas Avenue- 2nd Floor,NY,10027
Chuck E. Cheese,Dothan,33,33 #33 033 000033X 0000033,1001 Commons Drive,AL,36303
Chuck E. Cheese,Tyler,34,34 #34 034 000034X 0000034,736 West SW Loop 323,TX,75701
Chuck E. Cheese,Houston,35,35 #35 035 000035X 0000035,2220 FM 1960,TX,77090
Chuck E. Cheese,Houston,38,38 #38 038 000038X 0000038,6787 Hwy 6 North,TX,77084
Chuck E. Cheese,Oaklawn,39,39 #39 039 000039X 0000039,4031 W. 95th,IL,60453
Chuck E. Cheese,Lewisville,41,41 #41 041 000041X 0000041,2402 S. Stemmons,TX,75067
Chuck E. Cheese,Rockwall,42,42 #42 042 000042X 0000042,855 East Interstate 30,TX,75087
Chuck E. Cheese,Charlotte,43,43 #43 043 000043X 0000043,5612 Albermarle Rd. #100,NC,28212
Chuck E. Cheese,Bakersfield,45,45 #45 045 000045X 0000045,3760 Ming Ave.,CA,93309
Chuck E. Cheese,Fresno,47,47 #47 047 000047X 0000047,3117 W. Shaw- Ste. 107,CA,93711
Chuck E. Cheese,Visalia,48,48 #48 048 000048X 0000048,4345 W. Noble Avenue,CA,93277
Chuck E. Cheese,Oceanside,49,49 #49 049 000049X 0000049,2481 Vista Way,CA,92054
Chuck E. Cheese,Springfield,50,50 #50 050 000050X 0000050,2369 McArthur Ave,IL,62704
Chuck E. Cheese,Alexandria,53,53 #53 053 000053X 0000053,1725 Metro Dr.,LA,71301
Chuck E. Cheese,Lancaster,54,54 #54 054 000054X 0000054,44410 Valley Central Way,CA,93536
Chuck E. Cheese,Annapolis,55,55 #55 055 000055X 0000055,2333-A Forest Dr.,MD,21401
Chuck E. Cheese,Crystal Lake,56,56 #56 056 000056X 0000056,4725 Northwest Hwy.,IL,60014
Chuck E. Cheese,Melrose Park,58,58 #58 058 000058X 0000058,1030 Winston Plaza,IL,60160
Chuck E. Cheese,Knoxville,59,59 #59 059 000059X 0000059,8225 Kingston Pike,TN,37919
Chuck E. Cheese,Richmond,60,60 #60 060 000060X 0000060,9030 Broad St.,VA,23294
Chuck E. Cheese,Tinley Park,62,62 #62 062 000062X 0000062,16090 S. Harlem Ave.,IL,60477
Chuck E. Cheese,Streamwood,63,63 #63 063 000063X 0000063,990 S. Barrington Rd.,IL,60107
Chuck E. Cheese,Evansville,64,64 #64 064 000064X 0000064,559 N. Green River Rd.,IN,47715
Chuck E. Cheese,Jacksonville,65,65 #65 065 000065X 0000065,9820 Atlantic Blvd.,FL,32225
Chuck E. Cheese,Chicago,66,66 #66 066 000066X 0000066,5030 S. Kedzie,IL,60632
Chuck E. Cheese,Charlotte,67,67 #67 067 000067X 0000067,7701 Pineville-Matthews Rd.,NC,28226
Chuck E. Cheese,Pensacola,68,68 #68 068 000068X 0000068,7350 Plantation Rd.,FL,32504
Chuck E. Cheese,Jacksonville,71,71 #71 071 000071X 0000071,6065 Youngerman Circle,FL,32244
Chuck E. Cheese,Overland Park,73,73 #73 073 000073X 0000073,10510 Metcalf Lane,KS,66202
Chuck E. Cheese,Madison,74,74 #74 074 000074X 0000074,2070 Gallatin Rd. North,TN,37115
Chuck E. Cheese,Dale City,75,75 #75 075 000075X 0000075,14085 Shoppers Best Way,VA,22192
Chuck E. Cheese,Matteson,80,80 #80 080 000080X 0000080,106 Towncenter,IL,60443
Chuck E. Cheese,Antioch,81,81 #81 081 000081X 0000081,5312 Hickory Hollow Lane,TN,37013
Chuck E. Cheese,Alexandria,82,82 #82 082 000082X 0000082,6301 Richmond Hwy.,VA,22306
Chuck E. Cheese,Canton,84,84 #84 084 000084X 0000084,42001 Ford Rd.,MI,48187
