keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Cinnabon,Puyallup,3,3 #3 #03,3500 South Meridian,WA,98373
Cinnabon,Moreno Valley,7,7 #7 #07,22500 Town Center #1111,CA,92553
Cinnabon,El Paso,8,8 #8 #08,8401 Gateway West,TX,79925
Cinnabon,Asheville,9,9 #9 #09,"3 South Tunnel Road, A-9",NC,28805
Cinnabon,Kennewick,15,15 #15 #015,511 Columbia Center,WA,90336
Cinnabon,Rockford,18,18 #18 #018,"7200 Harrison RD, #H52",IL,61112
Cinnabon,Montclair,22,22 #22 #022,5192 Montclair Plaza,CA,91763
Cinnabon,Kaneohe,23,23 #23 #023,"Location No.18, 46-056 Kamehamehaha Hwy C01",HI,96744
Cinnabon,San Jose,25,25 #25 #025,359 Eastridge Mall #d-25,CA,95122
Cinnabon,Eugene,28,28 #28 #028,12 Valley River Center,OR,97401
Cinnabon,Wauwatosa,33,33 #33 #033,2500 N. Mayfair Road,WI,53226
Cinnabon,Merrillville,36,36 #36 #036,2190 Southlake Mall,IN,46410
Cinnabon,Lafayette,37,37 #37 #037,2415 Sagamore Pkwy Lane,IN,47905
Cinnabon,Northridge,41,41 #41 #041,"9301 Tampa Ave., Space 108",CA,91324
Cinnabon,Tacoma,42,42 #42 #042,"4502 S. Steele Street, # 364",WA,98409
Cinnabon,Torrance,43,43 #43 #043,21880 Hawthorne Blvd. #335B,CA,90503
Cinnabon,Alea,47,47 #47 #047,604 Pearlridge Downtown,HI,96701
Cinnabon,Brea,56,56 #56 #056,2152 Brea Mall,CA,92821
Cinnabon,Lima,61,61 #61 #061,2400 Elida Road,OH,45805
Cinnabon,Sterling Heights,64,64 #64 #064,14600 Lakeside Circle,MI,48313
Cinnabon,Schaumburg,65,65 #65 #065,D203 Woodfield Mall,IL,60173
Cinnabon,Dayton,67,67 #67 #067,2700 Miamisburg-Centerville,OH,45459
Cinnabon,Westminster,74,74 #74 #074,2052 Westminster Mall,CA,92683
Cinnabon,Canton,77,77 #77 #077,4224 Belden Mall NW,OH,44718
Cinnabon,Sacramento,79,79 #79 #079,"1689 Arden Way, #2002",CA,95815
Cinnabon,Spokane,80,80 #80 #080,14700 East Indiana Avenue,WA,99216
Cinnabon,Spokane,81,81 #81 #081,"N. 4750 Division Street, #163",WA,99207
Cinnabon,Concord,84,84 #84 #084,"110 Sun Valley Mall, A135L",CA,94520
Cinnabon,Fairfield,86,86 #86 #086,1350 Travis Blvd.,CA,94533
Cinnabon,Richmond,87,87 #87 #087,1315 Hilltop Mall Road # B,CA,94806
Cinnabon,Glendale,89,89 #89 #089,1130 Glendale Galleria I,CA,91210
Cinnabon,Lombard,91,91 #91 #091,203 Yorktown Mall,IL,60148
Cinnabon,Knoxville,94,94 #94 #094,7600 Kingston Pike,TN,37919
Cinnabon,Bakersfield,96,96 #96 #096,2701 Ming Avenue #0148,CA,93304
Cinnabon,Montebello,99,99 #99 #099,2136 Montebello Town Ctr BU-16,CA,90640
Cinnabon,Salinas,100,100 #100 #0100,446 Northridge Mall,CA,93906
Cinnabon,Cerritos,104,104 #104 #0104,141 Los Cerritos Center,CA,90703
Cinnabon,Jacksonville,106,106 #106 #0106,10300 Southside Blvd. # 2671,FL,32256
Cinnabon,Philadelphia,112,112 #112 #0112,1101 Market Street,PA,19107
Cinnabon,Pensacola,117,117 #117 #0117,5100 N. 9th Ave.,FL,32504
Cinnabon,Modesto,118,118 #118 #0118,431 Vintage Faire Mall,CA,95350
Cinnabon,San Jose,124,124 #124 #0124,"925 Blossom Hill Road, # 1115",CA,95123
Cinnabon,Indianapolis,125,125 #125 #0125,49 West Maryland Avenue D18,IN,46204
Cinnabon,Houston,126,126 #126 #0126,"800 Gessner, #778",TX,77024
Cinnabon,Houston,128,128 #128 #0128,1198 Willowbrook Lane,TX,77070
Cinnabon,Friendswood,131,131 #131 #0131,"500 Baybrook, #1080",TX,77546
Cinnabon,Gainesville,142,142 #142 #0142,6329 M Newberry Road,FL,32605
Cinnabon,Bellingham,146,146 #146 #0146,"1 Bellis Fair Parkway, Space # 518",WA,98226
Cinnabon,Terre Haute,153,153 #153 #0153,3401 South US Highway 41,IN,47802
Cinnabon,Hillsboro,161,161 #161 #0161,23105 SW TV Highway,OR,97123
Cinnabon,Ann Arbor,168,168 #168 #0168,448 Briarwood Circle,MI,48108
Cinnabon,Louisville,171,171 #171 #0171,5000 Shelbyville Road,KY,40270
Cinnabon,Albuquerque,174,174 #174 #0174,"10000 Coors Bypass NW, SP D7",NM,87114
Cinnabon,Santa Rosa,175,175 #175 #0175,1066 Santa Rosa Plaza,CA,95401
Cinnabon,Denver,181,181 #181 #0181,3000 East First Avenue,CO,80206
Cinnabon,Santa Ana,183,183 #183 #0183,"2800 N. Main Street, # 568",CA,92701
Cinnabon,Deptford,186,186 #186 #0186,"1750 Deptford Center Road, 2B-19C",NJ,8096
Cinnabon,Buford,198,198 #198 #0198,"3333 Buford Drive, St. 1079",GA,30519
Cinnabon,Orland Park,205,205 #205 #0205,144 Orland Square,IL,60462
Cinnabon,Palm Desert,216,216 #216 #0216,72840 Highway 111,CA,92260
Cinnabon,Redondo Beach,219,219 #219 #0219,1815 Hawthorne Blvd # 369,CA,90278
Cinnabon,Mobile,235,235 #235 #0235,3299 Bel Air Mall,AL,36606
Cinnabon,El Centro,241,241 #241 #0241,3451 South Dogwood Ave.,CA,92243
Cinnabon,Sunrise,243,243 #243 #0243,"12801 Sunrise Blvd, #265",FL,33323
Cinnabon,San Bruno,244,244 #244 #0244,1150 El Camino Real,CA,94066
Cinnabon,Downey,248,248 #248 #0248,251 Stonewood Street C-07,CA,90241
Cinnabon,Stockton,256,256 #256 #0256,4950 Pacific Ave. Suite #303,CA,95207
Cinnabon,Prince William,259,259 #259 #0259,2700 Potomac Mills Circle,VA,22192
Cinnabon,Wichita Falls,260,260 #260 #0260,3111 Midwestern Parkway,TX,76308
Cinnabon,Fairfax,261,261 #261 #0261,"11750 Fair Oaks, Unit # 11933U",VA,22033
Cinnabon,Hayward,262,262 #262 #0262,One Southland Mall,CA,94545
Cinnabon,Citrus Heights,274,274 #274 #0274,6041 Sunrise Mall,CA,95610
Cinnabon,Tulsa,275,275 #275 #0275,7021 South Memorial Drive # 268,OK,74133
Cinnabon,San Antonio,281,281 #281 #0281,"849 East Commerce, Suite # 133",TX,78206
Cinnabon,Sunrise,282,282 #282 #0282,12801 Sunrise Blvd. Suite #711,FL,33323
Cinnabon,Des Moines,289,289 #289 #0289,"101 Jordan Creek Pkwy, Space 2082",IA,50266
Cinnabon,Aurora,292,292 #292 #0292,195 Fox Valley Center,IL,60504
Cinnabon,Pearland,296,296 #296 #0296,11200 Broadway Suite #1210,TX,77584
Cinnabon,Roseville,299,299 #299 #0299,1151 Galleria Blvd.,CA,95678
Cinnabon,College Station,300,300 #300 #0300,2210 Harvey Mitchell Parkway South,TX,77845
Cinnabon,Las Vegas,309,309 #309 #0309,3411 Las Vegas Blvd.,NV,89109
Cinnabon,Auburn Hills,310,310 #310 #0310,"4000 Baldwin Road, #521",MI,48326
Cinnabon,Macon,311,311 #311 #0311,3661 Eisenhower Parkway,GA,31206
Cinnabon,Jersey City,318,318 #318 #0318,"30 Mall Drive, West",NJ,7310
Cinnabon,Thousand Oaks,348,348 #348 #0348,284 West Hillcrest Drive,CA,91360
Cinnabon,Yonkers,364,364 #364 #0364,6 K Mall Walk,NY,10704
Cinnabon,Vernon Hills,366,366 #366 #0366,122 Hawthorn Center #610,IL,60061
Cinnabon,Culver City,399,399 #399 #0399,"6000 S. Sepulveda Blvd., No. 2410",CA,90230
Cinnabon,City of Industry,437,437 #437 #0437,"1600 Azusa Avenue, Suite K-5",CA,91748
Cinnabon,Billings,439,439 #439 #0439,300 South 24th Street W,MT,59102
Cinnabon,Houston,443,443 #443 #0443,"5015 Westheimer, #1403",TX,77056
Cinnabon,Albany,458,458 #458 #0458,2601 Dawson Road,GA,31707
Cinnabon,Central Valley,556,556 #556 #0556,498 Red Apple Court,NY,10917
Cinnabon,Burbank,581,581 #581 #0581,"201 E. Magnolia, Suite 376",CA,91502
Cinnabon,Fresno,592,592 #592 #0592,505 East Shaw Drive,CA,93710
Cinnabon,Newark,634,634 #634 #0634,715 Christiana Mall Unit #1536,DE,19702
Cinnabon,Annapolis,636,636 #636 #0636,1016 Annapolis Mall Road,MD,21401
Cinnabon,Douglasville,637,637 #637 #0637,6700 Douglas Blvd. Suite 2495,GA,30165
Cinnabon,Palmdale,639,639 #639 #0639,"1233 Rancho Vista Blvd, #753",CA,93551
Cinnabon,Bellevue,674,674 #674 #0674,1038 Bellevue Square,WA,98004
Cinnabon,San Diego,694,694 #694 #0694,467 Horton Plaza # 335,CA,92101-6150
Cinnabon,Arcadia,793,793 #793 #0793,400 S. Baldwin Avenue,CA,91007
Cinnabon,Columbus,800,800 #800 #0800,3131 Manchester Expressway,GA,31099
Cinnabon,Flint,801,801 #801 #0801,3341 S. Linden,MI,48507
Cinnabon,Niagara Falls,818,818 #818 #0818,1900 Military Road,NY,14304
Cinnabon,Anchorage,821,821 #821 #0821,5000 West International Airport Road,AK,99502
Cinnabon,Canton,822,822 #822 #0822,5400 Lauby Road NW,OH,44720-1598
Cinnabon,Cleveland,828,828 #828 #0828,5300 Riverside Dr. Space MT-280,OH,44135
Cinnabon,Angola,830,830 #830 #0830,Mile Marker 447 NY State Thruway,NY,14006
Cinnabon,Johnson City,832,832 #832 #0832,601-635 Harry L. Drive,NY,13790
Cinnabon,Jensen Beach,862,862 #862 #0862,3312 NW Federal Highway,FL,34957
Cinnabon,Charlotte,866,866 #866 #0866,6801 Northlake Mall,NC,28216
Cinnabon,Las Vegas,874,874 #874 #0874,3850 Las Vegas Blvd. South,NV,89109
Cinnabon,Vancouver,877,877 #877 #0877,8700 N.E Vancouver Mall Drive,WA,98662
Cinnabon,Valencia,912,912 #912 #0912,24201 Valencia Blvd. #110,CA,91355
Cinnabon,Troy,913,913 #913 #0913,"498 West 14 Mile Road, Ste. A",MI,48083
Cinnabon,McLean,917,917 #917 #0917,1960 Chain Bridge Rd #G3LB,VA,22102
Cinnabon,Humble,924,924 #924 #0924,20131 Highway 59,TX,77338
Cinnabon,Scranton,962,962 #962 #0962,300 Lackawanna Avenue,PA,18503
Cinnabon,Bloomingdale,964,964 #964 #0964,206 Stratford Square,IL,60108
Cinnabon,Wayne,981,981 #981 #0981,3102 Willowbrook #E2,NJ,7470
Cinnabon,Rockaway,982,982 #982 #0982,Rt. 80 & Mt. Hope Avenue,NJ,7866
Cinnabon,Edison,1007,1007 #1007 #01007,389 Menlo Park,NJ,8837
Cinnabon,Woodbridge,1021,1021 #1021 #01021,Woodbridge Ctr Dr Space # 155,NJ,7095
Cinnabon,Paramus,1026,1026 #1026 #01026,1 Garden State Plaza,NJ,7652
Cinnabon,Laughlin,1032,1032 #1032 #01032,2900 S Casino Drive,NV,89029
Cinnabon,Albuquerque,1049,1049 #1049 #01049,"6600 Menaul Blvd NE, Sp#S-5",NM,87110
Cinnabon,Lancaster,1062,1062 #1062 #01062,604 Park City Center,PA,17601
Cinnabon,Cherry Hill,1072,1072 #1072 #01072,"NJ Turnpike, Mile Marker 30.2S",NJ,8034
Cinnabon,Bloomington,1075,1075 #1075 #01075,E. 180 Broadway,MN,55425
Cinnabon,Maplewood,1076,1076 #1076 #01076,1054 Maplewood Mall,MN,55109
Cinnabon,Burnsville,1079,1079 #1079 #01079,1078 Burnsville Center,MN,55306
Cinnabon,Winston-Salem,1081,1081 #1081 #01081,1148 Hanes Mall,NC,27103
Cinnabon,Cary,1082,1082 #1082 #01082,1105 Walnut Street,NC,27511
Cinnabon,Greensboro,1091,1091 #1091 #01091,222 Four Seasons Town Ctr,NC,27407
Cinnabon,Concord,1095,1095 #1095 #01095,8111 Concord Mall Dr.,NC,28027
Cinnabon,Raleigh,1096,1096 #1096 #01096,5959 Triangle Town Blvd FU2083,NC,27616
Cinnabon,Valley Stream,1098,1098 #1098 #01098,1122 Green Acres Mall #71,NY,11581
Cinnabon,Lake Grove,1103,1103 #1103 #01103,Route 25 & Route 347 Site A22,NY,11755
Cinnabon,Elmhurst,1106,1106 #1106 #01106,"90-15 Queens Blvd., Sp. 201-202",NY,11373
Cinnabon,Brooklyn,1108,1108 #1108 #01108,5174 Kings Plaza,NY,11234
Cinnabon,Portland,1114,1114 #1114 #01114,1109 Lloyd Center,OR,97232
Cinnabon,Phoenix,1115,1115 #1115 #01115,9617 Metro Parkway,AZ,85051
Cinnabon,Glendale,1120,1120 #1120 #01120,"7700 W Arrowhead Town Ctr, #2196",AZ,85308
Cinnabon,Tucson,1122,1122 #1122 #01122,4500 N. Oracle Road # 126,AZ,85705
Cinnabon,Visalia,1135,1135 #1135 #01135,2031 S Mooney Blvd,CA,93277
Cinnabon,Sioux City,1140,1140 #1140 #01140,"4400 Sargent Road, # 201",IA,51106
Cinnabon,Hazelwood,1143,1143 #1143 #01143,4785 Park 370 Boulevard,MO,63042
Cinnabon,Charlotte,1149,1149 #1149 #01149,5501 Josh Birmingham Parkway,NC,28208
Cinnabon,Savannah,1152,1152 #1152 #01152,7804 Abercorn Street,GA,31406
Cinnabon,Cranbury,1156,1156 #1156 #01156,Route 2 Box 23,NJ,8512
Cinnabon,Las Vegas,1159,1159 #1159 #01159,PO Box 11007,NV,89119
Cinnabon,Las Vegas,1166,1166 #1166 #01166,PO Box 11007,NV,89119
Cinnabon,Las Vegas,1178,1178 #1178 #01178,PO Box 11007,NV,89119
Cinnabon,Las Vegas,1190,1190 #1190 #01190,PO Box 11007,NV,89119
Cinnabon,Bedford,1212,1212 #1212 #01212,Between Exits 11 & 12 Westbound,PA,15522
