keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Circle K,AUSTIN,2704675,02704675 2704675 #02704675 2702704675,2453 E STATE HWY 71,TX,78617
Circle K,GEORGETOWN,2704676,02704676 2704676 #02704676 2702704676,3817 WILLIAMS DR,TX,78628
Circle K,LAKEWAY,2704681,02704681 2704681 #02704681 2702704681,1405 S RANCH RD 620,TX,78734
Circle K,AUSTIN,2704684,02704684 2704684 #02704684 2702704684,6412 W US HWY 290,TX,78735
Circle K,ROUND ROCK,2704685,02704685 2704685 #02704685 2702704685,1515 ROUND ROCK AVE,TX,78681
Circle K,PASCO,2706025,02706025 2706025 #02706025 2702706025,4823 BROADMOOR BLVD,WA,99301
Circle K,RICHLAND,2706026,02706026 2706026 #02706026 2702706026,1401 GEORGE WASHINGTON WAY,WA,99354
Circle K,KENNEWICK,2706030,02706030 2706030 #02706030 2702706030,5301 W CANAL DR,WA,99336
Circle K,KENNEWICK,2706031,02706031 2706031 #02706031 2702706031,12231 W CLEARWATER AVE,WA,99338
Circle K,KENNEWICK,2706033,02706033 2706033 #02706033 2702706033,4201 W 27TH AVE,WA,99338
Circle K,KENNEWICK,2706035,02706035 2706035 #02706035 2702706035,2105 W 4TH AVE,WA,99336
Circle K,ELLENSBURG,2706038,02706038 2706038 #02706038 2702706038,1600 CANYON RD,WA,98926
Circle K,CONNELL,2706040,02706040 2706040 #02706040 2702706040,660 S COLUMBIA AVE,WA,99326
Circle K,NACHES,2706042,02706042 2706042 #02706042 2702706042,10171-10173 HWY 12,WA,98937
Circle K,RICHLAND,2706043,02706043 2706043 #02706043 2702706043,1915 COLUMBIA CENTER BLVD,WA,99352
Circle K,WENATCHEE,2706047,02706047 2706047 #02706047 2702706047,1405 N WENATCHEE AVE,WA,98801
Circle K,LABELLE,2655234,02655234 2655234 #02655234 2702655234,750 W HICKPOOCHEE AVE,FL,33935
Circle K,INDIAN TRAIL,2701501,02701501 2701501 #02701501 2702701501,1071 CHESTNUT LN,NC,28104
Circle K,MT AIRY,2702021,02702021 2702021 #02702021 2702702021,1910 N MAIN ST,NC,27030
Circle K,COLUMBIA,2702048,02702048 2702048 #02702048 2702702048,334 HARBISON BLVD,SC,29212
Circle K,WARNER ROBINS,2703140,02703140 2703140 #02703140 2702703140,801 GA HWY 96,GA,31088
Circle K,PERRY,2703144,02703144 2703144 #02703144 2702703144,1424 SAM NUNN BLVD,GA,31069
Circle K,PHOENIX,2703425,02703425 2703425 #02703425 2702703425,3950 E BASELINE RD,AZ,85042
Circle K,NOGALES,2703443,02703443 2703443 #02703443 2702703443,1680 N CARL'S JR RD,AZ,85621
Circle K,LARGO,2707628,02707628 2707628 #02707628 2702707628,1499 BELCHER RD S,FL,33771
Circle K,ORLANDO,2708953,02708953 2708953 #02708953 2702708953,9999 S ORANGE BLOSSOM TR,FL,32837
Circle K,ORLANDO,2708954,02708954 2708954 #02708954 2702708954,8550 CURRY FORD RD,FL,32825
Circle K,ORLANDO,2708956,02708956 2708956 #02708956 2702708956,12253 LAKE UNDERHILL RD,FL,32825
Circle K,KISSIMMEE,2708958,02708958 2708958 #02708958 2702708958,808 BUENAVENTURA BLVD,FL,34743
Circle K,ORLANDO,2708960,02708960 2708960 #02708960 2702708960,6942 W SAND LAKE RD,FL,32819
Circle K,ORLANDO,2708961,02708961 2708961 #02708961 2702708961,700 S KIRKMAN RD,FL,32811
Circle K,ORLANDO,2708962,02708962 2708962 #02708962 2702708962,4680 N ORANGE BLOSSOM TR,FL,32804
Circle K,ORLANDO,2708964,02708964 2708964 #02708964 2702708964,1607 S SEMORAN BLVD,FL,32822
Circle K,ORLANDO,2708965,02708965 2708965 #02708965 2702708965,12914 E COLONIAL DR,FL,32826
Circle K,APOPKA,2708966,02708966 2708966 #02708966 2702708966,2115 S ORANGE BLOSSOM TR,FL,32703
Circle K,CLERMONT,2708970,02708970 2708970 #02708970 2702708970,16431 SR 50,FL,34711
Circle K,ORLANDO,2708972,02708972 2708972 #02708972 2702708972,16891 E COLONIAL DR,FL,32820
Circle K,OVIEDO,2708973,02708973 2708973 #02708973 2702708973,40 E MITCHELL HAMMOCK RD,FL,32765
Circle K,OCOEE,2708974,02708974 2708974 #02708974 2702708974,1650 E SILVER STAR RD,FL,34761
Circle K,ORLANDO,2708975,02708975 2708975 #02708975 2702708975,6250 W COLONIAL DR,FL,32808
Circle K,KISSIMMEE,2708977,02708977 2708977 #02708977 2702708977,10 S JOHN YOUNG PKWY,FL,34741
Circle K,SANFORD,2708978,02708978 2708978 #02708978 2702708978,2500 S FRENCH AVE,FL,32773
Circle K,OCOEE,2708980,02708980 2708980 #02708980 2702708980,10960 W COLONIAL DR,FL,34761
Circle K,ST PETERS,M1639,0M1639 M1639 #0M1639 270M1639,6105 MEXICO RD,MO,63376
Circle K,ST CHARLES,M1645,0M1645 M1645 #0M1645 270M1645,3700 ELM ST,MO,63301
Circle K,CHESTERFIELD,M1647,0M1647 M1647 #0M1647 270M1647,14804 CLAYTON RD,MO,63017
Circle K,ST LOUIS,M1658,0M1658 M1658 #0M1658 270M1658,7449 OLIVE BLVD,MO,63130
Circle K,INDIANAPOLIS,M2291,0M2291 M2291 #0M2291 270M2291,2104 N CAPITOL AVE,IN,46202
Circle K,LOUISVILLE,M3246,0M3246 M3246 #0M3246 270M3246,4701 S 3RD ST,KY,40214
Circle K,ERIE,M4217,0M4217 M4217 #0M4217 270M4217,2917 GLENWOOD PARK AVE,PA,16508
Circle K,MARION,M5331,0M5331 M5331 #0M5331 270M5331,821 BELLEFONTAINE AVE,OH,43302
Circle K,WADSWORTH,M5335,0M5335 M5335 #0M5335 270M5335,1051 N HIGH ST,OH,44281
Circle K,MINERVA,M5384,0M5384 M5384 #0M5384 270M5384,726 LINCOLNWAY E,OH,44657
Circle K,CUYAHOGA FALLS,M5578,0M5578 M5578 #0M5578 270M5578,3955 STATE RD,OH,44223
Circle K,HONOLULU,250344,0250344 250344 #0250344 270250344,1406 S BERETANIA ST,HI,96814
Circle K,MARYSVILLE,252534,0252534 252534 #0252534 270252534,1111 B ST,CA,95901
Circle K,CAMERON PARK,252628,0252628 252628 #0252628 270252628,4051 CAMERON PARK DR,CA,95682
Circle K,CONCORD,254633,0254633 254633 #0254633 270254633,1024 ALBERTA WAY,CA,94521
Circle K,LOS ANGELES,255562,0255562 255562 #0255562 270255562,2876 S BUNDY DR,CA,90064
Circle K,NEWHALL,255881,0255881 255881 #0255881 270255881,24551 LYONS AVE,CA,91321
Circle K,TEMECULA,256519,0256519 256519 #0256519 270256519,28903 RANCHO CALIFORNIA RD,CA,92590
Circle K,SPRING VALLEY,257131,0257131 257131 #0257131 270257131,11906 CAMPO RD,CA,91978
Circle K,DAYTONA BEACH,2380100,02380100 2380100 #02380100 2702380100,1900 LPGA BLVD,FL,32117
Circle K,LAKE WORTH,2380101,02380101 2380101 #02380101 2702380101,8880 LANTANA RD,FL,33467
Circle K,ST CLOUD,2380104,02380104 2380104 #02380104 2702380104,2481 N NARCOOSEE,FL,34771
Circle K,NEWBERG,2439012,02439012 2439012 #02439012 2702439012,1500 PORTLAND ROAD,OR,97132
Circle K,MCMINNVILLE,2439014,02439014 2439014 #02439014 2702439014,1920 NE LAFAYETTE AVE,OR,97128
Circle K,MCMINNVILLE,2439015,02439015 2439015 #02439015 2702439015,1347 NE BAKER ST,OR,97128
Circle K,CENTRAL POINT,2443467,02443467 2443467 #02443467 2702443467,1065 E PINE ST,OR,97502
Circle K,CHICO,2444034,02444034 2444034 #02444034 2702444034,1105 PARK AVE,CA,95928
Circle K,BROOKINGS,2444136,02444136 2444136 #02444136 2702444136,1023 CHETCO AVE,OR,97415
Circle K,EUREKA,2444260,02444260 2444260 #02444260 2702444260,2480 6TH STREET,CA,95501
Circle K,APPLE VALLEY,2451216,02451216 2451216 #02451216 2702451216,20920 BEAR VALLEY RD,CA,92308
Circle K,MEDFORD,2452539,02452539 2452539 #02452539 2702452539,1050 S RIVERSIDE AVE,OR,97501
Circle K,REDDING,2452703,02452703 2452703 #02452703 2702452703,1015 HARTNELL,CA,96002
Circle K,PORT ORFORD,2452704,02452704 2452704 #02452704 2702452704,914 N OREGON,OR,97465
Circle K,KLAMATH FALLS,2452706,02452706 2452706 #02452706 2702452706,2123 OREGON AVE,OR,97601
Circle K,GRANTS PASS,2452708,02452708 2452708 #02452708 2702452708,836 NE A ST,OR,97526
Circle K,ELK GROVE,2602909,02602909 2602909 #02602909 2702602909,2323 LAGUNA BLVD.,CA,95758
Circle K,FOLSOM,2611170,02611170 2611170 #02611170 2702611170,1024 E BIDWELL ST,CA,95630
