keywords,city,Agg store_number,store_number,address,state,zip_code
Costco,Seattle,1,#1 #01 #001 #0001,4401 4th Avenue South,WA,98134-2389
Costco,Portland,2,#2 #02 #002 #0002,4849 NE 138th Ave,OR,97230-3401
Costco,Tukwila,6,#6 #06 #006 #0006,400 Costco Drive Suite 150,WA,98188-4808
Costco,Kirkland,8,#8 #08 #008 #0008,8629 120th Avenue NE,WA,98033-5865
Costco,Aloha,9,#9 #09 #009 #0009,15901 SW Jenkins Road,OR,97006-5098
Costco,Anchorage,10,#10 #010 #0010 #00010,330 West Dimond Blvd,AK,99515-1950
Costco,Silverdale,13,#13 #013 #0013 #00013,10000 Mickelberry Rd. NW,WA,98383-8302
Costco,Eugene,17,#17 #017 #0017 #00017,2828 Chad Drive,OR,97408-7337
Costco,Bellingham,19,#19 #019 #0019 #00019,4299 Guide Meridian Street,WA,98226-6475
Costco,Danville,21,#21 #021 #0021 #00021,3150 Fostoria Way,CA,94526-5553
Costco,Santa Maria,24,#24 #024 #0024 #00024,1335 South Bradley,CA,93454-8006
Costco,Reno,25,#25 #025 #0025 #00025,2200 Harvard Way,NV,89502-4000
Costco,Laguna Niguel,28,#28 #028 #0028 #00028,27972 Cabot Road,CA,92677-1211
Costco,Roseville,29,#29 #029 #0029 #00029,6750 Stanford Ranch Road,CA,95678-1907
Costco,Fresno,31,#31 #031 #0031 #00031,4500 W Shaw,CA,93722-6200
Costco,Stockton,38,#38 #038 #0038 #00038,1616 East Hammer Lane,CA,95210-4119
Costco,Santa Rosa,41,#41 #041 #0041 #00041,1900 Santa Rosa Avenue,CA,95407-7636
Costco,Canoga Park,44,#44 #044 #0044 #00044,21300 Roscoe Boulevard,CA,91304-4200
Costco,Van Nuys,48,#48 #048 #0048 #00048,6100 Sepulveda Boulevard,CA,91411-2503
Costco,Burnaby,51,#51 #051 #0051 #00051,3550 Brighton Avenue,BC,V5A 4W3
Costco,Richmond,54,#54 #054 #0054 #00054,9151 Bridgeport Road,BC,V6X 3L9
Costco,Surrey,55,#55 #055 #0055 #00055,7423 King George Highway,BC,V3W 5A8
