keywords,city,Aggdata Store Number,store_number,address,state,zip_code
dd’s DISCOUNTS,Vallejo,5000,#5000,"3355 Sonoma Blvd, Ste 10",CA,94590-2923
dd’s DISCOUNTS,San Leandro,5001,#5001,561 Floresta Blvd,CA,94578-4125
dd’s DISCOUNTS,Fresno,5002,#5002,5663 E Kings Canyon Rd,CA,93727-4641
dd’s DISCOUNTS,Sacramento,5005,#5005,3315 Northgate Blvd,CA,95834-1637
dd’s DISCOUNTS,Sacramento,5006,#5006,6100 Mack Rd. Suite 400,CA,95823-7073
dd’s DISCOUNTS,Oakland,5007,#5007,7200 Bancroft Ave.,CA,94605-2403
dd’s DISCOUNTS,Stockton,5011,#5011,1120 E Hammer Ln,CA,95210-3029
dd’s DISCOUNTS,Fresno,5012,#5012,1540 N. 1st St.,CA,93703-4023
dd’s DISCOUNTS,Fresno,5014,#5014,4040 N West Ave.,CA,93705-2024
dd’s DISCOUNTS,Modesto,5015,#5015,2051 Tully Rd.,CA,95350-2920
dd’s DISCOUNTS,North Highlands,5016,#5016,3611 Elkhorn Blvd,CA,95660-3730
dd’s DISCOUNTS,Chino,5017,#5017,"5537 Philadelphia St, Ste A",CA,91710-2481
dd’s DISCOUNTS,Corona,5018,#5018,714 N. Main St.,CA,92880-1439
dd’s DISCOUNTS,Moreno Valley,5019,#5019,12320 Perris Blvd,CA,92557-7423
dd’s DISCOUNTS,Lancaster,5021,#5021,2038 W Avenue J,CA,93536-5913
dd’s DISCOUNTS,Rialto,5022,#5022,210 West Baseline Rd,CA,92376-3306
dd’s DISCOUNTS,Victorville,5023,#5023,"14598 7th St, Ste A",CA,92395-4214
dd’s DISCOUNTS,Hayward,5024,#5024,24055 Hesperian Blvd,CA,94545-1522
dd’s DISCOUNTS,San Bernardino,5027,#5027,1617 E Highland Ave,CA,92404-4677
dd’s DISCOUNTS,Covina,5029,#5029,408 N. Azusa Ave.,CA,91722-3610
dd’s DISCOUNTS,San Fernando,5032,#5032,14701 Rinaldi St,CA,91340-4138
dd’s DISCOUNTS,Visalia,5034,#5034,3434 S Mooney Blvd,CA,93277-7772
dd’s DISCOUNTS,Sacramento,5038,#5038,5924 Stockton Blvd,CA,95824-3039
dd’s DISCOUNTS,Compton,5039,#5039,144 E Compton Blvd,CA,90220-2411
dd’s DISCOUNTS,Whittier,5043,#5043,13455 Telegraph Rd,CA,90605-3435
dd’s DISCOUNTS,West Covina,5047,#5047,"1200 W Francisquito Ave, Ste A",CA,91790-4722
dd’s DISCOUNTS,Pomona,5048,#5048,670 E Arrow Hwy,CA,91767-2245
dd’s DISCOUNTS,Hemet,5049,#5049,1711 W Florida Ave,CA,92545-3717
dd’s DISCOUNTS,San Jose,5050,#5050,1180 N Capitol Ave,CA,95132-2522
dd’s DISCOUNTS,San Jose,5052,#5052,1792 Southwest Expy,CA,95126-4143
dd’s DISCOUNTS,San Jose,5053,#5053,1322 Saratoga Ave,CA,95129-4336
dd’s DISCOUNTS,Sunnyvale,5054,#5054,580 E El Camino Real,CA,94087-1940
dd’s DISCOUNTS,Glendale,5056,#5056,5802 W Olive Ave,AZ,85302-3100
dd’s DISCOUNTS,Dallas,5058,#5058,9779 Forest Ln,TX,75243-5701
dd’s DISCOUNTS,Dallas,5059,#5059,2515 W Jefferson Blvd,TX,75211-2629
dd’s DISCOUNTS,Arlington,5060,#5060,1050 W Arkansas Ln,TX,76013-6308
dd’s DISCOUNTS,Garland,5061,#5061,822 E Centerville Rd,TX,75041-3619
dd’s DISCOUNTS,Dallas,5062,#5062,10020 Marsh Lane,TX,75229-6083
dd’s DISCOUNTS,Orlando,5065,#5065,5524 W Colonial Dr.,FL,32808-7612
dd’s DISCOUNTS,Kissimmee,5066,#5066,1012 Buenaventura Blvd,FL,34743-7865
dd’s DISCOUNTS,Tampa,5069,#5069,2233 E Hillsborough Ave,FL,33610-4402
dd’s DISCOUNTS,Port Saint Lucie,5071,#5071,10101 S US Highway 1,FL,34952-5608
dd’s DISCOUNTS,Miami,5072,#5072,"21401 NW 2nd Avenue, Suite B",FL,33169-2114
dd’s DISCOUNTS,Tamarac,5073,#5073,7104 N University Dr,FL,33321-2916
dd’s DISCOUNTS,Bakersfield,5074,#5074,2693 Mount Vernon Ave,CA,93306-2921
dd’s DISCOUNTS,Hayward,5075,#5075,1163 W Tennyson Rd,CA,94544-4221
dd’s DISCOUNTS,Carson,5076,#5076,"481 E Albertoni St, Ste A",CA,90746-1430
dd’s DISCOUNTS,Norwalk,5081,#5081,11701 Rosencrans Ave,CA,90650-3927
dd’s DISCOUNTS,Dallas,5082,#5082,3200 S. Lancaster Road Suite 900,TX,75216-8806
dd’s DISCOUNTS,Gardena,5083,#5083,2405 W. Rosecrans Avenue,CA,90249-2828
dd’s DISCOUNTS,South Gate,5095,#5095,"3848 Tweedy Blvd, Ste A",CA,90280-6188
dd’s DISCOUNTS,Dallas,5098,#5098,3322 N Buckner Road,TX,75228-5604
dd’s DISCOUNTS,Dallas,5099,#5099,10325 Lake June Road Ste 200,TX,75217-5315
dd’s DISCOUNTS,Brownsville,5100,#5100,2921 Boca Chica Blvd.,TX,78521-3574
dd’s DISCOUNTS,Inglewood,5101,#5101,2616 W Imperial Hwy,CA,90303-3137
dd’s DISCOUNTS,Riverside,5104,#5104,5700 Van Buren Blvd,CA,92503-2087
dd’s DISCOUNTS,Fort Lauderdale,5108,#5108,1939 NW 9th Avenue,FL,33311-4001
dd’s DISCOUNTS,Las Vegas,5109,#5109,"931 West Owens Ave., Suite 110",NV,89106-5411
dd’s DISCOUNTS,Las Vegas,5111,#5111,4730 East Flamingo Road,NV,89121-4709
dd’s DISCOUNTS,McAllen,5112,#5112,901 South 10th St. Suite 320,TX,78501-5066
dd’s DISCOUNTS,Irving,5113,#5113,1421 North Belt Line Road Ste A,TX,75061-1501
dd’s DISCOUNTS,Riviera Beach,5115,#5115,3504 Broadway,FL,33404-2332
dd’s DISCOUNTS,Phoenix,5116,#5116,7333 W. Thomas Rd. Suite 30,AZ,85033-5550
dd’s DISCOUNTS,San Bernardino,5118,#5118,781 W. 2nd St. Ste B,CA,92410-3246
dd’s DISCOUNTS,Ft. Myers,5120,#5120,3253 Cleveland Avenue,FL,33901-7102
dd’s DISCOUNTS,Fort Lauderdale,5121,#5121,3841 West Broward Blvd.,FL,33312-1017
dd’s DISCOUNTS,Jonesboro,5124,#5124,399 Upper Riverdale Road Suite C15A,GA,30236-1006
dd’s DISCOUNTS,Atlanta,5125,#5125,3293 Buford Highway NE Suite 500,GA,30329-3739
dd’s DISCOUNTS,Grand Prairie,5126,#5126,2500 S. Carrier Parkway Suite A,TX,75052-5016
dd’s DISCOUNTS,San Antonio,5127,#5127,1739 SW Loop 410 Suite 702,TX,78227-1669
dd’s DISCOUNTS,San Antonio,5129,#5129,238 S.W. Military Drive,TX,78221-1657
dd’s DISCOUNTS,Kissimmee,5130,#5130,1526 West Vine Street,FL,34741-4002
dd’s DISCOUNTS,Escondido,5132,#5132,405 N. Escondido Blvd.,CA,92025-2625
dd’s DISCOUNTS,Phoenix,5134,#5134,4035 N. 33rd Avenue Suite 35,AZ,85017-4511
dd’s DISCOUNTS,Anaheim,5135,#5135,1226 South Magnolia Avenue,CA,92804-5116
dd’s DISCOUNTS,Visalia,5136,#5136,1925 N. Dinuba Blvd.,CA,93291-3011
dd’s DISCOUNTS,Yuma,5137,#5137,2704 W. 16th Street,AZ,85364-4228
dd’s DISCOUNTS,Atlanta,5140,#5140,1320 Moreland Avenue SE,GA,30316-3224
dd’s DISCOUNTS,Inglewood,5141,#5141,230 N. Market Street,CA,90301-1217
dd’s DISCOUNTS,Palmdale,5142,#5142,266 E. Palmdale Blvd,CA,93550-4515
dd’s DISCOUNTS,Anaheim,5143,#5143,1660 W. Katella Avenue,CA,92802-3015
dd’s DISCOUNTS,Chula Vista,5144,#5144,1325 3rd Avenue,CA,91911-4302
dd’s DISCOUNTS,San Diego,5145,#5145,3522 National Avenue,CA,92113-3114
dd’s DISCOUNTS,Madera,5146,#5146,1311 Country Club Drive,CA,93638-1547
dd’s DISCOUNTS,Ft. Worth,5149,#5149,"7440 McCart Avenue, Suite 250",TX,76133
dd’s DISCOUNTS,District Heights,5153,#5153,5560 Silver Hill Road,MD,20747
dd’s DISCOUNTS,Miami,5155,#5155,20821 S. Dixie Highway,FL,33189-2217
dd’s DISCOUNTS,Pensacola,5156,#5156,3300 N. Pace Blvd.,FL,32505-9100
dd’s DISCOUNTS,Marietta,5157,#5157,"1901 Terrell Mill Road, Suite 400",GA,30067-8397
dd’s DISCOUNTS,Salinas,5158,#5158,949 N. Main Street,CA,93906-3912
dd’s DISCOUNTS,Miami,5159,#5159,559 NE 81st Street Suite 559,FL,33138-4519
dd’s DISCOUNTS,Houston,5160,#5160,11104 Fondren Road,TX,77096-5506
dd’s DISCOUNTS,Houston,5161,#5161,10862 Beechnut Street,TX,77072-4459
dd’s DISCOUNTS,San Marcos,5163,#5163,121 S. Rancho Santa Fe Road,CA,92078-2501
dd’s DISCOUNTS,Houston,5164,#5164,435 Uvalde Road,TX,77015-3717
dd’s DISCOUNTS,Victorville,5167,#5167,12220 Hesperia Road,CA,92395-5823
dd’s DISCOUNTS,Houston,5168,#5168,10902 North Freeway,TX,77037-1108
dd’s DISCOUNTS,Houston,5169,#5169,8077 Antoine Drive,TX,77088-4301
dd’s DISCOUNTS,Memphis,5171,#5171,3278 Austin Peay Highway,TN,38128-6502
dd’s DISCOUNTS,Jacksonville,5172,#5172,9822 Atlantic Blvd.,FL,32225-6536
dd’s DISCOUNTS,Pico Rivera,5175,#5175,6101 Rosemead Blvd.,CA,90660-3223
dd’s DISCOUNTS,Jacksonville,5177,#5177,6310 103rd Street,FL,32210-7735
dd’s DISCOUNTS,Oxnard,5180,#5180,2425 Saviers Road,CA,93033-4526
dd’s DISCOUNTS,Ontario,5182,#5182,606 W. Holt Blvd.,CA,91762-3714
dd’s DISCOUNTS,Orlando,5183,#5183,10537 E. Colonial Drive,FL,32817-4427
dd’s DISCOUNTS,Macon,5184,#5184,"3555 Mercer  University Drive, Suite 150.5",GA,31204-4940
dd’s DISCOUNTS,El Monte,5185,#5185,12030 Valley Boulevard,CA,91732-3104
dd’s DISCOUNTS,Douglas,5186,#5186,204 W. 5th Street,AZ,85607-2850
dd’s DISCOUNTS,Nogales,5189,#5189,351  W. Mariposa Road. Ste 2,AZ,85621-1024
dd’s DISCOUNTS,Bradenton,5191,#5191,"3611 1st Street East, Suite 400",FL,34208-4446
dd’s DISCOUNTS,Tucson,5195,#5195,3781 S. 12th Avenue,AZ,85713-6003
dd’s DISCOUNTS,Miami,5197,#5197,7900 NW 27th Avenue,FL,33147
dd’s DISCOUNTS,Memphis,5201,#5201,3899 Park Avenue,TN,38111-6634
dd’s DISCOUNTS,El Paso,5202,#5202,"700 N. Zaragoza Road, Suite C",TX,79907-4735
dd’s DISCOUNTS,El Centro,5203,#5203,528 E. Danenberg Drive,CA,92243-8510
dd’s DISCOUNTS,Corpus Christi,5204,#5204,"4977 Ayers Road, Suite C",TX,78415-1429
dd’s DISCOUNTS,Albuquerque,5206,#5206,"3211 Coors Blvd. SW, Suite A5",NM,87121-5254
dd’s DISCOUNTS,Woodlawn,5207,#5207,6646 Security Blvd.,MD,21207-4010
dd’s DISCOUNTS,Houston,5209,#5209,222 Almeda Mall,TX,77075-3504
dd’s DISCOUNTS,Mesa,5210,#5210,1036 E. Southern Avenue Suite 114,AZ,85204-5010
dd’s DISCOUNTS,Orlando,5212,#5212,5788 N. Orange Blossom Trail,FL,32810-1023
dd’s DISCOUNTS,Decatur,5214,#5214,1970 Candler Road,GA,30032-4225
dd’s DISCOUNTS,Houston,5215,#5215,13128 Veterans Memorial Drive,TX,77014-1904
dd’s DISCOUNTS,San Diego,5216,#5216,1755 Euclid Ave #103,CA,92105-5414
dd’s DISCOUNTS,Orlando,5219,#5219,7687 S. Orange Blossom Trail,FL,32809-6903
dd’s DISCOUNTS,Atlanta,5221,#5221,590 Cascade Avenue,GA,30310-2467
dd’s DISCOUNTS,North Arlington,5223,#5223,1301 North Collins Street,TX,76011-5000
dd’s DISCOUNTS,Orlando,5224,#5224,"5295 International Drive, Suite 700",FL,32819-9405
dd’s DISCOUNTS,North Charleston,5225,#5225,"5900 Rivers Avenue, Unit B",SC,29406-6054
dd’s DISCOUNTS,Richmond,5233,#5233,3700 Klose Way,CA,94806-5708
dd’s DISCOUNTS,Hawthorne,5236,#5236,13141 Hawthorne Blvd.,CA,90250-5708
