keywords,city,Agg store_number,store_number,address,state,zip_code
Denny's,LAS VEGAS,2,2 #2,1826 S LAS VEGAS BLVD,NV,89104
Denny's,PASADENA,75,75 #75,2627 E COLORADO BLVD,CA,91107
Denny's,BAKERSFIELD,103,103 #103,2851 WHITE LANE,CA,93304
Denny's,NOGALES,116,116 #116,683 NORTH GRAND AVE,AZ,85621
Denny's,BALDWIN PARK,145,145 #145,14550 BALDWIN PK TOWNE CENTER,CA,91706
Denny's,LOS ANGELES,149,149 #149,635 S. VERMONT AVE.,CA,90005
Denny's,NO HOLLYWOOD,164,164 #164,11377 BURBANK BLVD.,CA,91601
Denny's,SYLMAR,166,166 #166,12861 ENCINITAS AVE,CA,91342
Denny's,CAMARILLO,168,168 #168,1659 E DAILEY DR,CA,93010
Denny's,SAN JOSE,170,170 #170,2401 LANAI AVE,CA,95122
Denny's,VAN NUYS,205,205 #205,15540 ROSCOE BOULEVA,CA,91406
Denny's,MIAMI,219,219 #219,3600 BISCAYNE BLVD,FL,33137
Denny's,FT. LAUDERDALE,252,252 #252,5000 N.FEDERAL HWY,FL,33308
Denny's,LAREDO,260,260 #260,3600 SANTA URSULA,TX,78041
Denny's,EMERYVILLE,276,276 #276,1776 POWELL STREET,CA,94608
Denny's,OAKLAND,296,296 #296,601 HEGENBERGER,CA,94621
Denny's,TORRANCE,305,305 #305,21270 HAWTHORNE BLVD,CA,90503
Denny's,DALY CITY,321,321 #321,#2 SERRA MONTE,CA,94015
Denny's,GILROY,392,392 #392,8425 SAN YSIDRO AVE,CA,95020
Denny's,CARBONDALE,408,408 #408,1915 W SYCAMORE,IL,62901
Denny's,CORTE MADERA,440,440 #440,5839 PARADISE DR,CA,94925
Denny's,MONTEBELLO,449,449 #449,2727 VIA CAMPO,CA,90640
Denny's,FREMONT,459,459 #459,5280 MOWRY AVE,CA,94538
Denny's,HOLLYWOOD,485,485 #485,2800 N. 28TH TERRACE,FL,33020
Denny's,PITTSBURGH,604,604 #604,271 CLAIRTON BLVD,PA,15236
Denny's,ORLANDO,653,653 #653,5825 INTERNATIONAL,FL,32819
Denny's,OAK LAWN,663,663 #663,9217 S. CICERO AVE,IL,60453
Denny's,AUSTIN,686,686 #686,7100 NORTH I-35,TX,78752
Denny's,HOUSTON,691,691 #691,11320 NORTH FREEWAY,TX,77037
Denny's,ALBANY,714,714 #714,114 WOLF ROAD,NY,12205
Denny's,BELLEVILLE,719,719 #719,1130 S.ILLINOIS ST.,IL,62220
Denny's,BATTLE CREEK,720,720 #720,4785 BECKLEY ROAD,MI,49015
Denny's,HOUSTON,818,818 #818,9810 GULF FREEWAY,TX,77034
Denny's,SAN DIEGO,891,891 #891,2420 CORONADO AVE,CA,92154
Denny's,PHOENIX,893,893 #893,5002 NORTH SEVENTH ST,AZ,85014
Denny's,BLOOMINGTON,898,898 #898,701 ELDORADO RD,IL,61704
Denny's,AUSTIN,1008,1008 #1008,2320 S INTERREGIONAL,TX,78704
Denny's,MCALLEN,1012,1012 #1012,1110 SO 10TH ST,TX,78501
Denny's,SCOTTSDALE,1023,1023 #1023,3315 N SCOTTSDALE,AZ,85251
Denny's,MARGATE,1039,1039 #1039,650 N. STATE ROAD #7,FL,33063
Denny's,FT WORTH,1047,1047 #1047,4400 SOUTH FREEWAY,TX,76115
Denny's,ANTIOCH,1059,1059 #1059,2006 SOMERSVILLE RD,CA,94509
Denny's,HIALEAH,1063,1063 #1063,1000 W 49TH ST,FL,33012
Denny's,SAN JOSE,1065,1065 #1065,2484 BERRYESSA RD,CA,95133
Denny's,ANNAPOLIS,1093,1093 #1093,2095 WEST ST,MD,21401
Denny's,MIAMI,1106,1106 #1106,19313 SO DIXIE HGWY,FL,33157
Denny's,ALTOONA,1112,1112 #1112,220 PARK HILLS PLZ,PA,16602
