keywords,city,Agg store_number,store_number,address,state,zip_code
Dollar Tree,Chesapeake,3,3 000003X 00003X 0003X 003X 03X,"1320 Greenbrier Pkwy, Suite 320",VA,23320
Dollar Tree,Charleston,6,6 000006X 00006X 0006X 006X 06X,"5707 MacCorkle Ave, Ste 30 .",WV,25304
Dollar Tree,Elizabethtown,9,9 000009X 00009X 0009X 009X 09X,1705 North Dixie Avenue,KY,42701
Dollar Tree,Anderson,10,10 0000010X 000010X 00010X 0010X 010X,"170 Station Drive, Space 3",SC,29621
Dollar Tree,Oakwood,13,13 0000013X 000013X 00013X 0013X 013X,"3715 Mundy Mill Rd, Suite D",GA,30566
Dollar Tree,Heath,15,15 0000015X 000015X 00015X 0015X 015X,617 Hebron Road,OH,43056
Dollar Tree,Lancaster,16,16 0000016X 000016X 00016X 0016X 016X,1414 River Valley Blvd.,OH,43130
Dollar Tree,Harrisonburg,17,17 0000017X 000017X 00017X 0017X 017X,"1663 East Market St., .",VA,22801
Dollar Tree,Roanoke,18,18 0000018X 000018X 00018X 0018X 018X,2053 Colonial Avenue,VA,24015
Dollar Tree,Athens,20,20 0000020X 000020X 00020X 0020X 020X,3565 Atlanta Highway,GA,30606
Dollar Tree,Chambersburg,22,22 0000022X 000022X 00022X 0022X 022X,971 Wayne Ave.,PA,17201
Dollar Tree,Washington,23,23 0000023X 000023X 00023X 0023X 023X,341 Washington Rd,PA,15301
Dollar Tree,Duncansville,24,24 0000024X 000024X 00024X 0024X 024X,211 Glimcher Drive,PA,16635
Dollar Tree,Johnstown,26,26 0000026X 000026X 00026X 0026X 026X,"500 Galleria Drive, Suite 114 .",PA,15904
Dollar Tree,Williamsport,27,27 0000027X 000027X 00027X 0027X 027X,1923 East Third Street,PA,17701
Dollar Tree,Richmond,28,28 0000028X 000028X 00028X 0028X 028X,829 Eastern Byp,KY,40475
Dollar Tree,Cranberry,29,29 0000029X 000029X 00029X 0029X 029X,"17 Kimberly Lane, Ste 5",PA,16319
Dollar Tree,Concord,33,33 0000033X 000033X 00033X 0033X 033X,8074 Concord Mills Blvd.,NC,28027
Dollar Tree,Salisbury,35,35 0000035X 000035X 00035X 0035X 035X,"1935 West Jake Alexander, Blvd Suite #C-10",NC,28147
Dollar Tree,Marion,38,38 0000038X 000038X 00038X 0038X 038X,248 McMahan Blvd,OH,43302
Dollar Tree,Mansfield,39,39 0000039X 000039X 00039X 0039X 039X,"349 N Lexington, Springmill Rd",OH,44906
Dollar Tree,Bluefield,41,41 0000041X 000041X 00041X 0041X 041X,702 Mercer Mall,WV,24701
Dollar Tree,Westminster,43,43 0000043X 000043X 00043X 0043X 043X,6 Westminster S/C,MD,21157
Dollar Tree,Hermitage,47,47 0000047X 000047X 00047X 0047X 047X,1950 East State St.,PA,16148
Dollar Tree,Bowling Green,49,49 0000049X 000049X 00049X 0049X 049X,"600 US 31W Byp, Ste 18C .",KY,42101
Dollar Tree,Valdosta,51,51 0000051X 000051X 00051X 0051X 051X,1801 Norman Drive,GA,31601
Dollar Tree,Morgantown,54,54 0000054X 000054X 00054X 0054X 054X,"4001 University Town, Centre Dr .",WV,26501
Dollar Tree,Baltimore,55,55 0000055X 000055X 00055X 0055X 055X,7715 Eastpoint Mall,MD,21224
Dollar Tree,Barboursville,59,59 0000059X 000059X 00059X 0059X 059X,2014 Thundering Herd Dr,WV,25504
Dollar Tree,Defiance,60,60 0000060X 000060X 00060X 0060X 060X,"1500 N Clinton St, #54",OH,43512
Dollar Tree,Asheville,62,62 0000062X 000062X 00062X 0062X 062X,"4 South Tunnel Rd, Suite 13 .",NC,28805
Dollar Tree,Colonial Heights,63,63 0000063X 000063X 00063X 0063X 063X,830 Southpark Blvd.,VA,23834
Dollar Tree,Kinston,66,66 0000066X 000066X 00066X 0066X 066X,4151 West Vernon Ave,NC,28504
Dollar Tree,Hickory,69,69 0000069X 000069X 00069X 0069X 069X,2120 Highway 70 SE.,NC,28602
Dollar Tree,Bowling Green,72,72 0000072X 000072X 00072X 0072X 072X,"1040 N Main St., #3",OH,43402
Dollar Tree,Milledgeville,77,77 0000077X 000077X 00077X 0077X 077X,2600 N. Columbia Street,GA,31061
Dollar Tree,Sidney,78,78 0000078X 000078X 00078X 0078X 078X,2250 Michigan Avenue.,OH,45365
Dollar Tree,Warren,79,79 0000079X 000079X 00079X 0079X 079X,5590 12 Mile Road.,MI,48092
Dollar Tree,Clinton Township,80,80 0000080X 000080X 00080X 0080X 080X,33818 Gratiot Ave.,MI,48035
Dollar Tree,New Bern,85,85 0000085X 000085X 00085X 0085X 085X,3338 M L King Jr Blvd.,NC,28562
Dollar Tree,Florence,88,88 0000088X 000088X 00088X 0088X 088X,378 Cox Creek Parkway,AL,35630
Dollar Tree,Asheville,90,90 0000090X 000090X 00090X 0090X 090X,"800 Brevard Road, Space 732",NC,28806
Dollar Tree,Chesapeake,91,91 0000091X 000091X 00091X 0091X 091X,1973 S. Military Hwy,VA,23320
Dollar Tree,Chesapeake,95,95 0000095X 000095X 00095X 0095X 095X,"4300 Portsmouth Blvd, Suite 170",VA,23321
Dollar Tree,Albany,96,96 0000096X 000096X 00096X 0096X 096X,2619 Dawson Rd,GA,31707
Dollar Tree,Owensboro,97,97 0000097X 000097X 00097X 0097X 097X,"3500 Villa Point Dr, Suite 111",KY,42303
Dollar Tree,Cleveland,102,102 00000102X 0000102X 000102X 00102X 0102X,17442 Lorain Avenue,OH,44111
Dollar Tree,Virginia Beach,103,103 00000103X 0000103X 000103X 00103X 0103X,2720 North Mall Dr #208,VA,23452
Dollar Tree,Leesburg,104,104 00000104X 0000104X 000104X 00104X 0104X,"10401 US Hwy 441, #206",FL,34788
Dollar Tree,Murrells Inlet,105,105 00000105X 0000105X 000105X 00105X 0105X,1256 Tadlock Drive,SC,29576
Dollar Tree,Tupelo,106,106 00000106X 0000106X 000106X 00106X 0106X,"2240 Rabbit Dr, Ste 900",MS,38801
Dollar Tree,Augusta,108,108 00000108X 0000108X 000108X 00108X 0108X,1329 Augusta Parkway W,GA,30909
Dollar Tree,Adrian,109,109 00000109X 0000109X 000109X 00109X 0109X,1441 E US Hwy 223,MI,49221
Dollar Tree,Huntsville,110,110 00000110X 0000110X 000110X 00110X 0110X,"5000 Whitesburg Dr., Ste 100",AL,35802
Dollar Tree,Columbus,111,111 00000111X 0000111X 000111X 00111X 0111X,"1404 Old Aberdeen Rd, Space 35C",MS,39705
Dollar Tree,Jasper,112,112 00000112X 0000112X 000112X 00112X 0112X,"1705 Highway 78 East, Ste 800",AL,35501
Dollar Tree,Montgomery,114,114 00000114X 0000114X 000114X 00114X 0114X,"6549 Atlanta Hwy., ..",AL,36117
Dollar Tree,Madisonville,117,117 00000117X 0000117X 000117X 00117X 0117X,"401 Madison Square Drive, Suites 36 & 38",KY,42431
Dollar Tree,Middlesboro,118,118 00000118X 0000118X 000118X 00118X 0118X,"905 North 12th Street, Ste 31",KY,40965
Dollar Tree,Findlay,119,119 00000119X 0000119X 000119X 00119X 0119X,2250 Tiffin Avenue,OH,45840
Dollar Tree,Kalamazoo,120,120 00000120X 0000120X 000120X 00120X 0120X,5280 W Main St.,MI,49009
Dollar Tree,Clarksville,121,121 00000121X 0000121X 000121X 00121X 0121X,"1140 Lewis & Clark Pkwy, 1",IN,47129
Dollar Tree,Fort Gratiot,122,122 00000122X 0000122X 000122X 00122X 0122X,4173 24th Ave,MI,48059
Dollar Tree,Roanoke Rapids,123,123 00000123X 0000123X 000123X 00123X 0123X,271 Premier Blvd,NC,27870
Dollar Tree,Virginia Beach,124,124 00000124X 0000124X 000124X 00124X 0124X,1385 Fordham Dr. #113,VA,23464
Dollar Tree,Ocala,125,125 00000125X 0000125X 000125X 00125X 0125X,2701 SW College Rd #308,FL,34474
Dollar Tree,Raleigh,126,126 00000126X 0000126X 000126X 00126X 0126X,"6421 Triangle Plantation, Dr, Ste 100",NC,27616
Dollar Tree,Newport News,127,127 00000127X 0000127X 000127X 00127X 0127X,"455 Oriana Road, .",VA,23608
Dollar Tree,Virginia Beach,128,128 00000128X 0000128X 000128X 00128X 0128X,"1952 Laskin Rd, Suite 512",VA,23454
Dollar Tree,Washington,129,129 00000129X 0000129X 000129X 00129X 0129X,"604 West 15th Street, .",NC,27889
Dollar Tree,Hampton,130,130 00000130X 0000130X 000130X 00130X 0130X,72 Coliseum Crossing,VA,23666
Dollar Tree,Hanover,131,131 00000131X 0000131X 000131X 00131X 0131X,428 Eisenhower Drive,PA,17331
Dollar Tree,Lynchburg,133,133 00000133X 0000133X 000133X 00133X 0133X,"2323 Memorial Avenue, Suite 4",VA,24501
Dollar Tree,Gainesville,135,135 00000135X 0000135X 000135X 00135X 0135X,1034 NW 76th Boulevard,FL,32606
Dollar Tree,Uniontown,136,136 00000136X 0000136X 000136X 00136X 0136X,"609 Pittsburgh Road, Ste.# 3",PA,15401
Dollar Tree,Richmond,137,137 00000137X 0000137X 000137X 00137X 0137X,2430 Sheila Lane,VA,23225
Dollar Tree,Gastonia,138,138 00000138X 0000138X 000138X 00138X 0138X,2932 East Franklin Blvd,NC,28056
Dollar Tree,Pittsburgh,142,142 00000142X 0000142X 000142X 00142X 0142X,1759 S Braddock Ave.,PA,15218
Dollar Tree,Orlando,143,143 00000143X 0000143X 000143X 00143X 0143X,"1431 Sand Lake Rd, Ste 140",FL,32809
Dollar Tree,Raleigh,145,145 00000145X 0000145X 000145X 00145X 0145X,6234 Glenwood Avenue,NC,27612
Dollar Tree,Lynchburg,146,146 00000146X 0000146X 000146X 00146X 0146X,"3700 Candlers Mountain, Road #27",VA,24502
Dollar Tree,Mechanicsville,147,147 00000147X 0000147X 000147X 00147X 0147X,"7390 Bell Creek Road, Ste 308A",VA,23111
Dollar Tree,Bay City,148,148 00000148X 0000148X 000148X 00148X 0148X,2624 Center Avenue,MI,48708
Dollar Tree,Cleveland,150,150 00000150X 0000150X 000150X 00150X 0150X,115 Stuart Rd,TN,37312
Dollar Tree,Oak Ridge,151,151 00000151X 0000151X 000151X 00151X 0151X,308 S Illinois Ave,TN,37830
Dollar Tree,Charlottesville,152,152 00000152X 0000152X 000152X 00152X 0152X,2020 Rio Hill Center,VA,22901
Dollar Tree,Montgomery,153,153 00000153X 0000153X 000153X 00153X 0153X,2640 Eastern Blvd.,AL,36117
Dollar Tree,Muscle Shoals,154,154 00000154X 0000154X 000154X 00154X 0154X,1312 Woodward Ave,AL,35661
Dollar Tree,Wilmington,155,155 00000155X 0000155X 000155X 00155X 0155X,341 South College Rd,NC,28403
Dollar Tree,Glen Allen,156,156 00000156X 0000156X 000156X 00156X 0156X,9870 West Broad Street,VA,23060
Dollar Tree,Hixson,158,158 00000158X 0000158X 000158X 00158X 0158X,"5450 Highway 153, Suite A4",TN,37343
Dollar Tree,Homewood,160,160 00000160X 0000160X 000160X 00160X 0160X,222 Green Springs Hwy.,AL,35209
Dollar Tree,Columbus,161,161 00000161X 0000161X 000161X 00161X 0161X,3180 Columbus Center,IN,47203
Dollar Tree,Martinsburg,163,163 00000163X 0000163X 000163X 00163X 0163X,"245 Retail Commons Pkwy, Ste C4 .",WV,25403
Dollar Tree,Holland,164,164 00000164X 0000164X 000164X 00164X 0164X,1540 Spring Meadows Dr,OH,43528
