keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Dress Barn,Mcallen,3,3 03 #3,7600 North 10Th Street,TX,78504
Dress Barn,Virginia Beach,4,4 04 #4,1169 Nimmo Parkway,VA,23456
Dress Barn,Las Vegas,6,6 06 #6,755 S Grand Central Parkway,NV,89106
Dress Barn,Jonesboro,11,11 011 #11,3000 East Highland Drive,AR,72401
Dress Barn,Harahan,12,12 012 #12,1200 S. Clearview  Parkway,LA,70123
Dress Barn,Scarsdale,14,14 014 #14,777 White Plains Road,NY,10583
Dress Barn,Seaside,19,19 019 #19,1111 North Roosevelt Dr,OR,97138
Dress Barn,Barboursville,20,20 020 #20,2068 Thunderingherd Drive,WV,25504
Dress Barn,Gilroy,21,21 021 #21,681 Leavesley Road,CA,95020
Dress Barn,Kokomo,23,23 023 #23,2152 East Blvd,IN,46902
Dress Barn,Visalia,24,24 024 #24,2116 South Mooney Blvd,CA,93277
Dress Barn,Greenburgh,25,25 025 #25,389 Tarrytown Road,NY,10607
Dress Barn,Indianapolis,27,27 027 #27,2670 Lake Circle Drive,IN,46268
Dress Barn,Medina,28,28 028 #28,1163 N. Court Street,OH,44256
Dress Barn,West Fargo,30,30 030 #30,1500 East 13Th Ave,ND,58078
Dress Barn,Shreveport,31,31 031 #31,7044 Youree Drive,LA,71105
Dress Barn,Valley Stream,34,34 034 #34,300 West Sunrise Highway,NY,11580
Dress Barn,Conway,35,35 035 #35,763 Elsinger Blvd,AR,72032
Dress Barn,St. Joseph,39,39 039 #39,5201 N. Belt Highway,MO,64506
Dress Barn,Story City,40,40 040 #40,324 Factory Outlet Drive 1,IA,50248
Dress Barn,Grove City,51,51 051 #51,1911 Leesburg/Grove City Road,PA,16127
Dress Barn,Huntley,52,52 052 #52,11800 Freeman Road,IL,60142
Dress Barn,Olathe,54,54 054 #54,14665 West 119Th Street,KS,66062
Dress Barn,Boise,55,55 055 #55,331 North Milwaukee Street,ID,83704
Dress Barn,Monroe,57,57 057 #57,3019 West Highway 74,NC,28110
Dress Barn,Houston,58,58 058 #58,6531 State Highway 6 North,TX,77084
Dress Barn,Las Vegas,59,59 059 #59,7971 West Tropical Parkway,NV,89149
Dress Barn,Poughkeepsie,60,60 060 #60,2536 South Road,NY,12601
Dress Barn,Spanish Fort,61,61 061 #61,10200 Eastern Shore Blvd.,AL,36527
Dress Barn,Rossford,62,62 062 #62,9874 Olde U.S. 20,OH,43460
Dress Barn,Louisville,65,65 065 #65,4131 Towne Center Drive,KY,40241
Dress Barn,Ankeny,67,67 067 #67,1719 S.E. Delaware Ave,IA,50021
Dress Barn,Florida City,69,69 069 #69,250 East Palm Drive,FL,33034
Dress Barn,Arlington,72,72 072 #72,1102 A West Arbrook Boulevard,TX,76015
Dress Barn,Falls Church,73,73 073 #73,6308 Seven Corners Center,VA,22044
Dress Barn,Wichita,75,75 075 #75,2441 N. Maize Road,KS,67205
Dress Barn,Huntsville,76,76 076 #76,2750 Carl T Jones Drive Se,AL,35802
Dress Barn,Reynoldsburg,78,78 078 #78,2927 Taylor Road S.W.,OH,43068
Dress Barn,Hershey,80,80 080 #80,87 Outlet Square,PA,17033
Dress Barn,Rochester,82,82 082 #82,1601 Penfield Road,NY,14625
Dress Barn,New Hartford,83,83 083 #83,4785 Commerical Drive,NY,13413
Dress Barn,Sheybogan Falls,84,84 084 #84,4061 State Highway,WI,53085
Dress Barn,Glendale,86,86 086 #86,9420 West Northern Ave.,AZ,85305
Dress Barn,Blaine,88,88 088 #88,4255 Pheasant Ridge Drive,MN,55449
Dress Barn,Woodbridge,90,90 090 #90,2700 Potomac Mills Circle,VA,22192
Dress Barn,Mt Prospect,91,91 091 #91,1121 Mt Prospect Plaza,IL,60056
Dress Barn,Vestal,92,92 092 #92,2317 Vestal Parkway East,NY,13850
Dress Barn,Bakersfield,93,93 093 #93,9210 Rosedale Highway,CA,93312
Dress Barn,Green Bay,94,94 094 #94,303 Bay Park Plaza,WI,54304
Dress Barn,Metairie,96,96 096 #96,8855 Veterans Memorial Boulevard,LA,70003
Dress Barn,Warren,100,100 0100 #100,26417 Hoover Road,MI,48089
Dress Barn,Farmington,102,102 0102 #102,33025 Grand River,MI,48336
Dress Barn,Avon,104,104 0104 #104,10349 East Us Highway 36,IN,46123
Dress Barn,Perryville,106,106 0106 #106,68 Heather Lane,MD,21903
Dress Barn,Auburn,109,109 0109 #109,1101 Supermall Way,WA,98001
Dress Barn,Glen Allen,110,110 0110 #110,9920 Brook Road,VA,23059
Dress Barn,Elk Grove,111,111 0111 #111,9630 Bruceville Road,CA,95757
Dress Barn,Shawnee,114,114 0114 #114,15420 Shawnee Mission Parkway,KS,66217
Dress Barn,Aurora,115,115 0115 #115,1650 Premium Outlets Blvd,IL,60502
Dress Barn,Winston Salem,116,116 0116 #116,2101 Peters Creek Parkway,NC,27127
Dress Barn,Davenport,117,117 0117 #117,4018 E. 53Rd Street,IA,52807
Dress Barn,Asheville,119,119 0119 #119,800 Fairview Road,NC,28803
Dress Barn,Mesa,120,120 0120 #120,2055 S Power Rd,AZ,85209
Dress Barn,Hagerstown,121,121 0121 #121,435 Premium Outlets Blvd,MD,21740
Dress Barn,Tarentum,124,124 0124 #124,Pittsburgh Mills Circle,PA,15084
Dress Barn,Covingtonn,126,126 0126 #126,69328 Highway 21,LA,70433
Dress Barn,San Bruno,128,128 0128 #128,1150 El Camino Real,CA,94066
Dress Barn,Lawrenceville,129,129 0129 #129,5900 Sugarloaf Parkway,GA,30043
Dress Barn,Omaha,130,130 0130 #130,3109 Oak View Plaza,NE,68144
Dress Barn,Philadelphia,131,131 0131 #131,9161 Roosevelt Blvd,PA,19114
Dress Barn,Medford,132,132 0132 #132,6750 West Frontage Road,MN,55049
Dress Barn,Selma,133,133 0133 #133,8246 Agora Parkway,TX,78154
Dress Barn,Bala Cynwyd,134,134 0134 #134,71 East City Line Avenue,PA,19004
Dress Barn,Whitestone,135,135 0135 #135,153-45 Cross Island Parkway,NY,11357
Dress Barn,Peoria,137,137 0137 #137,5201 War Memorial Drive,IL,61615
Dress Barn,Robinsonville,139,139 0139 #139,13118 U.S. Highway 61 North,MS,38664
Dress Barn,Flowood,140,140 0140 #140,136 Promenade Blvd.,MS,39232
Dress Barn,Greenville,141,141 0141 #141,3040 Evans Street,NC,27834
Dress Barn,Lakewood,143,143 0143 #143,14500 West Colfax Avenue,CO,80401
Dress Barn,Greenbelt,145,145 0145 #145,7525 Greenbelt Road,MD,20770
Dress Barn,Springfield,146,146 0146 #146,6358 Springfield Plaza,VA,22150
Dress Barn,Albertville,148,148 0148 #148,6415 Labeaux Ave N.E.,MN,55301
Dress Barn,Stafford,149,149 0149 #149,1150 Stafford Marketplace,VA,22556
Dress Barn,Terrell,151,151 0151 #151,301 Tanger Drive,TX,75160
Dress Barn,Mehlville,152,152 0152 #152,4476 Lemay Ferry Road,MO,63129
Dress Barn,Jacksonville,154,154 0154 #154,651 Commerce Center Dr,FL,32225
Dress Barn,Batesville,156,156 0156 #156,325 Lakewood Drive,MS,38606
Dress Barn,El Cerrito,159,159 0159 #159,430 El Cerrito Plaza,CA,94530
Dress Barn,Fontana,160,160 0160 #160,14980 Summit Ave,CA,92336
Dress Barn,Elmira,161,161 0161 #161,845 County Route 64,NY,14903
Dress Barn,Burlington,163,163 0163 #163,478 Fashion Way,WA,98233
Dress Barn,Oak Lawn,164,164 0164 #164,8724 South Cicero Avenue,IL,60453
Dress Barn,Gambrills,165,165 0165 #165,2640 Chapel Lake Drive,MD,21054
Dress Barn,Williamsburg,166,166 0166 #166,132 Tanger Drive,IA,52361
Dress Barn,Downers Grove,167,167 0167 #167,7303 Lemont Road,IL,60516
Dress Barn,Hoffman Estates,168,168 0168 #168,16 Golf Rose Center,IL,60169
Dress Barn,Palmdale,169,169 0169 #169,39449 10Th Street West,CA,93551
Dress Barn,Lexington,175,175 0175 #175,5454 Sunset Boulevard,SC,29072
Dress Barn,Hillsboro,176,176 0176 #176,104 I-35 Highway,TX,76645
Dress Barn,Shenandoah,177,177 0177 #177,19075 Interstate 45 S,TX,77385
Dress Barn,West Bend,180,180 0180 #180,1670 S. Main Street,WI,53095
Dress Barn,Briarcliff Manor,181,181 0181 #181,1860 Pleasantville Rd,NY,10510
Dress Barn,Greenville,182,182 0182 #182,1117 Woodruff Road,SC,29607
Dress Barn,St. Augustine,183,183 0183 #183,500 Prime Outlet Boulevard,FL,32084
Dress Barn,Crossville,188,188 0188 #188,228 Interstate Dr,TN,38555
Dress Barn,Mchenry,189,189 0189 #189,2346 North Richmond Road,IL,60050
Dress Barn,Silver Spring,190,190 0190 #190,13677 Connecticut Avenue,MD,20906
Dress Barn,Pasco,191,191 0191 #191,5244 Outlet Drive,WA,99301
Dress Barn,Morgantown,192,192 0192 #192,4051 University Town Center Drive,WV,26501
Dress Barn,Huntsville,193,193 0193 #193,6275 North West University Drive,AL,35806
Dress Barn,Round Rock,197,197 0197 #197,2701 Parker Road,TX,78681
Dress Barn,Baton Rouge,198,198 0198 #198,10517 South Mall Drive,LA,70810
Dress Barn,Huntersville,199,199 0199 #199,9747A Sam Furr Road,NC,28078
Dress Barn,New York,200,200 0200 #200,1180 Avenue Of The Americas,NY,10036
Dress Barn,Glendale,202,202 0202 #202,89-89 Union Turnpike,NY,11385
Dress Barn,Orem,203,203 0203 #203,575 E. University Pkwy,UT,84097
Dress Barn,Calhoun,204,204 0204 #204,455 Belwood Drive,GA,30701
Dress Barn,Frederick,205,205 0205 #205,7280 Guilford Drive,MD,21704
Dress Barn,Dickson City,207,207 0207 #207,1132 Commerce Boulevard,PA,18508
Dress Barn,Spokane,208,208 0208 #208,15533 East Broadway,WA,99037
Dress Barn,Houston,212,212 0212 #212,250 Meyerland Plaza,TX,77096
Dress Barn,Richmond,213,213 0213 #213,1601 Willow Lawn Drive,VA,23230
Dress Barn,Brookfield,214,214 0214 #214,16900-F West Bluemound Road,WI,53005
Dress Barn,West Branch,215,215 0215 #215,2990 Cook Road,MI,48661
Dress Barn,Indianapolis,217,217 0217 #217,5025 East 82Nd Street,IN,46250
Dress Barn,Severna Park,219,219 0219 #219,558H Governor Ritchie Highway,MD,21146
Dress Barn,Mankato,220,220 0220 #220,1901 Madison Avenue,MN,56001
Dress Barn,Indianapolis,221,221 0221 #221,4850 East Southport Road,IN,46237
Dress Barn,South Bend,222,222 0222 #222,1290 East Ireland Road,IN,46614
Dress Barn,Tulalip,224,224 0224 #224,10600 Quilceda Blvd. #414,WA,98271
Dress Barn,Branson,225,225 0225 #225,4240 Gretna Road,MO,65616
Dress Barn,Shelby Township,226,226 0226 #226,13917 Hall Road,MI,48315
Dress Barn,Orland Park,228,228 0228 #228,15806 Lagrange Road,IL,60462
Dress Barn,Newton,229,229 0229 #229,601 Se 36 Street,KS,67114
