Keywords,city,Agg store_number,store_number,address,state,zip_code
Dunkin' Donuts,Clifton Park,300176,#300176,1752B Route 9,NY,12065
Dunkin' Donuts,Danvers,300178,#300178,99 High St,MA,1923
Dunkin' Donuts,Rockport,300179,#300179,17 Railroad Ave,MA,1966
Dunkin' Donuts,Holbrook,300202,#300202,411 Furrows Rd,NY,11741
Dunkin' Donuts,East Orange,300204,#300204,140 Central Ave,NJ,7018
Dunkin' Donuts,Canton,300205,#300205,22 Washington St,MA,2021
Dunkin' Donuts,Brockton,300208,#300208,66 Montello St,MA,2301
Dunkin' Donuts,Weymouth,300210,#300210,77 Washington St,MA,2188
Dunkin' Donuts,Somerville,300212,#300212,76 Middlesex Ave,MA,2145
Dunkin' Donuts,Saugus,300215,#300215,533 Broadway,MA,1906
Dunkin' Donuts,Philadelphia,300221,#300221,1500 John F Kennedy Blvd,PA,19102
Dunkin' Donuts,Cambridge,300223,#300223,616 Massachusetts Ave,MA,2139
Dunkin' Donuts,Philadelphia,300230,#300230,3313 Wharton St,PA,19146
Dunkin' Donuts,Concord,300231,#300231,121 S Main St,NH,3301
Dunkin' Donuts,Newton,300232,#300232,401 Watertown St,MA,2458
Dunkin' Donuts,Chelsea,300236,#300236,276 Beacham St,MA,2150
Dunkin' Donuts,East Boston,300240,#300240,13-15 Maverick Sq,MA,2128
Dunkin' Donuts,Harrison,300241,#300241,260 Halstead Ave,NY,10528
Dunkin' Donuts,Lake Park,300243,#300243,301 Federal Hwy,FL,33403
Dunkin' Donuts,Providence,300244,#300244,1245 N Main St,RI,2904
Dunkin' Donuts,Cranston,300245,#300245,630 Reservoir Ave,RI,2910
Dunkin' Donuts,Woonsocket,300247,#300247,308 Cumberland St,RI,2895
Dunkin' Donuts,Knoxville,300248,#300248,423 N Cedar Bluff Rd,TN,37923
Dunkin' Donuts,Worcester,300250,#300250,610 Park Ave,MA,1605
Dunkin' Donuts,Cambridge,300252,#300252,1 White St,MA,2140
Dunkin' Donuts,Nashua,300254,#300254,103 Broad St,NH,3060
Dunkin' Donuts,Quincy,300255,#300255,543 Southern Artery,MA,2169
Dunkin' Donuts,Winchendon,300258,#300258,5 Central St,MA,1475
Dunkin' Donuts,Newton,300259,#300259,940 Boylston St,MA,2461
Dunkin' Donuts,Juno Beach,300260,#300260,803 Donald Ross Rd,FL,33408
Dunkin' Donuts,New Haven,300261,#300261,1350 Whalley Ave,CT,6515
Dunkin' Donuts,Meriden,300263,#300263,132 W Main St,CT,6451
Dunkin' Donuts,New Bedford,300264,#300264,19 Rockdale Ave,MA,2740
Dunkin' Donuts,Bangor,300268,#300268,327 Main St,ME,4401
Dunkin' Donuts,Dover,300269,#300269,526 Central Ave,NH,3820
Dunkin' Donuts,Warwick,300270,#300270,1678 Post Rd,RI,2888
Dunkin' Donuts,Woburn,300277,#300277,185 Cambridge Rd,MA,1801
Dunkin' Donuts,Laconia,300279,#300279,369 S Main St,NH,3246
Dunkin' Donuts,Hamden,300283,#300283,1900 Dixwell Ave,CT,6514
Dunkin' Donuts,Milford,300284,#300284,1338 Boston Post Rd,CT,6460
Dunkin' Donuts,East Providence,300286,#300286,235 Taunton Ave,RI,2914
Dunkin' Donuts,Central Falls,300287,#300287,542 Broad St,RI,2863
