keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Earth Fare,Asheville,100,#100,66 Westgate Parkway,NC,28806
Earth Fare,Asheville,105,#105,1856 Hendersonville Road,NC,28803
Earth Fare,Greensboro,110,#110,2965 Battleground Avenue,NC,27408
Earth Fare,Charlotte,120,#120,12235 N. Community House Road,NC,28277
Earth Fare,Charlotte,125,#125,721 Governor Morrison Street Suite 110,NC,28211
Earth Fare,Boone,130,#130,178 W. King Street,NC,28607
Earth Fare,Raleigh,140,#140,10341 Moncreiffe Road,NC,27617
Earth Fare,Huntersville,160,#160,14021 Boren St,NC,28078
Earth Fare,Charleston,200,#200,74 Folly Road Boulevard,SC,29407
Earth Fare,Columbia,220,#220,3312-B Devine Street,SC,29205
Earth Fare,Greenville,240,#240,3620 Pelham Road,SC,29615
Earth Fare,Rock Hill,250,#250,725 N Cherry Road,SC,29732
Earth Fare,Athens,300,#300,1689 S. Lumpkin Street,GA,30606
Earth Fare,Martinez,310,#310,368 Fury's Ferry Road Suite 3,GA,30907
Earth Fare,Knoxville,400,#400,10903 Parkside Drive,TN,37934
Earth Fare,Knoxville,405,#405,140 N. Forest Park Boulevard,TN,37919
Earth Fare,Johnson City,410,#410,1735 W. State-of-Franklin Road,TN,37604
Earth Fare,Chattanooga,420,#420,1814 Gunbarrel Road Suite 100,TN,37421
Earth Fare,Auburn,500,#500,"1550 Opelika Road , Suite 14",AL,36830
Earth Fare,Huntsville,510,#510,5900 - C University Dr NW,AL,35806
Earth Fare,Montgomery,520,#520,7340 Eastchase Pkwy,AL,36117
Earth Fare,Hoover,530,#530,3230 Galleria Circle,AL,35244
Earth Fare,Tallahassee,550,#550,2425 Apalachee Pkwy,FL,32301
Earth Fare,Fairlawn,600,#600,3737 West Market Street,OH,44333
Earth Fare,Centerville,610,#610,"101 E. Alex Bell Road, Suite 176",OH,45459
Earth Fare,Fairview Park,620,#620,3450 Westgate,OH,44126
Earth Fare,Solon,622,#622,33321 Aurora Rd.,OH,44139
Earth Fare,Columbus,630,#630,1440 Gemini Place,OH,43240
Earth Fare,Louisville,650,#650,"4320 Summit Plaza Drive, Suite D-5",KY,40241
Earth Fare,Noblesville,670,#670,13145 Levinson Lane,IN,46060
Earth Fare,Carmel,675,#675,1390 Rangeline Road,IN,46032
