keywords,city,Agg store_number,store_number,address,state,zip_code
Food Lion,Salisbury,1,#1,123 Mahaley Ave,NC,28144
Food Lion,Kannapolis,6,#6,358 Oak Avenue Mall Drive,NC,28081
Food Lion,Salisbury,10,#10,525 Jake Alexander Blvd W,NC,28144
Food Lion,Greensboro,14,#14,3219 S. Holden Road,NC,27407
Food Lion,Albemarle,30,#30,833 Hwy 24-27 Bypass East,NC,28001
Food Lion,Greensboro,32,#32,2208 Golden Gate Dr.,NC,27405
Food Lion,Monroe,34,#34,100 E. Sunset Drive,NC,28112
Food Lion,Cary,40,#40,980 Kildare Farm Rd.,NC,27511
Food Lion,Asheboro,47,#47,1327 E. Dixie Drive,NC,27203
Food Lion,Columbia,53,#53,2312 Decker Blvd.,SC,29206
Food Lion,Durham,57,#57,5279 Roxboro Road,NC,27712
Food Lion,Smithfield,59,#59,851 W. Market St.,NC,27577
Food Lion,Camden,60,#60,2529 Broad Street,SC,29020
Food Lion,Kinston,61,#61,2410 N. Heritage Rd.,NC,28501
Food Lion,Gaffney,63,#63,1405 E. Fredrick St,SC,29340
Food Lion,Statesville,64,#64,947 Davie Avenue,NC,28677
Food Lion,Roxboro,67,#67,1005 N Madison Blvd,NC,27573
Food Lion,Martinsville,70,#70,640 Commonwealth Blvd.,VA,24112
Food Lion,Newberry,73,#73,1821 Wilson Road,SC,29108
Food Lion,Garner,75,#75,1339 5Th Avenue,NC,27529
Food Lion,Sanford,78,#78,1931 S. Horner Blvd,NC,27330
Food Lion,Lexington,83,#83,744B  W. Main Street,SC,29072
Food Lion,Lenoir,89,#89,847 Wilksboro Blvd N.E.,NC,28645
Food Lion,Raleigh,90,#90,4317 Fall Of The Neuse Rd,NC,27609
Food Lion,Wytheville,93,#93,1155 N 4Th St Ste. 200,VA,24382
Food Lion,Hickory,97,#97,2625 N Center St,NC,28601
Food Lion,Florence,98,#98,1307 W. 2Nd Loop Road,SC,29501
Food Lion,Louisburg,99,#99,321 S. Bickett Blvd.,NC,27549
Food Lion,Myrtle Beach,100,#100,6103 N Kings Hwy,SC,29577
Food Lion,Wilson,102,#102,2801 Ward Blvd Suite 3H,NC,27893
Food Lion,Henderson,105,#105,1650 N. Garnett St.,NC,27536
Food Lion,Charlotte,106,#106,2526 Little Rock Road,NC,28214
Food Lion,Lynchburg,108,#108,21039-B Timberlake Rd.,VA,24502
Food Lion,Charlotte,111,#111,9848 Monroe Road,NC,28270
Food Lion,Clinton,114,#114,319 North Boulevard,NC,28328
Food Lion,Lexington,122,#122,291 Talbert Blvd.,NC,27292
Food Lion,Fayetteville,124,#124,102 N. Reilly Road,NC,28302
Food Lion,Morganton,125,#125,120 Bost Road,NC,28655
Food Lion,Raeford,127,#127,232 West Cole  Street,NC,28376
Food Lion,Pearisburg,130,#130,302 S. Main St.,VA,24134-1523
Food Lion,Staunton,132,#132,2411 West Beverly,VA,24401
Food Lion,Winston-Salem,133,#133,7760 N. Point Blvd.,NC,27106
Food Lion,Vinton,137,#137,1952 Washington Ave.,VA,24179
Food Lion,Carrboro,142,#142,Jones Ferry Rd Willow Crk,NC,27510
Food Lion,Oxford,143,#143,109 Hilltop Village,NC,27565
Food Lion,Washington,144,#144,1318 John Small Ave,NC,27889-3843
Food Lion,Jacksonville,146,#146,461 Western Blvd. U 128,NC,28546
Food Lion,Clayton,149,#149,10105 US 70 Bus Hwy W,NC,27520-2649
