Keyword,city,Agg store_number,store_number,address,state,zip_code
Fred M Fuel,Albany,70100005,#5 70100005 5,2500 Santiam Hwy Se,OR,97322
Fred M Fuel,Anchorage,70100011,#11 70100011 11,1000 E Northern Lights Blvd,AK,99508
Fred M Fuel,Shoreline,70100013,#13 70100013 13,18325 Aurora Ave N,WA,98133
Fred M Fuel,Soldotna,70100017,#17 70100017 17,43843 Sterling Hwy,AK,99669
Fred M Fuel,Anchorage,70100018,#18 70100018 18,7701 Debarr Rd,AK,99504
Fred M Fuel,Auburn,70100019,#19 70100019 19,801 Auburn Way N,WA,98002
Fred M Fuel,Bend,70100021,#21 70100021 21,61535 S Highway 97,OR,97702
Fred M Fuel,Bellevue,70100023,#23 70100023 23,2041 148Th Ave Ne,WA,98007
Fred M Fuel,Burlington,70100024,#24 70100024 24,920 S Burlington Blvd,WA,98233
Fred M Fuel,Bellingham,70100025,#25 70100025 25,800 Lakeway Dr,WA,98229
Fred M Fuel,Burien,70100028,#28 70100028 28,14300 1St Ave S,WA,98168
Fred M Fuel,Brookings,70100030,#30 70100030 30,325 5Th St,OR,97415
Fred M Fuel,Renton,70100031,#31 70100031 31,17801 108Th Ave Se,WA,98055
Fred M Fuel,Beaverton,70100035,#35 70100035 35,11425 Sw Beaverton Hillsdale Hwy,OR,97005
Fred M Fuel,Portland,70100040,#40 70100040 40,7555 Sw Barbur Blvd,OR,97219
Fred M Fuel,Bonney Lake,70100041,#41 70100041 41,20904 Highway 410,WA,98391
Fred M Fuel,Coeur D Alene,70100049,#49 70100049 49,560 W Kathleen Ave,ID,83815
Fred M Fuel,Coos Bay,70100050,#50 70100050 50,1020 1St St,OR,97420
Fred M Fuel,Covington,70100053,#53 70100053 53,16735 Se 272Nd St,WA,98042
Fred M Fuel,Cornelius,70100060,#60 70100060 60,2200 Baseline St,OR,97113
Fred M Fuel,Clackamas,70100063,#63 70100063 63,16301 Se 82Nd Dr,OR,97015
Fred M Fuel,Corvallis,70100070,#70 70100070 70,777 Nw Kings Blvd,OR,97330
Fred M Fuel,Anchorage,70100071,#71 70100071 71,2000 W Dimond Blvd,AK,99515
Fred M Fuel,Portland,70100075,#75 70100075 75,14700 Se Division St,OR,97236
Fred M Fuel,Salem,70100090,#90 70100090 90,3740 Market St Ne,OR,97301
Fred M Fuel,Vancouver,70100093,#93 70100093 93,16600 Se Mcgillivray Blvd,WA,98683
Fred M Fuel,Everett,70100095,#95 70100095 95,8530 Evergreen Way,WA,98208
Fred M Fuel,Federal Way,70100111,#111 70100111 111,33702 21St Ave Sw,WA,98023
Fred M Fuel,Seattle,70100122,#122 70100122 122,100 Nw 85Th St,WA,98117
Fred M Fuel,Portland,70100125,#125 70100125 125,6615 Ne Glisan St,OR,97213
Fred M Fuel,Grants Pass,70100126,#126 70100126 126,1101 Grants Pass Pkwy,OR,97526
Fred M Fuel,Gresham,70100127,#127 70100127 127,2497 Se Burnside Rd,OR,97080
Fred M Fuel,Portland,70100128,#128 70100128 128,1111 Ne 102Nd Ave,OR,97220
Fred M Fuel,Portland,70100135,#135 70100135 135,3805 Se Hawthorne Blvd,OR,97214
Fred M Fuel,Hillsboro,70100143,#143 70100143 143,6495 Se Tualatin Valley Hwy,OR,97123
Fred M Fuel,Portland,70100150,#150 70100150 150,7404 N Interstate Ave,OR,97217
Fred M Fuel,Happy Valley,70100153,#153 70100153 153,8955 Se 82Nd Ave,OR,97086
Fred M Fuel,Idaho Falls,70100156,#156 70100156 156,1555 Northgate Mile,ID,83401
Fred M Fuel,Juneau,70100158,#158 70100158 158,8181 Glacier Hwy,AK,99801
Fred M Fuel,Kennewick,70100163,#163 70100163 163,2811 W 10Th Ave,WA,99336
Fred M Fuel,Klamath Falls,70100165,#165 70100165 165,2655 Shasta Way,OR,97603
Fred M Fuel,Bremerton,70100171,#171 70100171 171,5050 State Highway 303 Ne,WA,98311
Fred M Fuel,Kent,70100172,#172 70100172 172,10201 Se 240Th St,WA,98031
