keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Fred Meyer,Albany,70100005,#005 #05 70100005,2500 Santiam Hwy Se,OR,97322
Fred Meyer,Anchorage,70100011,#0011 #011 70100011,1000 E Northern Lights Blvd,AK,99508
Fred Meyer,Shoreline,70100013,#0013 #013 70100013,18325 Aurora Ave N,WA,98133
Fred Meyer,Soldotna,70100017,#0017 #017 70100017,43843 Sterling Hwy,AK,99669
Fred Meyer,Anchorage,70100018,#0018 #018 70100018,7701 Debarr Rd,AK,99504
Fred Meyer,Auburn,70100019,#0019 #019 70100019,801 Auburn Way N,WA,98002
Fred Meyer,Bend,70100021,#0021 #021 70100021,61535 S Highway 97,OR,97702
Fred Meyer,Bellevue,70100023,#0023 #023 70100023,2041 148Th Ave Ne,WA,98007
Fred Meyer,Burlington,70100024,#0024 #024 70100024,920 S Burlington Blvd,WA,98233
Fred Meyer,Bellingham,70100025,#0025 #025 70100025,800 Lakeway Dr,WA,98229
Fred Meyer,Burien,70100028,#0028 #028 70100028,14300 1St Ave S,WA,98168
Fred Meyer,Brookings,70100030,#0030 #030 70100030,325 5Th St,OR,97415
Fred Meyer,Renton,70100031,#0031 #031 70100031,17801 108Th Ave Se,WA,98055
Fred Meyer,Beaverton,70100035,#0035 #035 70100035,11425 Sw Beaverton Hillsdale Hwy,OR,97005
Fred Meyer,Portland,70100040,#0040 #040 70100040,7555 Sw Barbur Blvd,OR,97219
Fred Meyer,Bonney Lake,70100041,#0041 #041 70100041,20904 Highway 410,WA,98391
Fred Meyer,Coeur D Alene,70100049,#0049 #049 70100049,560 W Kathleen Ave,ID,83815
Fred Meyer,Coos Bay,70100050,#0050 #050 70100050,1020 1St St,OR,97420
Fred Meyer,Covington,70100053,#0053 #053 70100053,16735 Se 272Nd St,WA,98042
Fred Meyer,Cornelius,70100060,#0060 #060 70100060,2200 Baseline St,OR,97113
Fred Meyer,Clackamas,70100063,#0063 #063 70100063,16301 Se 82Nd Dr,OR,97015
Fred Meyer,Corvallis,70100070,#0070 #070 70100070,777 Nw Kings Blvd,OR,97330
Fred Meyer,Anchorage,70100071,#0071 #071 70100071,2000 W Dimond Blvd,AK,99515
Fred Meyer,Portland,70100075,#0075 #075 70100075,14700 Se Division St,OR,97236
Fred Meyer,Salem,70100090,#0090 #090 70100090,3740 Market St Ne,OR,97301
Fred Meyer,Vancouver,70100093,#0093 #093 70100093,16600 Se Mcgillivray Blvd,WA,98683
Fred Meyer,Everett,70100095,#0095 #095 70100095,8530 Evergreen Way,WA,98208
Fred Meyer,Federal Way,70100111,#00111 #0111 70100111,33702 21St Ave Sw,WA,98023
Fred Meyer,Seattle,70100122,#00122 #0122 70100122,100 Nw 85Th St,WA,98117
Fred Meyer,Portland,70100125,#00125 #0125 70100125,6615 Ne Glisan St,OR,97213
Fred Meyer,Grants Pass,70100126,#00126 #0126 70100126,1101 Grants Pass Pkwy,OR,97526
Fred Meyer,Gresham,70100127,#00127 #0127 70100127,2497 Se Burnside Rd,OR,97080
Fred Meyer,Portland,70100128,#00128 #0128 70100128,1111 Ne 102Nd Ave,OR,97220
Fred Meyer,Portland,70100135,#00135 #0135 70100135,3805 Se Hawthorne Blvd,OR,97214
Fred Meyer,Hillsboro,70100143,#00143 #0143 70100143,6495 Se Tualatin Valley Hwy,OR,97123
Fred Meyer,Portland,70100150,#00150 #0150 70100150,7404 N Interstate Ave,OR,97217
Fred Meyer,Happy Valley,70100153,#00153 #0153 70100153,8955 Se 82Nd Ave,OR,97086
Fred Meyer,Idaho Falls,70100156,#00156 #0156 70100156,1555 Northgate Mile,ID,83401
Fred Meyer,Juneau,70100158,#00158 #0158 70100158,8181 Glacier Hwy,AK,99801
Fred Meyer,Kennewick,70100163,#00163 #0163 70100163,2811 W 10Th Ave,WA,99336
Fred Meyer,Klamath Falls,70100165,#00165 #0165 70100165,2655 Shasta Way,OR,97603
Fred Meyer,Bremerton,70100171,#00171 #0171 70100171,5050 State Highway 303 Ne,WA,98311
Fred Meyer,Kent,70100172,#00172 #0172 70100172,10201 Se 240Th St,WA,98031
Fred Meyer,Seattle,70100179,#00179 #0179 70100179,13000 Lake City Way Ne,WA,98125
Fred Meyer,Lynnwood,70100180,#00180 #0180 70100180,4615 196Th St Sw Ste 175,WA,98036
Fred Meyer,Longview,70100185,#00185 #0185 70100185,3184 Ocean Beach Hwy,WA,98632
Fred Meyer,Lacey,70100186,#00186 #0186 70100186,700 Sleater Kinney Rd Se,WA,98503
Fred Meyer,Medford,70100195,#00195 #0195 70100195,2424 Crater Lake Hwy,OR,97504
Fred Meyer,Medford,70100196,#00196 #0196 70100196,1301 Center Dr,OR,97501
Fred Meyer,Meridian,70100198,#00198 #0198 70100198,1850 E Fairview Ave,ID,83642
Fred Meyer,Vancouver,70100208,#00208 #0208 70100208,11325 Se Mill Plain Blvd,WA,98684
Fred Meyer,Marysville,70100209,#00209 #0209 70100209,9925 State Ave,WA,98270
Fred Meyer,Monroe,70100210,#00210 #0210 70100210,18805 State Route 2,WA,98272
Fred Meyer,Spokane,70100214,#00214 #0214 70100214,12120 N Division St,WA,99218
Fred Meyer,Kent,70100215,#00215 #0215 70100215,25250 Pacific Hwy S,WA,98032
Fred Meyer,Warrenton,70100218,#00218 #0218 70100218,695 S Highway 101,OR,97146
Fred Meyer,Newberg,70100220,#00220 #0220 70100220,3300 Portland Rd,OR,97132
Fred Meyer,Fairbanks,70100224,#00224 #0224 70100224,930 Old Steese Hwy Ste A,AK,99701
Fred Meyer,Salem,70100225,#00225 #0225 70100225,2855 Broadway St Ne,OR,97303
Fred Meyer,Nampa,70100226,#00226 #0226 70100226,50 2Nd St S,ID,83651
Fred Meyer,Newport,70100227,#00227 #0227 70100227,150 Ne 20Th St,OR,97365
Fred Meyer,Vancouver,70100236,#00236 #0236 70100236,7411 Ne 117Th Ave,WA,98662
Fred Meyer,Milwaukie,70100240,#00240 #0240 70100240,14700 Se Mcloughlin Blvd,OR,97267
Fred Meyer,Oregon City,70100242,#00242 #0242 70100242,1839 Molalla Ave,OR,97045
Fred Meyer,Portland,70100255,#00255 #0255 70100255,6850 N Lombard St,OR,97203
Fred Meyer,Pocatello,70100260,#00260 #0260 70100260,800 Yellowstone Ave,ID,83201
Fred Meyer,Puyallup,70100265,#00265 #0265 70100265,1100 N Meridian,WA,98371
Fred Meyer,Roseburg,70100281,#00281 #0281 70100281,929 Nw Garden Valley Blvd,OR,97471
Fred Meyer,Portland,70100285,#00285 #0285 70100285,7700 Sw Beaverton Hillsdale Hwy,OR,97225
Fred Meyer,Richland,70100286,#00286 #0286 70100286,101 Wellsian Way,WA,99352
Fred Meyer,Eugene,70100325,#00325 #0325 70100325,60 Division Ave,OR,97404
Fred Meyer,Springfield,70100328,#00328 #0328 70100328,650 Q St,OR,97477
Fred Meyer,Portland,70100330,#00330 #0330 70100330,5253 Se 82Nd Ave,OR,97266
Fred Meyer,Spokane Valley,70100351,#00351 #0351 70100351,15609 E Sprague Ave,WA,99037
Fred Meyer,Salem,70100355,#00355 #0355 70100355,3450 Commercial St Se,OR,97302
Fred Meyer,Portland,70100360,#00360 #0360 70100360,100 Nw 20Th Pl,OR,97209
Fred Meyer,The Dalles,70100372,#00372 #0372 70100372,1215 W 6Th St,OR,97058
Fred Meyer,Tigard,70100375,#00375 #0375 70100375,11565 Sw Pacific Hwy,OR,97223
Fred Meyer,Tillamook,70100377,#00377 #0377 70100377,2500 Main Ave N,OR,97141
Fred Meyer,Twin Falls,70100383,#00383 #0383 70100383,705 Blue Lakes Blvd. N,ID,83301
Fred Meyer,Tacoma,70100385,#00385 #0385 70100385,7250 Pacific Ave,WA,98408
Fred Meyer,Tacoma,70100390,#00390 #0390 70100390,4505 S 19Th St,WA,98405
Fred Meyer,Kirkland,70100391,#00391 #0391 70100391,12221 120th Ave NE,WA,98034
Fred Meyer,Tualatin,70100393,#00393 #0393 70100393,19200 Sw Martinazzi Ave,OR,97062
Fred Meyer,Eugene,70100417,#00417 #0417 70100417,3333 W 11Th Ave,OR,97402
Fred Meyer,Puyallup,70100424,#00424 #0424 70100424,17404 MERIDIAN E,WA,98375
Fred Meyer,Boise,70100439,#00439 #0439 70100439,10751 W Overland Rd,ID,83709
Fred Meyer,Garden City,70100449,#00449 #0449 70100449,5425 W Chinden Blvd,ID,83714
Fred Meyer,Bothell,70100457,#00457 #0457 70100457,21045 Bothell Everett Hwy,WA,98021
Fred Meyer,Everett,70100458,#00458 #0458 70100458,12906 Bothell Everett Hwy,WA,98208
Fred Meyer,Renton,70100459,#00459 #0459 70100459,365 Renton Center Way Sw,WA,98057
Fred Meyer,Vancouver,70100460,#00460 #0460 70100460,800 Ne Tenney Rd,WA,98685
Fred Meyer,Scappoose,70100462,#00462 #0462 70100462,51501 Columbia River Hwy,OR,97056
Fred Meyer,Florence,70100464,#00464 #0464 70100464,4701 Highway 101,OR,97439
Fred Meyer,Beaverton,70100482,#00482 #0482 70100482,15995 Sw Walker Rd,OR,97006
Fred Meyer,Fairbanks,70100485,#00485 #0485 70100485,3755 Airport Way,AK,99709
Fred Meyer,Yakima,70100486,#00486 #0486 70100486,1206 N 40Th Ave,WA,98908
Fred Meyer,Wilsonville,70100516,#00516 #0516 70100516,30300 Sw Boones Ferry Rd,OR,97070
Fred Meyer,Portland,70100600,#00600 #0600 70100600,3030 Ne Weidler St,OR,97232
Fred Meyer,Gig Harbor,70100601,#00601 #0601 70100601,5500 Olympic Dr Ste B,WA,98335
Fred Meyer,Shelton,70100603,#00603 #0603 70100603,301 E Wallace Kneeland Blvd,WA,98584
Fred Meyer,Spanaway,70100604,#00604 #0604 70100604,22303 Mountain Hwy E,WA,98387
Fred Meyer,Tacoma,70100605,#00605 #0605 70100605,6901 S 19Th St,WA,98466
Fred Meyer,Seattle,70100608,#00608 #0608 70100608,915 Nw 45Th St,WA,98107
Fred Meyer,Boise,70100613,#00613 #0613 70100613,3527 S Federal Way,ID,83705
Fred Meyer,Battle Ground,70100614,#00614 #0614 70100614,401 Nw 12Th Ave,WA,98604
Fred Meyer,University Place,70100615,#00615 #0615 70100615,6305 Bridgeport Way W,WA,98467
Fred Meyer,Redmond,70100650,#00650 #0650 70100650,944 Sw Veterans Way,OR,97756
Fred Meyer,Canby,70100651,#00651 #0651 70100651,1401 Se 1St Ave,OR,97013
Fred Meyer,Ellensburg,70100652,#00652 #0652 70100652,201 S Water St,WA,98926
Fred Meyer,Wasilla,70100653,#00653 #0653 70100653,1501 E Parks Hwy,AK,99654
Fred Meyer,East Wenatchee,70100654,#00654 #0654 70100654,11 Grant Rd,WA,98802
Fred Meyer,Port Orchard,70100655,#00655 #0655 70100655,1900 Se Sedgwick Rd,WA,98366
Fred Meyer,Anchorage,70100656,#00656 #0656 70100656,2300 Abbott Rd,AK,99507
Fred Meyer,Spokane,70100657,#00657 #0657 70100657,400 S Thor St,WA,99202
Fred Meyer,Issaquah,70100658,#00658 #0658 70100658,6100 E Lake Sammamish Pkwy Se,WA,98029
Fred Meyer,Tumwater,70100659,#00659 #0659 70100659,555 Trosper Rd Sw,WA,98512
Fred Meyer,Wood Village,70100660,#00660 #0660 70100660,22855 Ne Park Ln,OR,97060
Fred Meyer,Hillsboro,70100661,#00661 #0661 70100661,22075 Nw Imbrie Dr,OR,97124
Fred Meyer,Boise,70100662,#00662 #0662 70100662,5230 W Franklin Rd,ID,83705
Fred Meyer,Sandy,70100663,#00663 #0663 70100663,16625 Se 362Nd Dr,OR,97055
Fred Meyer,Redmond,70100664,#00664 #0664 70100664,17667 Ne 76Th St,WA,98052
Fred Meyer,Sumner,70100665,#00665 #0665 70100665,1201 Valley Ave E,WA,98390
Fred Meyer,Bellingham,70100667,#00667 #0667 70100667,1225 W Bakerview Rd,WA,98226
Fred Meyer,Eagle River,70100668,#00668 #0668 70100668,13401 Old Glenn Hwy,AK,99577
Fred Meyer,Palmer,70100671,#00671 #0671 70100671,650 N Cobb St,AK,99645
Fred Meyer,Snohomish,70100681,#00681 #0681 70100681,2801 Bickford Ave,WA,98290
Fred Meyer,Maple Valley,70100682,#00682 #0682 70100682,26520 Maple Valley-Black Diamond Rd Se,WA,98038
Fred Meyer,Vancouver,70100683,#00683 #0683 70100683,2500 Columbia House Blvd,WA,98661
Fred Meyer,Meridian,70100685,#00685 #0685 70100685,1400 W Chinden Blvd,ID,83646
Fred Meyer,Lynnwood,70100688,#00688 #0688 70100688,2902 164Th St Sw,WA,98087
