keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Fry's Food,Phoenix,66000002,#002 #02 #2 02 66000002,3036 E Thomas Rd,AZ,85016
Fry's Food,Scottsdale,66000005,#005 #05 #5 05 66000005,7770 E Mcdowell Rd,AZ,85257
Fry's Food,Glendale,66000006,#006 #06 #6 06 66000006,5771 W Thunderbird Rd,AZ,85306
Fry's Food,Glendale,66000010,#0010 #010 #10 010 66000010,4353 W Bethany Home Rd,AZ,85301
Fry's Food,Glendale,66000011,#0011 #011 #11 011 66000011,6710 W Bethany Home Rd,AZ,85303
Fry's Food,Phoenix,66000012,#0012 #012 #12 012 66000012,18420 N 19Th Ave,AZ,85023
Fry's Food,Gilbert,66000015,#0015 #015 #15 015 66000015,3751 E Baseline Rd,AZ,85234
Fry's Food,Tucson,66000017,#0017 #017 #17 017 66000017,4150 E 22Nd St,AZ,85711
Fry's Food,Oro Valley,66000018,#0018 #018 #18 018 66000018,10661 N Oracle Rd,AZ,85737
Fry's Food,Tucson,66000019,#0019 #019 #19 019 66000019,3920 E Grant Rd,AZ,85712
Fry's Food,Tucson,66000020,#0020 #020 #20 020 66000020,3640 S 16Th Ave,AZ,85713
Fry's Food,Tucson,66000021,#0021 #021 #21 021 66000021,555 E Grant Rd,AZ,85705
Fry's Food,Tempe,66000022,#0022 #022 #22 022 66000022,1835 E Guadalupe Rd,AZ,85283
Fry's Food,Mesa,66000023,#0023 #023 #23 023 66000023,5941 E Mckellips Rd,AZ,85215
Fry's Food,Chandler,66000024,#0024 #024 #24 024 66000024,4949 W Ray Rd,AZ,85226
Fry's Food,Scottsdale,66000025,#0025 #025 #25 025 66000025,7628A E Indian School Rd,AZ,85251
Fry's Food,Glendale,66000026,#0026 #026 #26 026 66000026,5116 W Olive Ave,AZ,85302
Fry's Food,Phoenix,66000027,#0027 #027 #27 027 66000027,3616 E Ray Rd,AZ,85044
Fry's Food,Glendale,66000028,#0028 #028 #28 028 66000028,4315 W Bell Rd,AZ,85308
Fry's Food,Tucson,66000033,#0033 #033 #33 033 66000033,7050 E Golf Links Rd,AZ,85730
Fry's Food,Tucson,66000034,#0034 #034 #34 034 66000034,7812 E Speedway Blvd,AZ,85710
Fry's Food,Tucson,66000036,#0036 #036 #36 036 66000036,3770 W Ina Rd,AZ,85741
Fry's Food,Chandler,66000037,#0037 #037 #37 037 66000037,981 W Elliot Rd,AZ,85225
Fry's Food,Phoenix,66000038,#0038 #038 #38 038 66000038,731 E Bell Rd,AZ,85022
Fry's Food,Phoenix,66000040,#0040 #040 #40 040 66000040,3421 W Thunderbird Rd,AZ,85053
Fry's Food,Tucson,66000042,#0042 #042 #42 042 66000042,9401 E 22Nd St,AZ,85710
Fry's Food,Tempe,66000043,#0043 #043 #43 043 66000043,2700 W Baseline Rd,AZ,85283
Fry's Food,Peoria,66000045,#0045 #045 #45 045 66000045,7455 W Cactus Rd,AZ,85381
Fry's Food,Phoenix,66000046,#0046 #046 #46 046 66000046,520 E Baseline Rd,AZ,85042
Fry's Food,Casa Grande,66000048,#0048 #048 #48 048 66000048,1385 E Florence Blvd,AZ,85122
Fry's Food,Chandler,66000051,#0051 #051 #51 051 66000051,1950 W Ray Rd,AZ,85224
Fry's Food,Gilbert,66000052,#0052 #052 #52 052 66000052,855 W Warner Rd,AZ,85233
Fry's Food,Scottsdale,66000054,#0054 #054 #54 054 66000054,4842 E Bell Rd,AZ,85254
Fry's Food,Mesa,66000055,#0055 #055 #55 055 66000055,1915 S Power Rd,AZ,85206
Fry's Food,Peoria,66000056,#0056 #056 #56 056 66000056,9043 W Olive Ave,AZ,85345
Fry's Food,Tucson,66000057,#0057 #057 #57 057 66000057,7870 N Silverbell Rd,AZ,85743
Fry's Food,Tucson,66000058,#0058 #058 #58 058 66000058,2001 E Irvington Rd,AZ,85714
Fry's Food,Sierra Vista,66000059,#0059 #059 #59 059 66000059,4351 E Highway 90,AZ,85635
Fry's Food,Glendale,66000060,#0060 #060 #60 060 66000060,20220 N 59Th Ave,AZ,85308
Fry's Food,Surprise,66000061,#0061 #061 #61 061 66000061,15510 W Bell Rd,AZ,85374
Fry's Food,Mesa,66000062,#0062 #062 #62 062 66000062,554 W Baseline Rd,AZ,85210
Fry's Food,Prescott Valley,66000063,#0063 #063 #63 063 66000063,3100 N Glassford Hill Rd,AZ,86314
Fry's Food,Gilbert,66000064,#0064 #064 #64 064 66000064,714 S Val Vista Dr,AZ,85296
Fry's Food,Apache Junction,66000065,#0065 #065 #65 065 66000065,185 W Apache Trl,AZ,85120
Fry's Food,Avondale,66000066,#0066 #066 #66 066 66000066,10675 W Indian School Rd,AZ,85392
Fry's Food,Cave Creek,66000067,#0067 #067 #67 067 66000067,4815 E Carefree Hwy Ste 100,AZ,85331
Fry's Food,Chandler,66000069,#0069 #069 #69 069 66000069,2010 S Alma School Rd,AZ,85286
Fry's Food,Fountain Hills,66000070,#0070 #070 #70 070 66000070,14845 E Shea Blvd,AZ,85268
Fry's Food,Gilbert,66000072,#0072 #072 #72 072 66000072,87 E Williams Field Rd,AZ,85295
Fry's Food,Glendale,66000073,#0073 #073 #73 073 66000073,6625 W Happy Valley Rd,AZ,85310
Fry's Food,Peoria,66000074,#0074 #074 #74 074 66000074,8375 W Deer Valley Rd,AZ,85382
Fry's Food,Gilbert,66000075,#0075 #075 #75 075 66000075,3261 E Pecos Rd,AZ,85295
Fry's Food,Prescott,66000077,#0077 #077 #77 077 66000077,3198 Willow Creek Rd,AZ,86301
Fry's Food,Phoenix,66000078,#0078 #078 #78 078 66000078,39508 N Daisy Mountain Dr,AZ,85086
Fry's Food,Phoenix,66000079,#0079 #079 #79 079 66000079,2626 S 83Rd Ave,AZ,85043
Fry's Food,Phoenix,66000081,#0081 #081 #81 081 66000081,2250 E Baseline Rd,AZ,85042
Fry's Food,Queen Creek,66000084,#0084 #084 #84 084 66000084,542 E Hunt Hwy,AZ,85142
