keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Gristedes,New York,5,#5 05 5,262 West 96 St & Broadway,NY,10025
Gristedes,New York,34,#34 034 34,907 8th Avenue & 54th Street,NY,10019
Gristedes,New York,40,#40 040 40,315 South End Ave & Battery Park,NY,10280
Gristedes,New York,50,#50 050 50,350 East 86th Street & 1st Avenue,NY,10028
Gristedes,New York,53,#53 053 53,1644 York Ave & 87th Street,NY,10028
Gristedes,New York,56,#56 056 56,251 W 86th St & Broadway,NY,10024
Gristedes,New York,59,#59 059 59,1446 Second Ave & 75th Street,NY,10021
Gristedes,New York,70,#70 070 70,71 South End Ave & Battery Park,NY,10280
Gristedes,New York,82,#82 082 82,25 University Ave 8th Street,NY,10003
Gristedes,New York,98,#98 098 98,202 E 96 St & 3rd Avenue,NY,10128
Gristedes,New York,99,#99 099 99,460 Third Avenue & 32nd Street,NY,10016
Gristedes,New York,413,#413 0413 413,1365 Third Avenue & 78th Street,NY,10075
Gristedes,New York,421,#421 0421 421,512 Second Avenue & 29th Street,NY,10016
Gristedes,New York,437,#437 0437 437,1343 Lexington Avenue & 89th Street,NY,10128
Gristedes,New York,504,#504 0504 504,4037 Broadway & 170th Street,NY,10032
Gristedes,New York,506,#506 0506 506,40-42 East End Avenue & 81st Street,NY,10028
Gristedes,New York,508,#508 0508 508,246 Mercer Street & West 4th Street,NY,10012
Gristedes,New York,511,#511 0511 511,504 Columbus Avenue & 84th Street,NY,10024
Gristedes,New York,512,#512 0512 512,1208 First Avenue & 65th Street,NY,10065
Gristedes,New York,518,#518 0518 518,355 First Avenue & 20th Street,NY,10009
Gristedes,New York,533,#533 0533 533,748 Second Avenue & 40th Street,NY,10017
Gristedes,New York,543,#543 0543 543,3 Sheridan Square & West 4th Street,NY,10014
Gristedes,New York,562,#562 0562 562,307 West 26th Street & 8th Avenue,NY,10001
Gristedes,New York,597,#597 0597 597,225 8th Avenue & 20 Street,NY,10011
Gristedes,New York,601,#601 0601 601,2704 Broadway (103St),NY,10025
Gristedes,New York,611,#611 0611 611,90 Maiden Lane,NY,10038
