keywords,city,Aggdata Store Number,store_number,address,state,zip_code
HEB,Brownsville,1,#1 #01 1,924 E Elizabeth St,TX,78520
HEB,Laredo,2,#2 #02 2,1002 Farragut St,TX,78040
HEB,Stephenville,6,#6 #06 6,2150 W Washington St,TX,76401
HEB,Donna,9,#9 #09 9,813 Miller Ave,TX,78537
HEB,Beaumont,12,#12 #012 12,1180 S 11th St,TX,77701
HEB,Rio Grande City,13,#13 #013 13,4031 E. US Hwy. 83,TX,78582
HEB,Kyle,14,#14 #014 14,5401 South FM 1626,TX,78640
HEB,Huntsville,15,#15 #015 15,2304 Sam Houston Ave,TX,77340
HEB,Angleton,17,#17 #017 17,1239 E Mulberry St,TX,77515
HEB,Cypress,20,#20 #020 20,24224 Northwest Fwy.,TX,77429
HEB,Deer Park,21,#21 #021 21,3601 Center St,TX,77536
HEB,Robstown,22,#22 #022 22,308 E. Main Ave,TX,78380
HEB,Austin,24,#24 #024 24,11521 North FM 620,TX,78750
HEB,Floresville,25,#25 #025 25,925 10th St,TX,78114
HEB,San Antonio,26,#26 #026 26,4100 S. New Braunfels,TX,78223
HEB,League City,28,#28 #028 28,2955 South Gulf Freeway,TX,77573
HEB,Westlake Hills,29,#29 #029 29,701 S Capital of Texas Hwy,TX,78746
HEB,Austin,31,#31 #031 31,12860 Research Blvd,TX,78750
HEB,Round Rock,34,#34 #034 34,3750 Gattis School Rd,TX,78664
HEB,Orange,35,#35 #035 35,2424 16th St,TX,77630
HEB,San Juan,38,#38 #038 38,901 E Expy 83,TX,78589
HEB,San Antonio,43,#43 #043 43,1601 Nogalitos St,TX,78204
HEB,Austin,45,#45 #045 45,2400 S Congress Ave,TX,78704
HEB,Beaumont,48,#48 #048 48,3025 Dowlen Rd,TX,77706
HEB,Big Spring,51,#51 #051 51,2000 S Gregg St,TX,79720
HEB,San Angelo,52,#52 #052 52,3301 Sherwood Way,TX,76901
HEB,Groves,53,#53 #053 53,5000 32nd Str,TX,77619
HEB,Houston,54,#54 #054 54,9828 Blackhawk Blvd.,TX,77075
HEB,Corpus Christi,57,#57 #057 57,1145 Waldron Road,TX,78418
HEB,Pearland,63,#63 #063 63,2805 Business Center Dr.,TX,77584
HEB,Waco,64,#64 #064 64,3801 N. 19th St,TX,76708
HEB,Austin,68,#68 #068 68,5800 W. Slaughter Ln.,TX,78749
HEB,Corpus Christi,69,#69 #069 69,5313 Saratoga Blvd,TX,78413
HEB,Abilene,70,#70 #070 70,1345 Barrow,TX,79605
HEB,Temple,71,#71 #071 71,1314 W Adams Ave,TX,76504
HEB,Killeen,72,#72 #072 72,809 North Gray St,TX,76541
HEB,Beaumont,73,#73 #073 73,3930 East Lucas,TX,77708
HEB,San Antonio,84,#84 #084 84,6818 South Zarzamora,TX,78224
HEB,San Antonio,85,#85 #085 85,10718 Potranco Rd.,TX,78251
