keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Hallmark,Shrewsbury,12,12 00012 0012 #12,Giant Food Plaza,PA,17361-1431
Hallmark,Richmond,34,34 00034 0034 #34,Richmond Square Mall,IN,47374-3687
Hallmark,Vestavia Hills,42,42 00042 0042 #42,Vestavia City Center,AL,35216-1810
Hallmark,Northfield,54,54 00054 0054 #54,River Park Mall,MN,55057-2457
Hallmark,Kennewick,58,58 00058 0058 #58,3001 W Kennewick Ave,WA,99336-2923
Hallmark,Lancaster,99,99 00099 0099 #99,2050 West Avenue J,CA,93536-5913
Hallmark,El Paso,181,181 000181 00181 #181,6101 Dew Street,TX,79912-3901
Hallmark,Green Bay,248,248 000248 00248 #248,2765 S Oneida St,WI,54304-5750
Hallmark,Hereford,269,269 000269 00269 #269,236 North Main Street,TX,79045-5302
Hallmark,Bellevue,309,309 000309 00309 #309,529 Lincoln Avenue,PA,15202-3548
Hallmark,Dickson City,345,345 000345 00345 #345,Viewmont Mall,PA,18508-1306
Hallmark,Glasgow,360,360 000360 00360 #360,Barren River Plaza,KY,42141-1300
Hallmark,Batesville,368,368 000368 00368 #368,682 Harrison Street,AR,72501-6943
Hallmark,Mason City,425,425 000425 00425 #425,Plaza West Shopping Ctr,IA,50401-4664
Hallmark,Beaver Dam,434,434 000434 00434 #434,Park Village Mall,WI,53916-2265
Hallmark,Bee Cave,468,468 000468 00468 #468,Hill Country Galleria,TX,78738-6381
Hallmark,Cincinnati,469,469 000469 00469 #469,Anderson Towne Center,OH,45255-4109
Hallmark,Smithfield Ri,471,471 000471 00471 #471,371 Putnam Pike,RI,02917-2440
Hallmark,Loveland,473,473 000473 00473 #473,The Promenade Shops,CO,80538-9019
Hallmark,Marietta,478,478 000478 00478 #478,The Avenue West Cobb,GA,30064-5911
Hallmark,Georgetown,479,479 000479 00479 #479,Wolf Ranch Shopping Ctr,TX,78628-5361
Hallmark,Moosic,482,482 000482 00482 #482,Shoppes At Montage,PA,18507-2146
Hallmark,Bolingbrook,488,488 000488 00488 #488,Bolingbrook At Prmenade,IL,60440-3162
Hallmark,South Dennis,489,489 000489 00489 #489,Patriot Square Rte 134,MA,02660-3452
Hallmark,Merrillville,494,494 000494 00494 #494,South Lake Mall,IN,46410-2615
Hallmark,Kenosha,495,495 000495 00495 #495,5914 B 75Th St,WI,53142-3604
Hallmark,Wilmington,514,514 000514 00514 #514,Prices Corner Sh Ctr,DE,19808-6130
Hallmark,Milton,650,650 000650 00650 #650,Surprise Lake Square,WA,98354-7003
Hallmark,Helena,661,661 000661 00661 #661,Capital Hill Mall,MT,59601-4667
Hallmark,Monroe,678,678 000678 00678 #678,Monroe Mall,NC,28110-2786
Hallmark,Elizabethtown,724,724 000724 00724 #724,Towne Mall,KY,42701-9449
Hallmark,Boca Raton,729,729 000729 00729 #729,1357 W Palmetto Park Rd,FL,33486-3303
Hallmark,Saint Louis,749,749 000749 00749 #749,12434 Tesson Ferry Road,MO,63128-2702
Hallmark,Philadelphia,809,809 000809 00809 #809,1132 Market Street,PA,19107-3601
Hallmark,Fremont,816,816 000816 00816 #816,39180 Fremont Hub,CA,94538-1330
Hallmark,Fairport,822,822 000822 00822 #822,Perinton Square Mall,NY,14450-3344
Hallmark,Brunswick,865,865 000865 00865 #865,Cook's Corner Sh Ctr,ME,04011-2766
Hallmark,Hanover,869,869 000869 00869 #869,264 Columbia Rd  Rt. 53,MA,02339-2326
Hallmark,Albany,883,883 000883 00883 #883,208 Colonie Center,NY,12205-2751
Hallmark,Zion,888,888 000888 00888 #888,K-Mart Plaza,IL,60099-3660
Hallmark,Ann Arbor,929,929 000929 00929 #929,Westgate Shopping Centr,MI,48103-3818
Hallmark,Elkview,933,933 000933 00933 #933,207 Crossing Mall,WV,25071-9230
Hallmark,Trexlertown,946,946 000946 00946 #946,Trexler Mall,PA,18087-9101
Hallmark,Springfield,1022,1022 0001022 001022 #1022,Northland Plaza,OH,45503-1368
Hallmark,Clinton,1080,1080 0001080 001080 #1080,236 5Th Avenue South,IA,52732-4309
Hallmark,Poulsbo,1149,1149 0001149 001149 #1149,Poulsbo Village Sh Ctr,WA,98370-7529
Hallmark,Mattoon,1205,1205 0001205 001205 #1205,Cross Country Mall,IL,61938-4671
Hallmark,Oklahoma City,1299,1299 0001299 001299 #1299,5539 Nw Expressway,OK,73132-5230
Hallmark,East Aurora,1344,1344 0001344 001344 #1344,Aurora Village S/C,NY,14052-2144
Hallmark,Crossville,1376,1376 0001376 001376 #1376,229 Interstate Drive,TN,38555-2709
Hallmark,Oswego,1378,1378 0001378 001378 #1378,Oswego Commons 3000Rt34,IL,60543-8333
