keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Hardee's,SAINT LOUIS,1500025,1500025,4321 BUTLER HILL RD,MO,63128-3717
Hardee's,FORT SMITH,1500057,1500057,4123 GRAND AVE,AR,72904-7023
Hardee's,SIKESTON,1500062,1500062,1105 S MAIN ST,MO,63801-3102
Hardee's,ELIZABETH CITY,1500069,1500069,401 W EHRINGHAUS ST,NC,27909-4927
Hardee's,CEDAR RAPIDS,1500070,1500070,3214 1ST AVE NE,IA,52402-6002
Hardee's,TOPEKA,1500074,1500074,2424 SW 6TH AVE,KS,66606-1784
Hardee's,CAPE GIRARDEAU,1500078,1500078,2115 WILLIAM ST,MO,63703-5817
Hardee's,CEDAR RAPIDS,1500079,1500079,1519 6TH ST SW,IA,52404-5842
Hardee's,INDIANAPOLIS,1500082,1500082,8009 PENDLETON PIKE,IN,46226-4012
Hardee's,INDIANAPOLIS,1500085,1500085,4401 E 10TH STREET,IN,46201-2744
Hardee's,PLAINFIELD,1500086,1500086,1630 E MAIN ST,IN,46168-1848
Hardee's,KIRKWOOD,1500087,1500087,11111 MANCHESTER RD,MO,63122-1245
Hardee's,RANTOUL,1500093,1500093,326 S CENTURY BLVD,IL,61866-2906
Hardee's,INDIANAPOLIS,1500097,1500097,5950 BROOKVILLE RD,IN,46219-8116
Hardee's,BRAZIL,1500099,1500099,304 E NATIONAL AVE,IN,47834-2630
Hardee's,GREENSBORO,1500101,1500101,701 COLLEGE RD,NC,27410-4103
Hardee's,LOGANSPORT,1500104,1500104,1121 E MARKET ST,IN,46947-3561
Hardee's,CIRCLEVILLE,1500105,1500105,300 W MAIN ST,OH,43113-9091
Hardee's,GREENFIELD,1500106,1500106,1215 W MAIN ST,IN,46140-1924
Hardee's,PERU,1500108,1500108,301 N BROADWAY,IN,46970-1451
Hardee's,INDIANAPOLIS,1500111,1500111,144 W 16TH ST,IN,46202-2343
Hardee's,WABASH,1500113,1500113,1010 N CASS ST,IN,46992-1022
Hardee's,INDIANAPOLIS,1500114,1500114,921 E WASHINGTON ST,IN,46202-3950
Hardee's,MATTOON,1500119,1500119,1117 LAKELAND BLVD,IL,61938-5525
Hardee's,FORT MADISON,1500123,1500123,1431 AVENUE H,IA,52627-4413
Hardee's,ELWOOD,1500124,1500124,2820 E MAIN ST,IN,46036-2214
Hardee's,MYRTLE BEACH,1500130,1500130,402 S KINGS HWY,SC,29577-4104
Hardee's,FORT SMITH,1500131,1500131,2720 ROGERS AVE,AR,72901-4226
Hardee's,SPRINGFIELD,1500139,1500139,2242 S LIMESTONE ST,OH,45505-4732
Hardee's,CENTRALIA,1500150,1500150,750 W BROADWAY,IL,62801-5304
Hardee's,SAINT LOUIS,1500153,1500153,5854 OAKLAND AVE,MO,63110-1333
Hardee's,EMPORIA,1500157,1500157,1126 E 12TH AVE,KS,66801-3320
Hardee's,O FALLON,1500174,1500174,110 EAST HIGHWAY 50,IL,62269-2659
