keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Harps,Poteau ,102,102 #102 #0102,2219 No. Broadway,OK,74953
Harps,Berryville,106,106 #106 #0106,326 Eureka Avenue,AR,72616
Harps,Cabot,107,107 #107 #0107,805 West Main,AR,72023
Harps,Springdale,108,108 #108 #0108,1101 S. Thompson,AR,72764
Harps,Greenbrier,111,111 #111 #0111,15 North Broadview Street,AR,72058
Harps,Haskell,112,112 #112 #0112,6039 Highway 67,AR,72015
Harps,Siloam Springs,113,113 #113 #0113,201 Hwy. 412 West,AR,72761
Harps,Elkins,115,115 #115 #0115,1951 N. Center Street,AR,72727
Harps,Vilonia,116,116 #116 #0116,1048 Main Street,AR,72173
Harps,Rogers,117,117 #117 #0117,715 North 2nd Street,AR,72756
Harps,Springdale,119,119 #119 #0119,2894 West Sunset,AR,72762
Harps,Centerton,122,122 #122 #0122,710 West Centerton Blvd.,AR,72719
Harps,Springdale,123,123 #123 #0123,1007 Jones Road,AR,72762
Harps,Fayetteville,124,124 #124 #0124,1274 Colorado Drive,AR,72704
Harps,Prairie Grove ,125,125 #125 #0125,319 East Buchanan Street,AR,72753
Harps,West Fork,126,126 #126 #0126,266 Three Dog Lane,AR,72774
Harps,Bentonville,127,127 #127 #0127,1209 N. Walton Blvd,AR,72712
Harps,Bull Shoals,130,130 #130 #0130,939 Central Blvd.,AR,72619
Harps,Huntsville,133,133 #133 #0133,115 Lee Street,AR,72740
Harps,Green Forest,134,134 #134 #0134,309 East Main,AR,72638
Harps,Mountain Home,135,135 #135 #0135,924 East Hwy 62,AR,72653
Harps,Searcy ,136,136 #136 #0136,2525 W. Beebe-Capps Expressway,AR,72143
Harps,Fort Smith,137,137 #137 #0137,2507 Market Trace,AR,72908
Harps,Benton,138,138 #138 #0138,1515 Hwy 5 North,AR,72015
Harps,Bald Knob,139,139 #139 #0139,232 Hwy 167,AR,72010
Harps,Tulsa ,142,142 #142 #0142,11333 E. 31st Street,OK,74146
Harps,Batesville,143,143 #143 #0143,1740 Batesville Blvd.,AR,72501
Harps,Conway,144,144 #144 #0144,1120 E. German Lane,AR,72032
Harps,Heber Springs,163,163 #163 #0163,901 W. Main Street,AR,72543
Harps,Dardanelle,164,164 #164 #0164,612 Union Street,AR,72834
Harps,Grove,165,165 #165 #0165,1310 South Main,OK,74344
Harps,Airport Drive (Joplin),168,168 #168 #0168,25685 Fir Road,MO,64801
Harps,Springdale,170,170 #170 #0170,1945 Butterfield Coach Road,AR,72764
Harps,Fort Smith,172,172 #172 #0172,3100 Grand Avenue,AR,72904
Harps,Fort Smith,174,174 #174 #0174,3401 South 74th Street,AR,72903
Harps,Bella Vista,175,175 #175 #0175,404 Town Center NE,AR,72714
Harps,Fayetteville,176,176 #176 #0176,1189 No. Garland,AR,72703
Harps,Fayetteville,177,177 #177 #0177,1780 N. Crossover Rd.,AR,72703
Harps,Chelsea ,181,181 #181 #0181,300 E. Layton / Hwy 66,OK,74016
Harps,Salina,182,182 #182 #0182,111 E. Ferry,OK,74365
Harps,Locust Grove,183,183 #183 #0183,Intersection Hwy 82/33,OK,74352
Harps,Noel ,184,184 #184 #0184,210 West Main,MO,64854
Harps,Fort Gibson,185,185 #185 #0185,1010 E. Poplar,OK,74434
Harps,Springdale,186,186 #186 #0186,1308 N. Thompson,AR,72764
Harps,Gore,187,187 #187 #0187,603 N. Main,OK,74435
Harps,Marshall,188,188 #188 #0188,700 Hwy 65 North,AR,72650
Harps,Yellville,189,189 #189 #0189,200 N. Wickershan Street,AR,72687
Harps,Jonesboro,190,190 #190 #0190,2005 Harrisburg Road,AR,72401
Harps,Westville,191,191 #191 #0191,Hwy 59 North,OK,74965
Harps,Lincoln,193,193 #193 #0193,718 W. Pridemore Drive,AR,72744
Harps,Alma,194,194 #194 #0194,25 Highway 64 West,AR,72921
Harps,Jasper,195,195 #195 #0195,613 East Highway 7,AR,72641
Harps,Calico Rock,197,197 #197 #0197,2002 Hwy 56,AR,72519
Harps,Rector,198,198 #198 #0198,807 E. 9th St.,AR,72461
Harps,Mountain View,199,199 #199 #0199,907 East Main,AR,72560
Harps,Thayer,283,283 #283 #0283,129 East Walnut,MO,65791
Harps,Alton,284,284 #284 #0284,605 West Hwy 160,MO,65606
Harps,Doniphan,285,285 #285 #0285,1401 Hillcrest Plaza,MO,63935
Harps,Corning,286,286 #286 #0286,301 N. Missouri Ave. Suite 2,AR,72422
Harps,Malden,287,287 #287 #0287,1003 N. Douglass,MO,63863
Harps,Dexter,288,288 #288 #0288,4 S. Catapla St.,MO,63841
Harps,Kennett,289,289 #289 #0289,1780 First Street,MO,63857
Harps,Mayflower,307,307 #307 #0307,582 HWY 365,AR,72106
Harps,Morrilton,308,308 #308 #0308,100 S. St. Joseph St,AR,72110
Harps,Conway,348,348 #348 #0348,380 Harkrider,AR,72032
Harps,Russellville,349,349 #349 #0349,100 S. Knoxville,AR,72801
Harps,Hot Springs,351,351 #351 #0351,2004 Albert Pike,AR,71901
Harps,Van Buren,352,352 #352 #0352,120 Cloverleaf Plaza,AR,72956
Harps,Fayetteville,355,355 #355 #0355,3055 North College,AR,72703
Harps,Rogers,357,357 #357 #0357,103 North Dixieland Road,AR,72756
