keywords,city,Aggdata Store Number,store_number,address,state,zip_code
In-N-Out Burger,BALDWIN PARK,1,#1,13850 FRANCISQUITO AVE.,CA,91706
In-N-Out Burger,COVINA,2,#2,1371 GRAND AVE.,CA,91724
In-N-Out Burger,LA VERNE,3,#3,2098 FOOTHILL BLVD.,CA,91750
In-N-Out Burger,WEST COVINA,4,#4,15610 SAN BERNARDINO,CA,91790
In-N-Out Burger,PASADENA,5,#5,2114 E. FOOTHILL,CA,91107
In-N-Out Burger,AZUSA,6,#6,324 S. AZUSA,CA,91702
In-N-Out Burger,LA PUENTE,7,#7,15259 E. AMAR RD.,CA,91744
In-N-Out Burger,POMONA,8,#8,1851 INDIAN HILL,CA,91767
In-N-Out Burger,N. HOLLYWOOD,9,#9,5864 LANKERSHIM,CA,91605
In-N-Out Burger,PANORAMA CITY,10,#10,13651 ROSCOE BLVD.,CA,91402
In-N-Out Burger,HACIENDA HEIGHTS,11,#11,14620 E. GALE,CA,91745
In-N-Out Burger,SAN FERNANDO,12,#12,11455 LAUREL CNY BL,CA,91340
In-N-Out Burger,TEMPLE CITY,13,#13,10601 LOWER AZUSA RD,CA,91780
In-N-Out Burger,NORWALK,14,#14,14330 PIONEER BLVD.,CA,90650
In-N-Out Burger,DIAMOND BAR,15,#15,21133 GOLDEN SPRINGS,CA,91765
In-N-Out Burger,TUJUNGA,16,#16,6225 FOOTHILL BLVD.,CA,91042
In-N-Out Burger,SANTA ANA,17,#17,815 NO. BRISTOL,CA,92703
In-N-Out Burger,WOODLAND HILLS,18,#18,19920 VENTURA BLVD.,CA,91364
In-N-Out Burger,GARDEN GROVE,19,#19,9032 TRASK AVE.,CA,92844
In-N-Out Burger,ROSEMEAD,20,#20,4242 N. ROSEMEAD BL.,CA,91770
In-N-Out Burger,ONTARIO,21,#21,2235 MOUNTAIN,CA,91761
In-N-Out Burger,FONTANA,22,#22,9855 SIERRA AVE.,CA,92335
In-N-Out Burger,RANCHO CUCAMONGA,23,#23,8955 FOOTHILL BLVD.,CA,91730
In-N-Out Burger,Anaheim,24,#24,600 S. Brookhurst,CA,92804
In-N-Out Burger,Corona,25,#25,450 Auto Center Dr.,CA,92882
In-N-Out Burger,SAN BERNARDINO,26,#26,795 W. 5th St.,CA,92410
In-N-Out Burger,Arcadia,27,#27,420 N. Santa Anita,CA,91006
In-N-Out Burger,SAN JUAN CAPISTRANO,28,#28,28782 CAMINO CAPISTRANO,CA,92675
In-N-Out Burger,HESPERIA,29,#29,13074 MAIN STREET,CA,92345
In-N-Out Burger,TORRANCE,30,#30,730 W. CARSON,CA,90502
In-N-Out Burger,SAN BERNARDINO,31,#31,1065 HARRIMAN PL,CA,92408
In-N-Out Burger,PLACENTIA,32,#32,825 W. CHAPMAN,CA,92870
In-N-Out Burger,POMONA,33,#33,2505 GAREY AVE.,CA,91766
In-N-Out Burger,ONTARIO,34,#34,1891 E. G ST.,CA,91764
In-N-Out Burger,NORTHRIDGE,35,#35,9858 BALBOA BLVD,CA,91325
In-N-Out Burger,LA HABRA,36,#36,2030 E. LAMBERT RD,CA,90631
In-N-Out Burger,WESTMINSTER,37,#37,6292 WESTMINSTER BLV,CA,92683
In-N-Out Burger,COSTA MESA,38,#38,594 W. 19TH STREET,CA,92627
In-N-Out Burger,RIVERSIDE,39,#39,6634 CLAY,CA,92509
In-N-Out Burger,LAKEWOOD,40,#40,5820 BELLFLOWER BLVD,CA,90713
In-N-Out Burger,CAMARILLO,41,#41,1316 VENTURA BLVD,CA,93010
In-N-Out Burger,BUENA PARK,42,#42,7926 VALLEY VIEW,CA,90620
In-N-Out Burger,LANCASTER,43,#43,2021 W. AVENUE I,CA,93536
In-N-Out Burger,MORENO VALLEY,44,#44,23035 HEMLOCK,CA,92557
In-N-Out Burger,UPLAND,45,#45,1837 FOOTHILL BLVD,CA,91786
In-N-Out Burger,RIVERSIDE,46,#46,7467 INDIANA AVE,CA,92504
In-N-Out Burger,SANTA FE SPRINGS,47,#47,10525 CARMENITA,CA,90670
In-N-Out Burger,NORCO,48,#48,1810 HAMNER,CA,92860
In-N-Out Burger,PICO RIVERA,49,#49,9070 WHITTIER BLVD,CA,90660
In-N-Out Burger,THOUSAND PALMS,50,#50,72265 VARNER RD,CA,92276
In-N-Out Burger,INDIO,51,#51,82043 HWY. 111,CA,92201
In-N-Out Burger,HEMET,52,#52,2885 W. FLORIDA AVE.,CA,92545
In-N-Out Burger,NEWHALL,53,#53,25220 N THE OLD ROAD,CA,91321
In-N-Out Burger,LAKE ELSINORE,54,#54,331 RAILROAD CANYON,CA,92532
In-N-Out Burger,LOS ANGELES,55,#55,9245 W VENICE BLVD,CA,90034
In-N-Out Burger,BARSTOW,56,#56,2821 LENWOOD RD,CA,92311
In-N-Out Burger,LEMON GROVE,57,#57,7160 BROADWAY,CA,91945
