keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Ingles Market,Asheville,2,#2,7 Leicester Hwy.,NC,28806
Ingles Market,Asheville,3,#3,915 Merrimon Ave.,NC,28804
Ingles Market,Asheville,4,#4,1141 Tunnel Rd.,NC,28805
Ingles Market,Asheville,5,#5,669 Haywood Rd.,NC,28806
Ingles Market,Thomasville,6,#6,1122 Randolph St. - Suite 106,NC,27360
Ingles Market,Asheville,7,#7,29 Tunnel Rd.,NC,28805
Ingles Market,Black Mountain,8,#8,550 Hwy. 9,NC,28711
Ingles Market,Clinton,9,#9,190 Clinch Ave,TN,37716
Ingles Market,Hendersonville,11,#11,1980 Asheville Hwy,NC,28792
Ingles Market,Shelby,12,#12,1818 W. Dixon Blvd.,NC,28150
Ingles Market,Burnsville,13,#13,400 E US Hwy 19,NC,28714
Ingles Market,Franklin,14,#14,260 Palmer St.,NC,28734
Ingles Market,Gaffney,15,#15,1627 W. Floyd Baker Blvd.,SC,29340
Ingles Market,Belton,16,#16,426 S. Main St.,SC,29627
Ingles Market,Pickens,17,#17,502-A Ann St.,SC,29671
Ingles Market,Greeneville,21,#21,615 Asheville Hwy,TN,37743
Ingles Market,Asheville,22,#22,499 Weaverville Rd.,NC,28804
Ingles Market,Waynesville,23,#23,201 Barber Blvd.,NC,28786
Ingles Market,Asheville,24,#24,863 Brevard Rd.,NC,28806
Ingles Market,Murphy,25,#25,2060 Hwy. 19,NC,28906
Ingles Market,Forest City,27,#27,756 S.Church St. - Ste.132,NC,28043
Ingles Market,Marshall,28,#28,5580 Hwy. 25/70,NC,28753
Ingles Market,Piedmont,29,#29,7616 Augusta Rd. (Moonville),SC,29673
Ingles Market,Asheville,30,#30,1865 Hendersonville Rd.,NC,28803
Ingles Market,Asheville,31,#31,153 Smokey Park Hwy,NC,28806
Ingles Market,Greenville,32,#32,1335 Stallings Rd.,SC,29609
Ingles Market,Spruce Pine,33,#33,125 Greenwood Rd.,NC,28777
Ingles Market,Swannanoa,34,#34,2299 U.S. Hwy. 70,NC,28778
Ingles Market,Bryson City,35,#35,19/23 at Hughes Branch Rd.,NC,28713
Ingles Market,Blue Ridge,36,#36,5679 Appalachian Hwy.,GA,30513
Ingles Market,Spartanburg,37,#37,8650 Asheville Hwy,SC,29302
Ingles Market,Spartanburg,38,#38,2795 E. Main St.,SC,29307
Ingles Market,Anderson,39,#39,4396 Hwy. 24 at Whitehall Rd.,SC,29626
Ingles Market,Simpsonville,41,#41,621 Fairview Rd.,SC,29681
Ingles Market,Mauldin,42,#42,116 W. Butler Rd.,SC,29662
Ingles Market,Fletcher,43,#43,2901 Hendersonville Rd.,NC,28732
Ingles Market,Laurens,44,#44,901 East Main St,SC,29360
Ingles Market,Spartanburg,45,#45,2000 S. Pine St.,SC,29302
Ingles Market,Bessemer City,46,#46,1205 Gastonia Hwy,NC,28016
Ingles Market,Andrews,47,#47,US 19 / 129 (Main St.),NC,28901
Ingles Market,West Union,49,#49,180 Scenic Plaza Dr,SC,29691
Ingles Market,Sylva,50,#50,19 Webster Rd.,NC,28779
Ingles Market,Easley,51,#51,5251 Calhoun Memorial Hwy,SC,29642
Ingles Market,Clemson,53,#53,854 Highway 93,SC,29631
Ingles Market,Canton,55,#55,630 Champion Dr.,NC,28716
Ingles Market,Abbeville,56,#56,1503 N. Main St.,SC,29620
Ingles Market,Winder,57,#57,285 N. Broad St.,GA,30680
Ingles Market,Waynesville,58,#58,1678 Brown Ave,NC,28786
Ingles Market,Marion,60,#60,309 W. Henderson St.,NC,28752
Ingles Market,Cornelia,61,#61,199 Habersham County S/C. (US 441),GA,30531
Ingles Market,Asheville,62,#62,575 New Leicester Hwy,NC,28806
Ingles Market,Etowah,63,#63,6400 Brevard Rd.,NC,28729
Ingles Market,Calhoun,64,#64,466 Highway 53 E,GA,30701
Ingles Market,Elberton,65,#65,901 Lower Heard St.,GA,30635
Ingles Market,Hartwell,66,#66,1000 E. Franklin St.,GA,30643
Ingles Market,Brevard,67,#67,684 N. Broad St.,NC,28712
Ingles Market,Clinton,68,#68,312 Jacobs Hwy.,SC,29325
Ingles Market,Greenville,69,#69,1500 Poinsett Hwy.,SC,29609
Ingles Market,Greeneville,70,#70,2845 E. Andrew Johnson Hwy.,TN,37743
Ingles Market,Lenoir City,71,#71,404 Highway 321 N - Unit 1,TN,37771
Ingles Market,Kingsport,72,#72,4345 Ft. Henry Dr.,TN,37664
Ingles Market,Powdersville,73,#73,10903 Anderson Rd.,SC,29673
Ingles Market,Greenville,74,#74,6605 White Horse Rd,SC,29602
Ingles Market,Cartersville,76,#76,879 Joe Frank Harris Pkwy.,GA,30120
Ingles Market,Hendersonville,77,#77,US 176 (Spartanburg Hwy.),NC,28739
Ingles Market,Statesville,78,#78,3219 Taylorsville Rd.,NC,28625
Ingles Market,Asheville,79,#79,780 Hendersonville Rd.,NC,28803
Ingles Market,Mars Hill,80,#80,225 Carl Eller Rd,NC,28754
Ingles Market,West Jefferson,82,#82,60 Ashemont Dr.,NC,28694
Ingles Market,Newland,83,#83,NC 194 at Vale Rd.,NC,28657
Ingles Market,Morristown,85,#85,3980 W. Andrew Johnson Hwy.,TN,37814
Ingles Market,Chatsworth,86,#86,962 G I Maddox Pkwy.,GA,30705
Ingles Market,Madisonville,87,#87,4629 Highway 411,TN,37354
Ingles Market,Athens,88,#88,917 Decatur Pike,TN,37303
Ingles Market,Dallas,89,#89,270 Merchants Square Dr.,GA,30132
Ingles Market,Farragut,91,#91,11847 Kingston Pike,TN,37934
Ingles Market,Duncan,93,#93,2150 E. Main St.,SC,29334
Ingles Market,Seneca,94,#94,211 Ingles Place - US 76/123,SC,29678
