keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Jiffy Lube,OGDEN,1,#1,192 36TH ST ,UT,84405-7121
Jiffy Lube,SALT LAKE CITY,3,#3,9 W 3300 S  ,UT,84115-3711
Jiffy Lube,OMAHA,6,#6,8008 W DODGE RD,NE,68114-3414
Jiffy Lube,POCATELLO  ,11,#11,588 YELLOWSTONE AVE ,ID,83201-4534
Jiffy Lube,SALT LAKE CITY,14,#14,1850 W 4100 S  ,UT,84119-4752
Jiffy Lube,FORT COLLINS  ,17,#17,2549 S COLLEGE AVE  ,CO,80525-1725
Jiffy Lube,EAST LONGMEADOW    ,18,#18,475 N MAIN ST  ,MA,01028-1806
Jiffy Lube,COUNCIL BLUFFS,19,#19,2312 W BROADWAY,IA,51501-3614
Jiffy Lube,LINCOLN    ,20,#20,880 N 27TH ST  ,NE,68503-2522
Jiffy Lube,BALTIMORE  ,23,#23,1704 WOODLAWN DR    ,MD,21207-4005
Jiffy Lube,SIOUX CITY ,24,#24,1219 TRI VIEW AVE   ,IA,51103-4911
Jiffy Lube,FARGO,25,#25,11 10TH ST N,ND,58102-4611
Jiffy Lube,BALTIMORE  ,27,#27,4112 W NORTHERN PKWY,MD,21215-4325
Jiffy Lube,FAYETTEVILLE  ,28,#28,3816 RAEFORD RD,NC,28304-3354
Jiffy Lube,GRAND ISLAND  ,29,#29,3423 W STATE ST,NE,68803-2304
Jiffy Lube,KEARNEY    ,30,#30,1204 2ND AVE,NE,68847-6704
Jiffy Lube,OKLAHOMA CITY ,32,#32,2400 N MERIDIAN AVE ,OK,73107-1033
Jiffy Lube,FREDERICK  ,33,#33,1210 W PATRICK ST   ,MD,21703-3961
Jiffy Lube,BALTIMORE  ,35,#35,8114 LIBERTY RD,MD,21244-3040
Jiffy Lube,ANNANDALE  ,36,#36,4301 BACKLICK RD    ,VA,22003-3141
Jiffy Lube,PHILADELPHIA  ,37,#37,3658 ARAMINGO AVE   ,PA,19134-4608
