keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Jimmy John's,Kalamazoo,3,3 #3,1128 West Michigan Avenue,MI,49008
Jimmy John's,St. Paul,4,4 #4,975 Grand Avenue,MN,55105
Jimmy John's,Marshall,7,7 #7,701 W. Main,WI,53559
Jimmy John's,Ottawa,8,8 #8,1202 Columbus St.,IL,61350
Jimmy John's,Ames,11,11 #11,135 Welch Ave.,IA,50014
Jimmy John's,Peoria,17,17 #17,4700 North University Street,IL,61614
Jimmy John's,Kalamazoo,18,18 #18,2623 West Michigan Avenue,MI,49006
Jimmy John's,DeKalb,24,24 #24,850 Pappas Dr,IL,60115
Jimmy John's,Peoria,27,27 #27,1121 West Main Street,IL,61606
Jimmy John's,Peoria,28,28 #28,208 SW Adams,IL,61605
Jimmy John's,Saginaw,31,31 #31,4342 Bay Road,MI,48603
Jimmy John's,DeForest,32,32 #32,635 South Main Street,WI,53532
Jimmy John's,Saginaw,33,33 #33,118 South Michigan Ave.,MI,48602
Jimmy John's,Chicago,41,41 #41,3328 North Clark Street,IL,60657
Jimmy John's,Lombard,43,43 #43,1235 South Main Street,IL,60148
Jimmy John's,Evanston,44,44 #44,1729 Sherman Ave.,IL,60201
Jimmy John's,Lake Mills,52,52 #52,148 Tyranena Park Ridge Rd,WI,53551
Jimmy John's,St. George,57,57 #57,930 South Bluff,UT,84770
Jimmy John's,St. Louis,61,61 #61,12808 Olive Blvd.,MO,63141
Jimmy John's,Fort Atkinson,67,67 #67,108 Madison Avenue,WI,53538
Jimmy John's,Whitewater,68,68 #68,1139 West Main Street,WI,53190
Jimmy John's,Sun Prairie,69,69 #69,21 Tower Drive,WI,53590
Jimmy John's,Washington,73,73 #73,996 Manifold Road,PA,15301
Jimmy John's,Lexington,75,75 #75,385 South Limestone,KY,40508
Jimmy John's,Milwaukee,78,78 #78,3129 North Oakland Avenue,WI,53211
Jimmy John's,Nashville,80,80 #80,2318 West End Avenue,TN,37203
Jimmy John's,Utica,85,85 #85,2971 East 8th Street,IL,61373
Jimmy John's,Beaver Dam,87,87 #87,803 Park Avenue,WI,53916
Jimmy John's,Pekin,88,88 #88,1631 Broadway Avenue,IL,61554
Jimmy John's,Carbondale,93,93 #93,515 1/2 South Illinois,IL,62901
Jimmy John's,Ames,96,96 #96,4518 Mortensen Rd,IA,50014
Jimmy John's,Joliet,97,97 #97,1108 Houbolt Road,IL,60431
Jimmy John's,Indianapolis,98,98 #98,845 Broad Ripple Avenue,IN,46220
Jimmy John's,St. George,100,100 #100,42 South River rd.,UT,84790
Jimmy John's,St. George,102,102 #102,2376 E. Red Cliffs Dr.,UT,84790
Jimmy John's,Naperville,104,104 #104,8 West Gartner,IL,60540
Jimmy John's,Aurora,105,105 #105,549 South Route 59,IL,60504
Jimmy John's,Lincoln,106,106 #106,101 North 14th,NE,68508
Jimmy John's,Portage,112,112 #112,2643 Newpinery Road,WI,53901
Jimmy John's,Milwaukee,113,113 #113,1532 West Wells Street,WI,53233
Jimmy John's,Clinton,114,114 #114,12 Kelly Court,IL,61727
Jimmy John's,Lincoln,115,115 #115,422 Keokuk Street,IL,62656
Jimmy John's,Columbus,117,117 #117,1860 North High Street,OH,43201
Jimmy John's,Columbus,118,118 #118,1652 Neil Ave.,OH,43201
Jimmy John's,Columbus,119,119 #119,851 West 5th Ave.,OH,43212
Jimmy John's,Columbus,120,120 #120,1039 Polaris Parkway,OH,43240
Jimmy John's,Worthington,121,121 #121,7172 N. High St,OH,43085
Jimmy John's,Germantown,123,123 #123,N112 W16268 Mequon Road,WI,53022
Jimmy John's,Mt. Pleasant,131,131 #131,1901 South Mission Street,MI,48858
Jimmy John's,Jacksonville,134,134 #134,328 East Morton Avenue,IL,62650
Jimmy John's,Springfield,135,135 #135,3128 South Sixth Street,IL,62703
Jimmy John's,Springfield,136,136 #136,2925 W. Iles Ave.,IL,62704
Jimmy John's,Springfield,137,137 #137,219 S. 6th St.,IL,62701
Jimmy John's,Big Rapids,149,149 #149,21445 Perry Street,MI,49307
Jimmy John's,Royal Oak,150,150 #150,413 South Main Street,MI,48067
Jimmy John's,Chicago,156,156 #156,249 South State Street,IL,60604
Jimmy John's,Schaumburg,157,157 #157,Woodfield Mall(G-135)-By Sears LL,IL,60173
Jimmy John's,Quincy,158,158 #158,1828 Broadway,IL,62301
Jimmy John's,Pocatello,159,159 #159,625 South Fifth Street,ID,83201
Jimmy John's,Indianapolis,161,161 #161,2624 Lake Circle Drive,IN,46268
Jimmy John's,Columbia,162,162 #162,1019 East Broadway,MO,65201
Jimmy John's,Peru,167,167 #167,1318 W. 38th Street,IL,61354
Jimmy John's,Tallahassee,168,168 #168,1080 West Tennessee Street,FL,32304
Jimmy John's,Tallahassee,169,169 #169,2047 W. Pensacola Street,FL,32304
Jimmy John's,Tallahassee,171,171 #171,1890 Thomasville Rd,FL,32303
Jimmy John's,Tallahassee,172,172 #172,1450 Timberlane Rd,FL,32312
Jimmy John's,Alton,178,178 #178,92 North Port Drive,IL,62002
