keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Kaiser,Wildomar,100001,1 #1 100001 20901,36485 Inland Valley Drive,CA,92595
Kaiser,San Bernardino,100005,5 #5 100005 20905,2101 N. Waterman Avenue,CA,92404
Kaiser,Palm Desert,100010,10 #10 100010 209010,"72-630 Fred Waring Drive, Suite 101",CA,92260
Kaiser,Downey,100016,16 #16 100016 209016,9449 Imperial Highway,CA,90242
Kaiser,San Diego,100017,17 #17 100017 209017,4510 Viewridge Ave.,CA,92123
Kaiser,Yucca Valley,100019,19 #19 100019 209019,"58471 29 Palms Highway, Suite 303",CA,92284
Kaiser,Ontario,100020,20 #20 100020 209020,3330 Centre Lake Drive,CA,91761
Kaiser,Downey,100021,21 #21 100021 209021,9353 Imperial Highway,CA,90242
Kaiser,Palm Springs,100022,22 #22 100022 209022,"1100 N. Palm Canyon Drive, Suite 208",CA,92262
Kaiser,Ontario,100023,23 #23 100023 209023,2295 S. Vineyard Ave.,CA,91761
Kaiser,Bakersfield,100024,24 #24 100024 209024,4801 Coffee Road,CA,93308
Kaiser,Yorba Linda,100025,25 #25 100025 209025,22550 Savi Ranch Parkway,CA,92887
Kaiser,Los Angeles,100026,26 #26 100026 209026,6041 Cadillac Ave.,CA,90034
Kaiser,West Covina,100028,28 #28 100028 209028,1511 West Garvey Ave. North,CA,91790
Kaiser,Whittier,100029,29 #29 100029 209029,12470 Whittier Blvd.,CA,90602
Kaiser,San Diego,100031,31 #31 100031 209031,4405 Vandever Ave.,CA,92120
Kaiser,Riverside,100032,32 #32 100032 209032,3951 Van Buren Blvd.,CA,92503
Kaiser,West Covina,100036,36 #36 100036 209036,1249 S Sunset Ave.,CA,91790
Kaiser,Santa Ana,100037,37 #37 100037 209037,1900 E. 4th St.,CA,92705
Kaiser,Thousand Oaks,100039,39 #39 100039 209039,365 E. Hillcrest Drive,CA,91360
Kaiser,Thousand Oaks,100040,40 #40 100040 209040,145 Hodencamp Road,CA,91360
Kaiser,Wildomar,100041,41 #41 100041 209041,36450 Inland Valley Drive,CA,92595
Kaiser,Bakersfield,100042,42 #42 100042 209042,3501 Stockdale Highway,CA,93309
Kaiser,Simi Valley,100043,43 #43 100043 209043,3900 Alamo St.,CA,93063
Kaiser,Reseda,100044,44 #44 100044 209044,18040 Sherman Way,CA,91335
Kaiser,Harbor City,100045,45 #45 100045 209045,25825 Vermont Ave.,CA,90710
Kaiser,Santa Clarita,100046,46 #46 100046 209046,27201 Tourney Road,CA,91355
Kaiser,Santa Clarita,100047,47 #47 100047 209047,27107 Tourney Rd.,CA,91355
Kaiser,Torrance,100048,48 #48 100048 209048,20790 Madrona Ave.,CA,90503
Kaiser,Irvine,100049,49 #49 100049 209049,6670 Alton Parkway,CA,92618
Kaiser,San Diego,100050,50 #50 100050 209050,10990 San Diego Mission Road,CA,92108
Kaiser,Palm Desert,100051,51 #51 100051 209051,University Park Centre 75-036 Gerald Ford Drive,CA,92211
Kaiser,San Diego,100052,52 #52 100052 209052,6511 Mission Gorge Rd.,CA,92120
Kaiser,San Juan Capistrano,100053,53 #53 100053 209053,30400 Camino Capistrano,CA,92675
Kaiser,San Bernardino,100055,55 #55 100055 209055,1717 E. Date Place,CA,92404
Kaiser,Bellflower,100056,56 #56 100056 209056,9333 E. Rosecrans Ave.,CA,90706
Kaiser,Riverside,100057,57 #57 100057 209057,10800 Magnolia Ave.,CA,92505
Kaiser,La Mesa,100058,58 #58 100058 209058,3875 Avocado Blvd.,CA,91941
Kaiser,Rancho Cucamonga,100059,59 #59 100059 209059,10850 Arrow Route,CA,91730
Kaiser,San Diego,100060,60 #60 100060 209060,7035 Convoy Court,CA,92111
Kaiser,San Bernardino,100061,61 #61 100061 209061,325 W. Hospitality Lane Suite 312,CA,92408
Kaiser,Riverside,100062,62 #62 100062 209062,10689 Magnolia Ave.,CA,92505
Kaiser,Culver City,100063,63 #63 100063 209063,5620 Mesmer Ave.,CA,90230
Kaiser,Pasadena,100064,64 #64 100064 209064,3280 E. Foothill Blvd.,CA,91107
Kaiser,Panorama City,100065,65 #65 100065 209065,13651 Willard Street,CA,91402
Kaiser,Escondido,100066,66 #66 100066 209066,555 East Valley Parkway,CA,92025
Kaiser,Palmdale,100067,67 #67 100067 209067,4502 E. Avenue S,CA,93552
Kaiser,Palm Springs,100068,68 #68 100068 209068,"1717 E. Vista Chino, Suite B-2",CA,92262
Kaiser,Oxnard,100070,70 #70 100070 209070,2200 E. Gonzales Road,CA,93036
Kaiser,Anaheim,100071,71 #71 100071 209071,5475 E. La Palma Ave. Suite 201,CA,92807
Kaiser,Orange,100072,72 #72 100072 209072,4201 W. Chapman Ave.,CA,92868
Kaiser,Orange,100073,73 #73 100073 209073,200 N. Lewis St.,CA,92868
Kaiser,Pasadena,100074,74 #74 100074 209074,"1055 E. Colorado Blvd., Suite 100",CA,91106
Kaiser,San Diego,100077,77 #77 100077 209077,4647 Zion Ave.,CA,92120
Kaiser,Northridge,100078,78 #78 100078 209078,"19300 Rinaldi St., Suite I",CA,91326
Kaiser,San Dimas,100079,79 #79 100079 209079,1255 W. Arrow Highway,CA,91773
Kaiser,Moreno Valley,100080,80 #80 100080 209080,12815 Heacock St.,CA,92553
Kaiser,Montclair,100081,81 #81 100081 209081,5330 San Bernardino St.,CA,91763
Kaiser,Bakersfield,100082,82 #82 100082 209082,8800 Ming Ave.,CA,93311
Kaiser,Mission Viejo,100084,84 #84 100084 209084,23781 Maquina Ave.,CA,92691
Kaiser,San Diego,100086,86 #86 100086 209086,3250 Fordham St.,CA,92110
Kaiser,San Diego,100087,87 #87 100087 209087,17140 Bernardo Center Drive,CA,92128
Kaiser,Riverside,100088,88 #88 100088 209088,10917 Magnolia Ave.,CA,92505
Kaiser,Los Angeles,100089,89 #89 100089 209089,4867 W Sunset Blvd.,CA,90027
Kaiser,Montebello,100091,91 #91 100091 209091,1550 Town Center Drive,CA,90640
Kaiser,Lomita,100092,92 #92 100092 209092,2081 Palos Verdes Drive North,CA,90717
Kaiser,Lancaster,100093,93 #93 100093 209093,43112 15th St. West,CA,93534
Kaiser,Anaheim,100094,94 #94 100094 209094,411 N. Lakeview Ave.,CA,92807
Kaiser,La Palma,100098,98 #98 100098 209098,5 Centerpointe Drive,CA,90623
Kaiser,Vista,100099,99 #99 100099 209099,780 Shadowridge Drive,CA,92083
Kaiser,Los Angeles,100100,100 #100 100100 2090100,5105 W. Goldleaf Circle,CA,90056
Kaiser,Irvine,100101,101 #101 100101 2090101,6 Willard,CA,92604
Kaiser,Inglewood,100105,105 #105 100105 2090105,"3451 W Century Blvd., Suite B-3",CA,90303
Kaiser,Inglewood,100106,106 #106 100106 2090106,110 N. La Brea Ave.,CA,90301
Kaiser,Downey,100108,108 #108 100108 2090108,12200 Bellflower Blvd.,CA,90242
Kaiser,Claremont,100109,109 #109 100109 2090109,250 W. San Jose Street,CA,91711
Kaiser,Long Beach,100111,111 #111 100111 2090111,3900 E. Pacific Coast Highway,CA,90804
Kaiser,Huntington Beach,100113,113 #113 100113 2090113,18081 Beach Blvd.,CA,92648
Kaiser,Los Angeles,100114,114 #114 100114 2090114,765 W. College St.,CA,90012
Kaiser,Santa Ana,100115,115 #115 100115 2090115,3401 S. Harbor Blvd.,CA,92704
Kaiser,Glendale,100117,117 #117 100117 2090117,444 W. Glenoaks Blvd.,CA,91202
