keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Kwik Shop,Davenport,67200593,593 #593 #0593 67200593 67100593,303 W Locust St,IA,52803
Kwik Shop,Bellevue,67200670,670 #670 #0670 67200670 67100670,2103 Capehart Rd,NE,68123
Kwik Shop,Omaha,67200673,673 #673 #0673 67200673 67100673,5306 N 103Rd St,NE,68134
Kwik Shop,Topeka,67200713,713 #713 #0713 67200713 67100713,5700 Sw 21St St,KS,66604
Kwik Shop,Wichita,67200727,727 #727 #0727 67200727 67100727,7107 W 37Th St N,KS,67205
Kwik Shop,Newton,67200730,730 #730 #0730 67200730 67100730,1315 Washington Rd,KS,67114
Kwik Shop,Newton,67200735,735 #735 #0735 67200735 67100735,1220 N Main St,KS,67114
Kwik Shop,Derby,67200751,751 #751 #0751 67200751 67100751,200 W Patriot Ave,KS,67037
Kwik Shop,Wichita,67200754,754 #754 #0754 67200754 67100754,4811 S Seneca St,KS,67217
Kwik Shop,Goddard,67200756,756 #756 #0756 67200756 67100756,20300 W Kellogg Dr,KS,67052
Kwik Shop,Valley Center,67200771,771 #771 #0771 67200771 67100771,110 E 5Th St,KS,67147
Kwik Shop,Topeka,67200780,780 #780 #0780 67200780 67100780,2520 SW 6Th Ave,KS,66606
Kwik Shop,Wichita,67200790,790 #790 #0790 67200790 67100790,3750 North Maize Rd.,KS,67205
Kwik Shop,Germantown,67100201,201 #201 #0201 67200201 67100201,9423 Poplar Ave Hwy 72,TN,38138
Kwik Shop,Cordova,67100202,202 #202 #0202 67200202 67100202,1210 N Germantown Pkwy,TN,38016
Kwik Shop,Bartlett,67100203,203 #203 #0203 67200203 67100203,6740 Stage Rd,TN,38134
Kwik Shop,Memphis,67100204,204 #204 #0204 67200204 67100204,751 Truse Pkwy,TN,38117
Kwik Shop,Memphis,67100205,205 #205 #0205 67200205 67100205,5274 Riverdale Rd,TN,38141
Kwik Shop,Memphis,67100206,206 #206 #0206 67200206 67100206,9027 US Hwy 64,TN,38002
Kwik Shop,Horn Lake,67100300,300 #300 #0300 67200300 67100300,3950 Goodman Rd W,MS,38637
Kwik Shop,Southaven,67100301,301 #301 #0301 67200301 67100301,945A Goodman Rd E,MS,38671
Kwik Shop,Carter Lake,67200520,520 #520 #0520 67200520 67100520,1202 Locust St,IA,51510
Kwik Shop,Council Bluffs,67200527,527 #527 #0527 67200527 67100527,3632 Avenue G,IA,51501
Kwik Shop,Council Bluffs,67200532,532 #532 #0532 67200532 67100532,1602 Avenue G,IA,51501
Kwik Shop,Glenwood,67200541,541 #541 #0541 67200541 67100541,309 N Locust St,IA,51534
Kwik Shop,Cedar Rapids,67200560,560 #560 #0560 67200560 67100560,3301 J St Sw,IA,52404
Kwik Shop,Cedar Rapids,67200561,561 #561 #0561 67200561 67100561,2904 Center Point Rd Ne,IA,52402
Kwik Shop,Cedar Rapids,67200563,563 #563 #0563 67200563 67100563,1001 1St Ave Sw,IA,52405
