keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Lamps Plus,North Hollywood,#01,#01 01,12206 Sherman Way,CA,91605
Lamps Plus,Huntington Beach,#03,#03 03,7262 Edinger Ave,CA,92647
Lamps Plus,San Diego,#04,#04 04,1303 W Morena Blvd,CA,92110
Lamps Plus,Artesia,#05,#05 05,11711 South St,CA,90701
Lamps Plus,Torrance,#06,#06 06,18989 Hawthorne Blvd.,CA,90504
Lamps Plus,Laguna Hills,#08,#08 08,23451 Avenida De La Carlota (3/4 mile N. of El Toro Rd.),CA,92653
Lamps Plus,Pasadena,#09,#09 09,3705 Huntington Dr,CA,91107
Lamps Plus,West Los Angeles,#10,#10 10,2012 S Bundy Dr,CA,90025
Lamps Plus,Orange,#11,#11 11,805 W Katella Ave,CA,92867
Lamps Plus,Chatsworth,#12,#12 12,20244 Plummer St,CA,91311
Lamps Plus,La Mesa,#14,#14 14,8375 Hercules St,CA,91942
Lamps Plus,Ventura,#15,#15 15,4723 Telephone Rd,CA,93003
Lamps Plus,Las Vegas,#16,#16 16,2965 S Maryland Pkwy,NV,89109
Lamps Plus,Oceanside,#18,#18 18,2598 Vista Way,CA,92054
Lamps Plus,Fair Oaks - Sacramento,#21,#21 21,5347 Sunrise Blvd,CA,95628
Lamps Plus,Brea,#23,#23 23,956 E Imperial Hwy,CA,92821
Lamps Plus,Los Angeles,#25,#25 25,200 S La Brea Ave,CA,90036
Lamps Plus,San Rafael,#27,#27 27,610B Du Bois St,CA,94901
Lamps Plus,Westminster,#28,#28 28,7375 W 88th Ave.,CO,80021
Lamps Plus,San Francisco,#29,#29 29,4700 Geary Blvd,CA,94118
Lamps Plus,Denver,#30,#30 30,1547 S Colorado Blvd,CO,80222
Lamps Plus,Pleasant Hill,#35,#35 35,550 Contra Costa,CA,94523
Lamps Plus,Fresno,#36,#36 36,84 E Shaw Ave,CA,93710
Lamps Plus,Scottsdale,#38,#38 38,9020 E Indian Bend Rd,AZ,85250
Lamps Plus,San Mateo,#39,#39 39,2745 S El Camino Real,CA,94403
Lamps Plus,Beaverton,#41,#41 41,8748 SW Hall Blvd,OR,97223
Lamps Plus,Chandler,#42,#42 42,900 N 54th St,AZ,85226
Lamps Plus,Dallas,#43,#43 43,3319 Knox St,TX,75205
Lamps Plus,Plano,#44,#44 44,1705 Preston Rd,TX,75093
Lamps Plus,Summerlin,#45,#45 45,8800 W Charleston Blvd (at Boca Park near Target),NV,89117
Lamps Plus,Rancho Mirage,#46,#46 46,71905 Highway 111,CA,92270
Lamps Plus,Arlington,#47,#47 47,1540 W. Interstate 20,TX,76017
Lamps Plus,Dublin,#48,#48 48,7256 San Ramon Rd,CA,94568
Lamps Plus,Portland,#49,#49 49,9369 SE 82nd Ave,OR,97086
Lamps Plus,Peoria,#60,#60 60,16680 N 83rd Ave,AZ,85382
Lamps Plus,Henderson,#61,#61 61,30 N. Stephanie St.,NV,89074
