keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Life time Fitness,Eagan,2,#2 2,1565 Thomas Center Drive,MN,55122
Life time Fitness,Woodbury,3,#3 3,675 Commons Drive,MN,55125
Life time Fitness,Roseville,4,#4 4,2480 Fairview Avenue North,MN,55113
Life time Fitness,St Paul,5,#5 5,2145 Ford Parkway,MN,55116
Life time Fitness,Coon Rapids,6,#6 6,2100 Northdale Boulevard NW,MN,55433
Life time Fitness,Bloomington,7,#7 7,5250 West 84th Street,MN,55437
Life time Fitness,Plymouth,8,#8 8,3600 Plymouth Boulevard,MN,55446
Life time Fitness,Apple Valley,10,#10 10,5995 149th Street West,MN,55124
Life time Fitness,Minneapolis,11,#11 11,615 Second Avenue South,MN,55402
Life time Fitness,Champlin,12,#12 12,11989 Champlin Drive,MN,55316
Life time Fitness,Algonquin,14,#14 14,451 Rolls Drive,IL,60102
Life time Fitness,Orland Park,15,#15 15,16333 South La Grange Rd.,IL,60467
Life time Fitness,Troy,20,#20 20,4700 Investment Drive,MI,48098
Life time Fitness,Novi,21,#21 21,40000 High Pointe Boulevard,MI,48375
Life time Fitness,Shelby,22,#22 22,14843 Lakeside Blvd.,MI,48315
Life time Fitness,INpolis,30,#30 30,8705 Castle Creek Parkway,IN,46250
Life time Fitness,Centreville,35,#35 35,5900 Trinity Parkway,VA,20120
Life time Fitness,Fairfax,36,#36 36,9602 Main Street,VA,22031
Life time Fitness,Columbus,40,#40 40,3900 Easton Station,OH,43219
Life time Fitness,Schaumburg,50,#50 50,900 East Higgins Road,IL,60173
Life time Fitness,Bloomingdale,51,#51 51,455 Scott Drive,IL,60108
Life time Fitness,Warrenville,52,#52 52,28141 Diehl Rd,IL,60555
Life time Fitness,Burr Ridge,53,#53 53,601 Burr Ridge Parkway,IL,60527
Life time Fitness,Rochester Hills,126,#126 126,200 West Avon Road,MI,48307
Life time Fitness,Skokie,128,#128 128,5300 Old Orchard Road,IL,60077
Life time Fitness,Canton,131,#131 131,1700 Haggerty Road North,MI,48187
Life time Fitness,Tempe,132,#132 132,1616 West Ruby Drive,AZ,85284
Life time Fitness,Savage,133,#133 133,6554 Loftus Lane West,MN,55378
Life time Fitness,Plano,136,#136 136,7100 Preston Road,TX,75024
Life time Fitness,Gilbert,137,#137 137,381 East Warner Road,AZ,85296
Life time Fitness,Houston,138,#138 138,7717 Willowchase Blvd,TX,77070
Life time Fitness,Garland,139,#139 139,5602 Naaman Forest Blvd.,TX,75044
Life time Fitness,Sugar Land,140,#140 140,1331 Highway 6,TX,77478
Life time Fitness,New Hope,141,#141 141,4239 Winnetka Ave. No.,MN,55428
Life time Fitness,Colleyville,142,#142 142,1221 Church Street,TX,76034
Life time Fitness,Flower Mound,143,#143 143,3100 Churchill Drive,TX,75022
Life time Fitness,Commerce Township,144,#144 144,2901 Commerce Crossing Blvd,MI,48390
Life time Fitness,Katy,146,#146 146,23211 Cinco Ranch Blvd.,TX,77494
Life time Fitness,Dallas,147,#147 147,3419 Trinity Mills Road,TX,75287
Life time Fitness,Columbia,148,#148 148,7220 Lee DeForest Dr.,MD,21046
Life time Fitness,Austin,149,#149 149,13725 No. R.M. 620,TX,78717
Life time Fitness,Romeoville,150,#150 150,1220 Lakeview Drive,IL,60446
Life time Fitness,Chanhassen,151,#151 151,2901 Corporate Place,MN,55317
Life time Fitness,San Antonio,152,#152 152,18510 US 281 North,TX,78259
Life time Fitness,Allen,153,#153 153,971 State Hwy 121,TX,75013
Life time Fitness,South Jordan,154,#154 154,10996 South River Front Pkwy,UT,84095
Life time Fitness,Scottsdale,155,#155 155,6850 East Chauncey Lane,AZ,85054
Life time Fitness,Goodyear,156,#156 156,14540 West McDowell Road,AZ,85395
Life time Fitness,Overland Park,157,#157 157,6800 West 138th Street,KS,66223
Life time Fitness,Alpharetta,158,#158 158,855 North Point Parkway,GA,30005
Life time Fitness,Dublin,159,#159 159,3825 Hard Road,OH,43016
Life time Fitness,Cary,160,#160 160,1700 Regency Parkway,NC,27518
Life time Fitness,Omaha,161,#161 161,17007 Elm St.,NE,68130
Life time Fitness,Deerfield Township,162,#162 162,8310 Wilkens Blvd,OH,45040
Life time Fitness,Austin,163,#163 163,7101 S. MoPac Expy NB,TX,78749
Life time Fitness,Lakeville,164,#164 164,18425 Dodd Blvd,MN,55044
Life time Fitness,Florham Park,165,#165 165,14 Fernwood Road,NJ,7932
