keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Love's Travel Stops,Watonga,1,00001X COUNTRY00001X COUNTRY000001X,304 W. Russworm,OK,73772
Love's Travel Stops,Kingfisher,5,00005X COUNTRY00005X COUNTRY000005X,203 S. Main,OK,73750
Love's Travel Stops,Gunnison,7,00007X COUNTRY00007X COUNTRY000007X,108 S. 12th,CO,81230
Love's Travel Stops,Altus,8,00008X COUNTRY00008X COUNTRY000008X,619 N. Main,OK,73521
Love's Travel Stops,Hollis,10,000010X COUNTRY000010X COUNTRY0000010X,408 E. Broadway,OK,73550
Love's Travel Stops,Great Bend,11,000011X COUNTRY000011X COUNTRY0000011X,1221 10th Street,KS,67530
Love's Travel Stops,LaJunta,12,000012X COUNTRY000012X COUNTRY0000012X,308 East 1st,CO,81050
Love's Travel Stops,Marlow,13,000013X COUNTRY000013X COUNTRY0000013X,811 N. Broadway,OK,73055
Love's Travel Stops,Fairview,15,000015X COUNTRY000015X COUNTRY0000015X,401 N. Main,OK,73737
Love's Travel Stops,Woodward,16,000016X COUNTRY000016X COUNTRY0000016X,3020 NW Williams Ave.,OK,73801
Love's Travel Stops,Alva,18,000018X COUNTRY000018X COUNTRY0000018X,607 E. Oklahoma Blvd.,OK,73717
Love's Travel Stops,Guymon,19,000019X COUNTRY000019X COUNTRY0000019X,101 SE 2nd St.,OK,73942
Love's Travel Stops,Beaver,21,000021X COUNTRY000021X COUNTRY0000021X,801 Douglas,OK,73932
Love's Travel Stops,Clayton,22,000022X COUNTRY000022X COUNTRY0000022X,703 South 1st,NM,88415
Love's Travel Stops,Lamar,23,000023X COUNTRY000023X COUNTRY0000023X,605 N. Main,CO,81052
Love's Travel Stops,Liberal,24,000024X COUNTRY000024X COUNTRY0000024X,208 West Pancake Blvd.,KS,67901
Love's Travel Stops,Purcell,28,000028X COUNTRY000028X COUNTRY0000028X,225 North Green Ave.,OK,73080
Love's Travel Stops,Duncan,29,000029X COUNTRY000029X COUNTRY0000029X,202 West Main,OK,73533
Love's Travel Stops,Monte Vista,30,000030X COUNTRY000030X COUNTRY0000030X,1537 Grande Ave.,CO,81144
Love's Travel Stops,Elk City,31,000031X COUNTRY000031X COUNTRY0000031X,2703 East 66,OK,73644
Love's Travel Stops,Pratt,32,000032X COUNTRY000032X COUNTRY0000032X,1412 East 1st,KS,67124
Love's Travel Stops,Mangum,33,000033X COUNTRY000033X COUNTRY0000033X,301 N. Louis Tittle,OK,73554
Love's Travel Stops,Buffalo,36,000036X COUNTRY000036X COUNTRY0000036X,Hwy 64 & Brule,OK,73834
Love's Travel Stops,Springfield,37,000037X COUNTRY000037X COUNTRY0000037X,1100 Main,CO,81073
Love's Travel Stops,Lamar,38,000038X COUNTRY000038X COUNTRY0000038X,301 East Olive,CO,81052
Love's Travel Stops,Syracuse,39,000039X COUNTRY000039X COUNTRY0000039X,208 E. Hwy 50,KS,67878
Love's Travel Stops,Hays,44,000044X COUNTRY000044X COUNTRY0000044X,2500 Vine Street,KS,67601
Love's Travel Stops,Hooker,46,000046X COUNTRY000046X COUNTRY0000046X,201 E. Hwy 54,OK,73945
Love's Travel Stops,Woodward,47,000047X COUNTRY000047X COUNTRY0000047X,2615 Oklahoma,OK,73801
Love's Travel Stops,Hennessey,48,000048X COUNTRY000048X COUNTRY0000048X,721 South Main,OK,73742
Love's Travel Stops,Shawnee,49,000049X COUNTRY000049X COUNTRY0000049X,1005 North Kickapoo,OK,74801
Love's Travel Stops,Pauls Valley,50,000050X COUNTRY000050X COUNTRY0000050X,309 West Grant,OK,73075
Love's Travel Stops,Tecumseh,51,000051X COUNTRY000051X COUNTRY0000051X,100 East Walnut,OK,74873
Love's Travel Stops,Ada,52,000052X COUNTRY000052X COUNTRY0000052X,300 N. Mississippi,OK,74820
Love's Travel Stops,Ardmore,54,000054X COUNTRY000054X COUNTRY0000054X,3201 NW 12th,OK,73401
Love's Travel Stops,Comanche,55,000055X COUNTRY000055X COUNTRY0000055X,120 S. Rodeo Dr.,OK,73529
Love's Travel Stops,Marlow,56,000056X COUNTRY000056X COUNTRY0000056X,701 South Broadway,OK,73055
Love's Travel Stops,Henryetta,57,000057X COUNTRY000057X COUNTRY0000057X,413 East Main,OK,74437
Love's Travel Stops,Dodge City,58,000058X COUNTRY000058X COUNTRY0000058X,1108 W. Wyatt Earp,KS,67801
Love's Travel Stops,Phillipsburg,59,000059X COUNTRY000059X COUNTRY0000059X,709 East State Street,KS,67661
Love's Travel Stops,Norton,60,000060X COUNTRY000060X COUNTRY0000060X,303 W. Holme St.,KS,67654
Love's Travel Stops,Colby,61,000061X COUNTRY000061X COUNTRY0000061X,265 West 4th,KS,67701
Love's Travel Stops,Dodge City,62,000062X COUNTRY000062X COUNTRY0000062X,400 E. Wyatt Earp,KS,67801
Love's Travel Stops,Durant,68,000068X COUNTRY000068X COUNTRY0000068X,1223 North 1st,OK,74702
Love's Travel Stops,Durant,69,000069X COUNTRY000069X COUNTRY0000069X,524 West Main,OK,74702
Love's Travel Stops,Miami,73,000073X COUNTRY000073X COUNTRY0000073X,1015 E. Steve Owens,OK,74354
Love's Travel Stops,Lindsay,74,000074X COUNTRY000074X COUNTRY0000074X,502 West Cherokee,OK,73052
Love's Travel Stops,Tahlequah,78,000078X COUNTRY000078X COUNTRY0000078X,111 E. Downing,OK,74464
Love's Travel Stops,Ada,80,000080X COUNTRY000080X COUNTRY0000080X,524 West Main,OK,74820
Love's Travel Stops,Madill,84,000084X COUNTRY000084X COUNTRY0000084X,411 South 1st,OK,73446
Love's Travel Stops,Guthrie,85,000085X COUNTRY000085X COUNTRY0000085X,1223 S. Division,OK,73044
Love's Travel Stops,Chickasha,86,000086X COUNTRY000086X COUNTRY0000086X,1326 S. 4th,OK,73018
Love's Travel Stops,Yukon,88,000088X COUNTRY000088X COUNTRY0000088X,1016 West Main,OK,73099
Love's Travel Stops,Broken Bow,94,000094X COUNTRY000094X COUNTRY0000094X,504 South Park Ave.,OK,74728
Love's Travel Stops,Chickasha,95,000095X COUNTRY000095X COUNTRY0000095X,1001 W. Choctaw,OK,73018
Love's Travel Stops,Arkansas City,97,000097X COUNTRY000097X COUNTRY0000097X,1712 North Summit,KS,67005
Love's Travel Stops,El Reno,114,0000114X COUNTRY0000114X COUNTRY00000114X,1645 E. Hwy 66,OK,73036
Love's Travel Stops,Oklahoma City,123,0000123X COUNTRY0000123X COUNTRY00000123X,8005 S. Morgan Rd.,OK,73120
Love's Travel Stops,Amarillo,200,0000200X COUNTRY0000200X COUNTRY00000200X,"I-40, Exit 74",TX,79120
Love's Travel Stops,Elk City,201,0000201X COUNTRY0000201X COUNTRY00000201X,"I-40, Exit 41",OK,73644
Love's Travel Stops,Oklahoma City,203,0000203X COUNTRY0000203X COUNTRY00000203X,"I-40, Exit 140",OK,73128
Love's Travel Stops,Eufaula,204,0000204X COUNTRY0000204X COUNTRY00000204X,"Hwy 69, Exit Birkes Rd.",OK,74432
Love's Travel Stops,Oklahoma City,205,0000205X COUNTRY0000205X COUNTRY00000205X,"I-35, Exit 137",OK,73131
Love's Travel Stops,Loxley,206,0000206X COUNTRY0000206X COUNTRY00000206X,"I-10, Exit 44",AL,36551
Love's Travel Stops,Coachella,207,0000207X COUNTRY0000207X COUNTRY00000207X,"I-10, Exit 146",CA,92236
Love's Travel Stops,Canton,208,0000208X COUNTRY0000208X COUNTRY00000208X,"I-55, Exit 119",MS,39046
Love's Travel Stops,Greenwood,209,0000209X COUNTRY0000209X COUNTRY00000209X,"I-20, Exit 3",LA,71033
Love's Travel Stops,Albuquerque,210,0000210X COUNTRY0000210X COUNTRY00000210X,"I-40, Exit 158",NM,87102
Love's Travel Stops,Oklahoma City,211,0000211X COUNTRY0000211X COUNTRY00000211X,"I-35, Exit 120",OK,73149
Love's Travel Stops,Tonkawa,213,0000213X COUNTRY0000213X COUNTRY00000213X,"I-35, Exit 211",OK,74653
Love's Travel Stops,El Paso,214,0000214X COUNTRY0000214X COUNTRY00000214X,"I-10, Exit 37",TX,79928
Love's Travel Stops,Gallup,215,0000215X COUNTRY0000215X COUNTRY00000215X,"I-40, Exit 16",NM,87301
Love's Travel Stops,Midlothian,216,0000216X COUNTRY0000216X COUNTRY00000216X,"Hwy 67, Exit Hwy 287",TX,76065
Love's Travel Stops,Denton,217,0000217X COUNTRY0000217X COUNTRY00000217X,"I-35, Exit 473",TX,76207
Love's Travel Stops,Guthrie,218,0000218X COUNTRY0000218X COUNTRY00000218X,"I-35, Exit 157",OK,73044
Love's Travel Stops,Seminole,219,0000219X COUNTRY0000219X COUNTRY00000219X,"I-40, Exit 200",OK,74868
Love's Travel Stops,Cheyenne,220,0000220X COUNTRY0000220X COUNTRY00000220X,"I-25, Exit 7",WY,82007
Love's Travel Stops,Zanesville,221,0000221X COUNTRY0000221X COUNTRY00000221X,"I-70, Exit 160",OH,43701
Love's Travel Stops,Richmond,222,0000222X COUNTRY0000222X COUNTRY00000222X,"I-70, Exit 149B",IN,47374
Love's Travel Stops,Ripon,223,0000223X COUNTRY0000223X COUNTRY00000223X,"Hwy 99, Exit 237B",CA,95366
Love's Travel Stops,Evergreen,225,0000225X COUNTRY0000225X COUNTRY00000225X,"I-65, Exit 93",AL,36401
Love's Travel Stops,Pueblo,226,0000226X COUNTRY0000226X COUNTRY00000226X,"I-25, Exit 104",CO,81008
