keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Lowe's,WILKESBORO,1998,#01998*,1605 CURTIS BRIDGE ROAD,NC,28697
Lowe's,MOORESVILLE,1999,#01999*,1000 LOWE'S BOULEVARD,NC,28115
Lowe's,COLUMBUS,3,#03*,2888 BRICE ROAD,OH,43232
Lowe's,SEATTLE,4,#04*,2700 RAINIER AVENUE SOUTH,WA,98144
Lowe's,SHAWNEE,5,#05*,4817 NORTH KICKAPOO STREET,OK,74804
Lowe's,COLUMBIA,8,#08*,201 CONLEY ROAD NORTH,MO,65201
Lowe's,BELLEFONTAINE,9,#09*,2168 US 68 SOUTH,OH,43311
Lowe's,TUKWILA,10,#010*,101 ANDOVER PARK EAST,WA,98188
Lowe's,LAFAYETTE,12,#012*,100 NORTH CREASY LANE,IN,47905
Lowe's,LAYTON,15,#015*,1055 W. ANTELOPE DRIVE,UT,84041
Lowe's,MADISONVILLE,16,#016*,550 ISLAND FORD ROAD,KY,42431
Lowe's,COEUR D ALENE,18,#018*,901 APPLEWAY AVENUE,ID,83814
Lowe's,FREMONT,19,#019*,"1952 NORTH STATE, ROUTE 53",OH,43420
Lowe's,KAHULUI,21,#021*,"270 DAIRY ROAD, BUILDING A",HI,96732
Lowe's,LEBANON,22,#022*,1755 QUENTIN ROAD,PA,17042
Lowe's,TACOMA,26,#026*,2701 SOUTH ORCHARD STREET,WA,98466
Lowe's,TEXAS CITY,28,#028*,3620 EMMETT F. LOWRY EXPWAY,TX,77590
Lowe's,HENDERSONVILLE,31,#031*,"1415 - 7TH AVENUE, EAST",NC,28792
Lowe's,NEWNAN,33,#033*,955 BULLSBORO DRIVE,GA,30265
Lowe's,MOUNT VERNON,35,#035*,1717 FREEWAY DRIVE,WA,98273
Lowe's,HILLIARD,37,#037*,3600 PARK MILL RUN DRIVE,OH,43026
Lowe's,BELLEVUE,40,#040*,11959 NORTHUPWAY,WA,98005
Lowe's,TROTWOOD,42,#042*,5252 SALEM AVENUE,OH,45426
Lowe's,STEUBENVILLE,44,#044*,4115 MALL DRIVE,OH,43952
Lowe's,BENTON HARBOR,46,#046*,1300 MALL DRIVE,MI,49022
Lowe's,DANVILLE,52,#052*,3636 NORTH VERMILLION,IL,61832
Lowe's,FORT WAYNE,53,#053*,4430 ILLINOIS ROAD,IN,46804
Lowe's,NORWALK,56,#056*,14873 CARMENITA ROAD,CA,90650
Lowe's,BURLINGTON,57,#057*,3435 AGENCY,IA,52601
Lowe's,DEKALB,59,#059*,2050 SYCAMORE ROAD,IL,60115
Lowe's,ARLINGTON,61,#061*,3300 169TH PLACE NE,WA,98223
Lowe's,MIDLAND,63,#063*,3315 NORTH LOOP 250 W.,TX,79707
Lowe's,MOUNT VERNON,66,#066*,111 DAVIDSON AVENUE,IL,62864
Lowe's,BATTLE CREEK,69,#069*,"6122 B"" DRIVE NORTH""",MI,49014
Lowe's,GOSHEN,71,#071*,2219 RIETH BOULEVARD,IN,46526
Lowe's,PONCA CITY,72,#072*,3500 NORTH 14TH STREET,OK,74601
Lowe's,WICHITA FALLS,75,#075*,3301 KELL BLVD.,TX,76308
Lowe's,SANDUSKY,77,#077*,5500 MILAN ROAD - SPACE 304,OH,44870
Lowe's,CHAMPAIGN,80,#080*,1904 NORTH PROSPECT AVENUE,IL,61822
Lowe's,LUFKIN,82,#082*,3501 SOUTH MEDFORD,TX,75901
Lowe's,VIRGINIA BEACH,86,#086*,3565 HOLLAND ROAD,VA,23452
Lowe's,ADRIAN,88,#088*,1369 DIVISION STREET,MI,49221
Lowe's,FAIRBORN,89,#089*,2850-I CENTRE DRIVE,OH,45324
Lowe's,SAN ANGELO,90,#090*,5301 SHERWOOD WAY,TX,76904
Lowe's,CORINTH,91,#091*,1800 SOUTH PARKWAY,MS,38834
Lowe's,GALESBURG,92,#092*,531 WEST CARL SANDBURG DRIVE,IL,61401
Lowe's,BEAUMONT,95,#095*,4120 DOWLEN ROAD,TX,77706
Lowe's,BAYTOWN,97,#097*,5002 GARTH ROAD,TX,77521
Lowe's,HOUSTON,98,#098*,19935 KATY FREEWAY,TX,77094
Lowe's,AURORA,102,#0102*,1701 SOUTH HAVANA STREET,CO,80012
Lowe's,BRYAN,103,#0103*,3225 FREEDOM BLVD.,TX,77802
Lowe's,MOLINE,104,#0104*,3820 44TH AVENUE DRIVE,IL,61265
Lowe's,DAVENPORT,107,#0107*,3955 ELMORE AVENUE,IA,52807
Lowe's,SAINT CLAIRSVILLE,110,#0110*,50421 VALLEY PLAZA DRIVE,OH,43950
Lowe's,NORTH CHESTERFIELD,113,#0113*,1512 WEST KOGER CENTER DRIVE,VA,23235
Lowe's,MUNCIE,116,#0116*,4401 WEST CLARA LANE,IN,47304
Lowe's,DUBUQUE,117,#0117*,4100 DODGE STREET,IA,52003
Lowe's,BRADLEY,118,#0118*,860 KINZIE AVENUE,IL,60915
Lowe's,WAIPAHU,119,#0119*,94-805 LUMIAINA STREET,HI,96797
Lowe's,BELLE VERNON,120,#0120*,203 SARAH WAY,PA,15012
Lowe's,MUSKOGEE,124,#0124*,2901 EAST SHAWNEE,OK,74403
Lowe's,FORT WAYNE,126,#0126*,1929 NORTH COLISEUM BLVD.,IN,46805
Lowe's,SHERMAN,127,#0127*,2801 US HIGHWAY 75 NORTH,TX,75090
Lowe's,WACO,129,#0129*,201 NORTH NEW ROAD,TX,76710
Lowe's,LAKE JACKSON,137,#0137*,200 HIGHWAY 332 EAST,TX,77566
Lowe's,ABILENE,138,#0138*,4134 RIDGEMONT DRIVE,TX,79606
Lowe's,ISSAQUAH,140,#0140*,1625 11TH AVENUE N.W.,WA,98027
Lowe's,INDIANAPOLIS,145,#0145*,8440 MICHIGAN ROAD,IN,46268
Lowe's,JACKSON,146,#0146*,1535 BOARDMAN ROAD,MI,49202
Lowe's,EVERETT,149,#0149*,2505 PACIFIC AVENUE,WA,98201
Lowe's,WENATCHEE,152,#0152*,1200 WALLA WALLA AVENUE,WA,98801
Lowe's,SAN MARCOS,159,#0159*,2211 IH 35 SOUTH,TX,78666
