keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Lucky,UKIAH,628,#628 lucky#628,504 EAST PERKINS ST,CA,95482
Lucky,ALAMEDA,700,#700 lucky#700,815 MARINA VILLAGE PKWY,CA,94501
Lucky,CASTRO VALLEY,704,#704 lucky#704,3443 CASTRO VALLEY BLVD,CA,94546
Lucky,CONCORD,705,#705 lucky#705,5190 CLAYTON ROAD,CA,94521
Lucky,DALY CITY,707,#707 lucky#707,6843 MISSION BLVD,CA,94014
Lucky,DANVILLE,708,#708 lucky#708,660 SAN RAMON VALLEY ROAD,CA,94526
Lucky,EL CERRITO,709,#709 lucky#709,1000 EL CERRITO PLAZA,CA,94530
Lucky,FOSTER CITY,710,#710 lucky#710,919 EDGEWATER DRIVE,CA,94404
Lucky,FREMONT,711,#711 lucky#711,40055 MISSION BLVD,CA,94539
Lucky,FREMONT,712,#712 lucky#712,34101 FREMONT BLVD,CA,94555
Lucky,FREMONT,713,#713 lucky#713,35820 FREMONT BLVD,CA,94536
Lucky,FREMONT,714,#714 lucky#714,5000 MOWRY AVE,CA,94538
Lucky,HAYWARD,715,#715 lucky#715,22555 MISSION BLVD,CA,94541
Lucky,HAYWARD,716,#716 lucky#716,25151 Santa Clara St.,CA,94544
Lucky,HERCULES,718,#718 lucky#718,1590 SYCAMORE AVENUE,CA,94547
Lucky,LARKSPUR,720,#720 lucky#720,570 MAGNOLIA AVE,CA,94939
Lucky,LIVERMORE,721,#721 lucky#721,2000 PORTOLA AVENUE,CA,94550
Lucky,LIVERMORE,722,#722 lucky#722,1951 HOLMES STREET,CA,94550
Lucky,LOS ALTOS,723,#723 lucky#723,2175 GRANT RD.,CA,94024
Lucky,MARTINEZ,725,#725 lucky#725,1145 ARNOLD DR,CA,94553
Lucky,MILLBRAE,726,#726 lucky#726,45 MURCHISON DR,CA,94030
Lucky,MILPITAS,727,#727 lucky#727,1350 S. PARK VICTORIA DRIVE,CA,95035
Lucky,MOUNTAIN VIEW,729,#729 lucky#729,715 E. EL CAMINO REAL,CA,94040
Lucky,NAPA,730,#730 lucky#730,2355 CALIFORNIA BLVD,CA,94559
Lucky,NAPA,731,#731 lucky#731,1312 TRANCAS ST,CA,94558
Lucky,NOVATO,732,#732 lucky#732,1761 GRANT AVE,CA,94945
Lucky,OAKLAND,734,#734 lucky#734,1963 MOUNTAIN BLVD,CA,94611
Lucky,OAKLAND,736,#736 lucky#736,247 E. 18TH STREET,CA,94606
Lucky,OAKLEY,737,#737 lucky#737,2545 MAIN STREET,CA,94561
Lucky,Pacifica,739,#739 lucky#739,785 Hickey Blvd,CA,94044
Lucky,PETALUMA,740,#740 lucky#740,939 LAKEVILLE HIGHWAY,CA,94952
Lucky,PETALUMA,741,#741 lucky#741,1000 PETALUMA BLVD N,CA,94952
Lucky,PINOLE,742,#742 lucky#742,1530 FITZGERALD DRIVE,CA,94564
Lucky,PLEASANT HILL,743,#743 lucky#743,155 CRESCENT PLAZA,CA,94523
Lucky,PLEASANTON,744,#744 lucky#744,6155 WEST LAS POSITAS BLVD.,CA,94588
Lucky,REDWOOD CITY,745,#745 lucky#745,200 WOODSIDE PLAZA,CA,94061
Lucky,SAN BRUNO,748,#748 lucky#748,1322 EL CAMINO REAL,CA,94066
Lucky,SAN CARLOS,749,#749 lucky#749,1133 OLD COUNTY ROAD,CA,94070
Lucky,SAN FRANCISCO,755,#755 lucky#755,1515 SLOAT BLVD,CA,94132
Lucky,SAN FRANCISCO,756,#756 lucky#756,1750 FULTON STREET,CA,94117
Lucky,SAN JOSE,757,#757 lucky#757,2027 CAMDEN AVE,CA,95124
Lucky,SAN JOSE,758,#758 lucky#758,565 W. CAPITOL EXPRESSWAY,CA,95136
Lucky,SAN JOSE,759,#759 lucky#759,129 BERNAL RD,CA,95119
Lucky,SAN JOSE,761,#761 lucky#761,200 EL PASEO DE SARATOGA,CA,95130
Lucky,SAN JOSE,762,#762 lucky#762,6109 MERIDIAN ROAD,CA,95120
Lucky,SAN JOSE,763,#763 lucky#763,844 BLOSSOM HILL ROAD,CA,95123
Lucky,SAN JOSE,764,#764 lucky#764,2980 E. CAPITOL EXPRESSWAY,CA,95148
Lucky,SAN JOSE,765,#765 lucky#765,430 BLOSSOM HILL ROAD,CA,95123
Lucky,SAN JOSE,766,#766 lucky#766,3270 SOUTH WHITE ROAD,CA,95148
Lucky,SAN LEANDRO,767,#767 lucky#767,1300 FAIRMONT DR,CA,94578
Lucky,SAN LORENZO,768,#768 lucky#768,15840 HESPERIAN BLVD,CA,94580
Lucky,SAN RAMON,770,#770 lucky#770,21001 SAN RAMON VALLEY BLVD,CA,94583
Lucky,SAN RAMON,771,#771 lucky#771,3181 CROW CANYON PLACE,CA,94583
Lucky,SANTA CLARA,773,#773 lucky#773,3705 EL CAMINO REAL,CA,95051
Lucky,SANTA CLARA,774,#774 lucky#774,234 SARATOGA AVE,CA,95050
Lucky,SANTA ROSA,775,#775 lucky#775,150 BICENTENNIAL WAY,CA,95403
Lucky,SANTA ROSA,776,#776 lucky#776,915 VILLAGE CT,CA,95405
Lucky,SEBASTOPOL,777,#777 lucky#777,776 GRAVENSTEIN HWY N,CA,95472
Lucky,SONOMA,778,#778 lucky#778,19181 SONOMA HIGHWAY,CA,95476
Lucky,SUNNYVALE,780,#780 lucky#780,484 N MATHILDA AVENUE,CA,94085
Lucky,VACAVILLE,783,#783 lucky#783,777 E. MONTE VISTA AVE.,CA,95688
Lucky,VACAVILLE,784,#784 lucky#784,1979 PEABODY RD.,CA,95687
