Keywords,city,Agg store_number,store_number,address,state,zip_code
Macy's,Orlando,1,#1 #01 #0001 #001 1,4298 Millenia Blvd.,FL,32839
Macy's,Maple Shade,2,#2 #02 #0002 #002 2,493 Route 38 West,NJ,8052
Macy's,Albany,3,#3 #03 #0003 #003 3,120 Washington Avenue Extension,NY,12203
Macy's,Arlington,5,#5 #05 #0005 #005 5,1000 South Hayes Street,VA,22202
Macy's,Bay Shore,11,#11 #011 #00011 #0011 11,1701 Sunrise Highway,NY,11706
Macy's,Bedford,13,#13 #013 #00013 #0013 13,125 South River Road,NH,3110
Macy's,Boston,14,#14 #014 #00014 #0014 14,450 Washington Street,MA,2111
Macy's,Boynton Beach,15,#15 #015 #00015 #0015 15,801 N. Congress Avenue,FL,33426
Macy's,Braintree,16,#16 #016 #00016 #0016 16,250 Granite Street,MA,2184
Macy's,Bridgewater,17,#17 #017 #00017 #0017 17,400 Commons Way,NJ,8807
Macy's,Brockton,18,#18 #018 #00018 #0018 18,200 Westgate Drive,MA,2301
Macy's,Bronx,20,#20 #020 #00020 #0020 20,1441 Metropolitan Avenue,NY,10462
Macy's,Brooklyn,21,#21 #021 #00021 #0021 21,422 Fulton Street,NY,11201
Macy's,Brooklyn,22,#22 #022 #00022 #0022 22,5400 Avenue U,NY,11234
Macy's,Burlington,25,#25 #025 #00025 #0025 25,1300 Middlesex Turnpike,MA,1803
Macy's,Carle Place,26,#26 #026 #00026 #0026 26,155 Glen Cove Road,NY,11514
Macy's,Cherry Hill,27,#27 #027 #00027 #0027 27,2000 Rt. 38; Suite 200,NJ,8002
Macy's,Commack,28,#28 #028 #00028 #0028 28,2 Veterans Memorial Highway,NY,11725
Macy's,Danbury,29,#29 #029 #00029 #0029 29,7 Backus Avenue,CT,6810
Macy's,Deptford,30,#30 #030 #00030 #0030 30,1750 Almonesson Road,NJ,8096
Macy's,Douglaston,31,#31 #031 #00031 #0031 31,242-02 61st Avenue,NY,11362
Macy's,Edison,36,#36 #036 #00036 #0036 36,275 Parsonage Road,NJ,8837
Macy's,Elmhurst,38,#38 #038 #00038 #0038 38,90-01 Queens Blvd.,NY,11373
Macy's,Fairfax,39,#39 #039 #00039 #0039 39,11901 L Lee Jackson Memorial Hwy.,VA,22033
Macy's,Flushing,40,#40 #040 #00040 #0040 40,136-50 Roosevelt Avenue,NY,11354
Macy's,Framingham,41,#41 #041 #00041 #0041 41,1 Worcester Road,MA,1701
Macy's,Garden City,43,#43 #043 #00043 #0043 43,630 Old Country Road,NY,11530
Macy's,Glen Burnie,44,#44 #044 #00044 #0044 44,7900 Ritchie Highway,MD,21061
Macy's,Hampton Bays,45,#45 #045 #00045 #0045 45,190 West Montauk Highway,NY,11946
Macy's,Hicksville,46,#46 #046 #00046 #0046 46,100 Broadway Mall,NY,11801
Macy's,Huntington Station,47,#47 #047 #00047 #0047 47,160 Walt Whitman Rd,NY,11746
Macy's,Jersey City,49,#49 #049 #00049 #0049 49,20 Mall Drive East,NJ,7310
Macy's,Kenner,50,#50 #050 #00050 #0050 50,1401 West Esplanade,LA,70065
Macy's,King Of Prussia,52,#52 #052 #00052 #0052 52,680 West DeKalb Pike,PA,19406
Macy's,Lake Grove,53,#53 #053 #00053 #0053 53,2 Smith Haven Mall,NY,11755
Macy's,Langhorne,54,#54 #054 #00054 #0054 54,2300 East Lincoln Highway,PA,19047
Macy's,Lawrenceville,55,#55 #055 #00055 #0055 55,400 Quakerbridge Road,NJ,8648
Macy's,Ledgewood,56,#56 #056 #00056 #0056 56,461 Route 10 East,NJ,7852
Macy's,Livingston,57,#57 #057 #00057 #0057 57,South Orange Ave. & Walnut St.,NJ,7039
Macy's,Manhasset,58,#58 #058 #00058 #0058 58,1100 Northern Blvd.,NY,11030
Macy's,Massapequa,59,#59 #059 #00059 #0059 59,400 Sunrise Mall,NY,11758
Macy's,May%27s Landing,60,#60 #060 #00060 #0060 60,4401 Black Horse Pike,NJ,8330
Macy's,McLean,61,#61 #061 #00061 #0061 61,1651 International Drive,VA,22102
Macy's,Miami,63,#63 #063 #00063 #0063 63,9100 SW 136th Street,FL,33176
Macy's,Nanuet,66,#66 #066 #00066 #0066 66,200 Nanuet Mall,NY,10954
Macy's,Nashua,67,#67 #067 #00067 #0067 67,310 Daniel Webster Hwy.,NH,3060
Macy's,Natick,68,#68 #068 #00068 #0068 68,1245 Worcester Road,MA,1760
Macy's,New York,70,#70 #070 #00070 #0070 70,151 West 34th Street,NY,10001
Macy's,Newark,71,#71 #071 #00071 #0071 71,501 Christiana Mall Road,DE,19702
Macy's,Newington,72,#72 #072 #00072 #0072 72,50 Fox Run Road,NH,3801
