keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Maverik,Boise,4,#4,5200 Chinden Blvd,ID,83714
Maverik,Bridger,7,#7,Highway   310  North,MT,59014
Maverik,Bountiful,130,#130,105  South  200  West,UT,84010
Maverik,Winnemucca,134,#134,105  East Winnemucca,NV,89445
Maverik,Sheridan,135,#135,1571  North  Main,WY,82801
Maverik,Lyman,136,#136,222  South  Main,WY,82937
Maverik,Snowflake,137,#137,7th  & Main,AZ,85937
Maverik,Centerville,145,#145,94  North  Main,UT,84014
Maverik,Elko,146,#146,1111  Idaho Street,NV,89801
Maverik,Rigby,152,#152,200  East  Main,ID,83442
Maverik,St. Anthony,155,#155,226  South Bridge,ID,83445
Maverik,Evanston,162,#162,535  County  Road,WY,82930
Maverik,Worland,166,#166,1501  Bighorn  Ave,WY,82401
Maverik,Bountiful,168,#168,1500  South Main,UT,84010
Maverik,Rexburg,169,#169,12  South  2nd  West,ID,83440
Maverik,Blackfoot,172,#172,895 West Bridge Street,ID,83221
Maverik,Boise,175,#175,1909 West Boise Ave,ID,83706
Maverik,Aberdeen,177,#177,78 North Main,ID,83210
Maverik,Nampa,178,#178,723  North 12th Ave Road,ID,83686
Maverik,Richmond,180,#180,10  South  200  West,UT,84333
Maverik,Layton,184,#184,2014  North 400  West,UT,84041
Maverik,Idaho Falls,185,#185,3290  South Yellowstone,ID,83402
Maverik,Thermopolis,187,#187,425  South 6th,WY,82443
Maverik,Rupert,189,#189,318  Scott Street,ID,83350
Maverik,Riverton,192,#192,1604  West Main,WY,82501
Maverik,Riverton,193,#193,601  South Federal,WY,82501
Maverik,Pocatello,194,#194,3206  Poleline Road,ID,83201
Maverik,Rexburg,195,#195,75   North  2nd  East,ID,83440
Maverik,Midvale,196,#196,7728 South Main,UT,84047
Maverik,Layton,197,#197,87  North Main,UT,84041
Maverik,Boise,198,#198,7333 Ustick Road,ID,83704
Maverik,Salt Lake,199,#199,1707  South 300  West,UT,84115
Maverik,Lake Havasu,201,#201,2197  McCulloch,AZ,86403
Maverik,Cody,202,#202,1802   17th Street,WY,82414
Maverik,Kimberly,204,#204,120  Main  Street,ID,83341
Maverik,Boise,205,#205,2710 Main Street,ID,83702
Maverik,Mt. Pleasant,208,#208,381  South State,UT,84647
Maverik,MTN HOME,209,#209,140  North 10th  East,ID,83647
Maverik,Emmett,212,#212,110   West Hwy  52,ID,83617
Maverik,Weiser,214,#214,703  East  Main,ID,83672
Maverik,Wendell,217,#217,20  South Idaho Street,ID,83355
Maverik,Boise,221,#221,7350  West Victory,ID,83709
Maverik,Greybull,222,#222,524   North 6th  Street,WY,82426
Maverik,Twin Falls,224,#224,120  6th  Ave West,ID,83301
Maverik,Caldwell,225,#225,720  North Illinois,ID,83605
Maverik,Salt Lake,227,#227,2650  South Main,UT,84115
Maverik,West Valley,228,#228,2675  South 3200  West,UT,84119
Maverik,St. George,229,#229,690 River Road,UT,84790
Maverik,Parowan,231,#231,P.O. Box 1060,UT,84761
Maverik,Gooding,232,#232,1899  US  Hwy  26,ID,83330
Maverik,Meridian,233,#233,1605  Cherry  Lane,ID,83642
Maverik,Stansbury,234,#234,6527  North Hwy  36,UT,84074
Maverik,Kemmerer,235,#235,521  Coral,WY,83101
Maverik,Montpelier,236,#236,107 South 4th  Street,ID,83254
Maverik,Elko,237,#237,2520  Mt City Hwy,NV,89801
Maverik,Moab,238,#238,435  North  Main,UT,84532
Maverik,St. George,241,#241,1880 West Sunset Blvd,UT,84770
Maverik,St. George,242,#242,702 East St George Blvd,UT,84770
Maverik,Hurricane,243,#243,200   West State,UT,84737
Maverik,Cedar City,244,#244,809  West 200  North,UT,84720
Maverik,Cedar City,245,#245,204  South Main,UT,84720
Maverik,Richfield,246,#246,295  South  Main,UT,84701
