keywords,city,Aggdata Store Number,store_number,address,state,zip_code
New York & Company,HICKSVILLE,2,#02 #2 #002 2 #0002,202 BROADWAY MALL,NY,11801
New York & Company,ATLANTA,5,#05 #5 #005 5 #0005,4400 ASHFORD DUNOODY SP#2020,GA,30346
New York & Company,NEW YORK,7,#07 #7 #007 7 #0007,83 NASSAU STREET,NY,10038
New York & Company,RIDGEWOOD,11,#011 #11 #0011 11 #00011,5723 MYRTLE AVE,NY,11385
New York & Company,YONKERS,12,#012 #12 #0012 12 #00012,15-17 MALL WALK,NY,10704
New York & Company,WINSTON SALEM,13,#013 #13 #0013 13 #00013,3320 SILAS CREEK PKW ST 5500,NC,27103
New York & Company,APPLETON,14,#014 #14 #0014 14 #00014,4301 W. WISCONSIN AVE SP#101,WI,54913
New York & Company,SAN JOSE,15,#015 #15 #0015 15 #00015,925 BLOSSOM HILL RD SU 1480,CA,95123
New York & Company,BROOKLYN,16,#016 #16 #0016 16 #00016,5308 FIFTH AVENUE,NY,11220
New York & Company,NEW YORK,20,#020 #20 #0020 20 #00020,4261 BROADWAY,NY,10033
New York & Company,BABYLON,22,#022 #22 #0022 22 #00022,835 WEST MONTAUK HIGHWAY,NY,11704
New York & Company,VALLEY STREAM,23,#023 #23 #0023 23 #00023,1072 GREEN ACRES MALL,NY,11581
New York & Company,VERNON HILLS,24,#024 #24 #0024 24 #00024,122 HAWTHORNE CENTER SP#12,IL,60061
New York & Company,BALTIMORE,25,#025 #25 #0025 25 #00025,8200 PERRY HALL BLVD #1180,MD,21236
New York & Company,EDISON,27,#027 #27 #0027 27 #00027,MENLO PARK SP#2030A,NJ,8837
New York & Company,HOUSTON,28,#028 #28 #0028 28 #00028,5135 WEST ALABAMA SP#5210A,TX,77056
New York & Company,LAKE GROVE,29,#029 #29 #0029 29 #00029,468 MIDDLE COUNTY ROAD,NY,11755
New York & Company,BROOKLYN,31,#031 #31 #0031 31 #00031,5100 KINGS PLAZA BLVD #219,NY,11234
New York & Company,ALBANY,33,#033 #33 #0033 33 #00033,1 CROSSGATES MALL ROAD,NY,12203
New York & Company,SAN ANTONIO,34,#034 #34 #0034 34 #00034,7400 SAN PEDRO SP#860,TX,78216
