Keywords,city, Agg store_number,store_number,address,state,zip_code
Nordstrom,Seattle,1,1 #01 #1,500 Pine Street,WA,98101
Nordstrom,Seattle,2,2 #02 #2,401 NE Northgate Way,WA,98125
Nordstrom,Bellevue,4,4 #04 #4,100 Bellevue Square,WA,98004
Nordstrom,Tukwila,5,5 #05 #5,100 Southcenter Mall,WA,98188
Nordstrom,Tacoma,6,6 #06 #6,4502 South Steele Street,WA,98409
Nordstrom,Spokane,9,9 #09 #9,828 West Main Avenue,WA,99201
Nordstrom,Lynnwood,10,10 #010 #10,3200 184th Street SW,WA,98037
Nordstrom,Anchorage,12,12 #012 #12,603 D Street,AK,99501
Nordstrom,Portland,20,20 #020 #20,701 SW Broadway,OR,97205
Nordstrom,Portland,21,21 #021 #21,1001 Lloyd Center,OR,97232
Nordstrom,Salem,23,23 #023 #23,420 Center Street NE,OR,97301
Nordstrom,Happy Valley,24,24 #024 #24,11900 SE 82nd Avenue,OR,97086
Nordstrom,Tigard,25,25 #025 #25,9700 SW Washington Square Road,OR,97223
Nordstrom,Vancouver,26,26 #026 #26,8601 NE Vancouver Mall Drive,WA,98662
Nordstrom,Murray,32,32 #032 #32,6191 South State Street,UT,84107
Nordstrom,Lone Tree,34,34 #034 #34,8465 Park Meadows Center Drive,CO,80124
Nordstrom,Broomfield,35,35 #035 #35,21 West Flatiron Crossing Drive,CO,80021
Nordstrom,Denver,37,37 #037 #37,2810 East First Avenue,CO,80206
Nordstrom,Salt Lake City,73,73 #073 #73,55 South West Temple,UT,84101
Nordstrom,Chicago,220,220 #0220 #220,55 East Grand Avenue,IL,60611
Nordstrom,Oak Brook,221,221 #0221 #221,10 Oak Brook Center,IL,60523
Nordstrom,Bloomington,222,222 #0222 #222,1000 NW Court,MN,55425
Nordstrom,Skokie,223,223 #0223 #223,4937 Old Orchard Center,IL,60077
Nordstrom,Schaumburg,225,225 #0225 #225,6 Woodfield Shopping Center,IL,60173
Nordstrom,Beachwood,227,227 #0227 #227,26200 Cedar Road,OH,44122
Nordstrom,Troy,228,228 #0228 #228,2850 West Big Beaver Road,MI,48084
Nordstrom,Overland Park,230,230 #0230 #230,11143 West 95th Street,KS,66214
Nordstrom,Des Peres,232,232 #0232 #232,47 West County Center,MO,63131
Nordstrom,Columbus,234,234 #0234 #234,4000 Worth Avenue,OH,43219
Nordstrom,Novi,235,235 #0235 #235,27640 Novi Road,MI,48377
Nordstrom,Clinton Township,236,236 #0236 #236,17310 Hall Road,MI,48038
Nordstrom,Pittsburgh,237,237 #0237 #237,1000 Ross Park Mall Drive,PA,15237
Nordstrom,Cincinnati,239,239 #0239 #239,7801 Montgomery Road,OH,45236
Nordstrom,St. Louis,240,240 #0240 #240,1453 Saint Louis Galleria,MO,63117
