keywords,city,Aggdata Store Number,store_number,address,state,zip_code
PC Richard,Ozone Park,1,#1 001,103-54 94th Street,NY,11417
PC Richard,Elmont,2,#2 002,239-10 Linden Boulevard,NY,11003
PC Richard,Oceanside,3,#3 003,555 Atlantic Avenue,NY,11572
PC Richard,Bellmore,4,#4 004,701 Sunrise Highway,NY,11710
PC Richard,Plainview,5,#5 005,203 South Service Road,NY,11803
PC Richard,West Babylon,6,#6 006,221 Route 109,NY,11704
PC Richard,Elwood,7,#7 007,4067 Jericho Turnpike,NY,11731
PC Richard,Hauppauge,8,#8 008,2095 Express Drive North,NY,11788
PC Richard,Patchogue,9,#9 009,545 Sunrise Highway,NY,11772
PC Richard,Middle Island,10,#10 0010,920 Middle Country Road,NY,11953
PC Richard,Riverhead,14,#14 0014,1685 Old Country Road,NY,11901
PC Richard,Levittown,15,#15 0015,2999 Hempstead Turnpike,NY,11756
PC Richard,Carle Place,16,#16 0016,109 Old Country Road,NY,11514
PC Richard,Bayside,17,#17 0017,42-99 Francis Lewis Blvd.,NY,11361
PC Richard,Rego Park,18,#18 0018,92-63 Queens Boulevard,NY,11374
PC Richard,Forest Hills,26,#26 0026,113-14 Queens Boulevard,NY,11375
PC Richard,Southampton,27,#27 0027,320 County Road 39,NY,11968
PC Richard,Deer Park,28,#28 0028,470 Commack Road,NY,11729
PC Richard,Astoria,29,#29 0029,35-18 Steinway Street,NY,11102
PC Richard,Greenvale,30,#30 0030,51 Northern Boulevard,NY,11548
PC Richard,Brooklyn,31,#31 0031,450 Kings Highway,NY,11223
PC Richard,Brooklyn,32,#32 0032,2143 Flatbush Avenue,NY,11234
PC Richard,Bay Ridge,33,#33 0033,576-80 86th Street,NY,11209
PC Richard,Brooklyn,34,#34 0034,1984 86th Street,NY,11214
PC Richard,Brooklyn,35,#35 0035,2259 Ralph Avenue,NY,11234
PC Richard,Rockville Centre,37,#37 0037,307 Sunrise Highway,NY,11570
PC Richard,Bellmore,38,#38 0038,609 Sunrise Highway,NY,11710
PC Richard,College Point,39,#39 0039,13603 20th Avenue,NY,11356
PC Richard,Wayne,41,#41 0041,519 Route 46 West,NJ,7470
PC Richard,Paramus,42,#42 0042,317 Route 17 South,NJ,7652
PC Richard,Hanover,43,#43 0043,243 State Route 10,NJ,7981
PC Richard,Succasunna,44,#44 0044,10 Commerce Boulevard,NJ,7876
PC Richard,East Brunswick,45,#45 0045,327 Route 18,NJ,8816
PC Richard,Yonkers,46,#46 0046,2323 Central Park Avenue,NY,10710
PC Richard,Watchung,47,#47 0047,1515 Route 22,NJ,7060
PC Richard,West New York,48,#48 0048,5200 John F. Kennedy Blvd,NJ,7093
PC Richard,Bronx,50,#50 0050,2501 Grand Concourse,NY,10468
PC Richard,Brooklyn,51,#51 0051,590 Atlantic Avenue,NY,11217
PC Richard,Raritan,52,#52 0052,501 State Route 28,NJ,8869
PC Richard,New York City,53,#53 0053,120 East 14th Street,NY,10003
PC Richard,Stony Brook,54,#54 0054,2229 Route 347,NY,11790
PC Richard,New Hyde Park,55,#55 0055,713 Hillside Avenue,NY,11040
PC Richard,Bronx,56,#56 0056,356 Baychester Avenue,NY,10475
PC Richard,New York City,57,#57 0057,205 East 86th Street,NY,10028
PC Richard,Jersey City,58,#58 0058,727 State Highway 440,NJ,7304
PC Richard,Woodbridge,59,#59 0059,885 St. Georges Avenue,NJ,7095
PC Richard,Woodside,61,#61 0061,50-02 Queens Boulevard,NY,11377
PC Richard,Union,62,#62 0062,2264 Route 22,NJ,7083
PC Richard,Bay Shore,63,#63 0063,1345 Sunrise Highway,NY,11706
PC Richard,New York City,64,#64 0064,2372 Broadway,NY,10024
PC Richard,New York City,65,#65 0065,53 West 23rd Street,NY,10010
PC Richard,Staten Island,66,#66 0066,2399 Richmond Avenue,NY,10314
PC Richard,Nanuet,67,#67 0067,293 West Route 59,NY,10954
PC Richard,Eatontown,68,#68 0068,90 State Route 36,NJ,7724
PC Richard,Brick,69,#69 0069,550 Route 70,NJ,8723
PC Richard,Mount Laurel,70,#70 0070,1450 Nixon Drive,NJ,8054
PC Richard,Lawrenceville,71,#71 0071,3350 Brunswick Pike (RT1),NJ,8648
PC Richard,Manalapan,72,#72 0072,55 U.S. 9,NJ,7726
PC Richard,Carteret,75,#75 0075,1159 Roosevelt Avenue,NJ,7008
PC Richard,Norwalk,80,#80 0080,444 Connecticut Avenue,CT,6854
PC Richard,Milford,81,#81 0081,1574 Boston Post Road,CT,6460
PC Richard,North Haven,82,#82 0082,19 Universal Drive,CT,6473
PC Richard,Danbury,83,#83 0083,110 Federal Road,CT,6811
PC Richard,Newington,86,#86 0086,3440 Berlin Turnpike,CT,6111
PC Richard,Manchester,87,#87 0087,230 Hale Road,CT,6042
PC Richard,Enfield,89,#89 0089,136 Elm Street,CT,6082
PC Richard,Philadelphia,90,#90 0090,2420 Cottman Avenue,PA,19149
